Tissue	Dataset	OR	P-value	FDR	Direction	Method
Caudate	BS_Caudate_SZ	1.6000533191149027	0.04863937453481064	0.14591812360443193	All	TWAS
Caudate	BS_DLPFC_SZ	1.8174063166446635	0.026770866494261657	0.11108113715701746	All	TWAS
Caudate	BS_Hippocampus_SZ	2.6356480964608684	0.0017123808142669793	0.0436652198338537	All	TWAS
Caudate	BS_sACC_BD		1.0	1.0	All	TWAS
Caudate	BS_Amyg_BD		1.0	1.0	All	TWAS
Caudate	PSY_SZ	0.1922222222222222	0.0667403106190618	0.18019883867146685	All	TWAS
Caudate	PSY_ASD	3.629451566951567	0.26296063063433206	0.4437460641954354	All	TWAS
Caudate	PSY_BD	0.0	1.0	1.0	All	TWAS
Caudate	Alzheimers	4.839743589743589	0.21124491582802674	0.3802408484904481	All	TWAS
DLPFC	BS_Caudate_SZ	1.8818738271386604	0.016064471665669502	0.0872046026826243	All	TWAS
DLPFC	BS_DLPFC_SZ	1.899461296920462	0.032641654854343984	0.11108113715701746	All	TWAS
DLPFC	BS_Hippocampus_SZ	2.6416272112689327	0.0047866335229167795	0.0436652198338537	All	TWAS
DLPFC	BS_sACC_BD		1.0	1.0	All	TWAS
DLPFC	BS_Amyg_BD		1.0	1.0	All	TWAS
DLPFC	PSY_SZ	0.24998774509803923	0.19247765984827891	0.3802408484904481	All	TWAS
DLPFC	PSY_ASD	4.719898897058823	0.209929054421612	0.3802408484904481	All	TWAS
DLPFC	PSY_BD	0.0	1.0	1.0	All	TWAS
DLPFC	Alzheimers	0.0	1.0	1.0	All	TWAS
Hippocampus	BS_Caudate_SZ	1.8782097485155602	0.016149000496782275	0.0872046026826243	All	TWAS
Hippocampus	BS_DLPFC_SZ	1.8958041304550977	0.032912929528005175	0.11108113715701746	All	TWAS
Hippocampus	BS_Hippocampus_SZ	2.636560277434903	0.004851691092650411	0.0436652198338537	All	TWAS
Hippocampus	BS_sACC_BD		1.0	1.0	All	TWAS
Hippocampus	BS_Amyg_BD		1.0	1.0	All	TWAS
Hippocampus	PSY_SZ	0.24951681957186544	0.1926232710396667	0.3802408484904481	All	TWAS
Hippocampus	PSY_ASD	4.7110091743119265	0.210275087732732	0.3802408484904481	All	TWAS
Hippocampus	PSY_BD	0.0	1.0	1.0	All	TWAS
Hippocampus	Alzheimers	0.0	1.0	1.0	All	TWAS
Caudate	BS_Caudate_SZ	1.6906890739067177	0.06876318774057687	0.3443614357430954	Up	TWAS
Caudate	BS_DLPFC_SZ	1.5275502188306587	0.26233403713078685	0.4722012668354163	Up	TWAS
Caudate	BS_Hippocampus_SZ	1.8582468002897852	0.14985783519277937	0.3443614357430954	Up	TWAS
Caudate	BS_sACC_BD		1.0	1.0	Up	TWAS
Caudate	BS_Amyg_BD		1.0	1.0	Up	TWAS
Caudate	PSY_SZ	0.0	0.12590239251897972	0.3443614357430954	Up	TWAS
