RNum	BrNum
R12276	Br763
R3549	Br822
R12277	Br823
R3901	Br827
R3597	Br836
R12278	Br845
R12279	Br846
R4177	Br848
R12280	Br852
R12281	Br855
R12282	Br856
R3888	Br858
R3393	Br859
R3645	Br873
R12283	Br884
R3417	Br885
R5848	Br887
R12284	Br888
R3646	Br891
R12285	Br894
R12286	Br898
R12287	Br914
R12288	Br926
R12289	Br938
R4226	Br946
R12290	Br948
R12291	Br949
R2905	Br959
R12293	Br963
R12295	Br973
R12296	Br978
R3585	Br982
R12297	Br983
R12298	Br989
R4179	Br991
R12299	Br993
R12300	Br1003
R3050	Br1004
R12301	Br1006
R12302	Br1007
R3670	Br1016
R12303	Br1017
R12304	Br1021
R12305	Br1023
R12306	Br1025
R12307	Br1030
R3063	Br1033
R12308	Br1034
R3537	Br1039
R3611	Br1050
R12309	Br1051
R12310	Br1053
R12311	Br1054
R12312	Br1056
R3036	Br1067
R12314	Br1069
R12316	Br1084
R12317	Br1093
R12319	Br1099
R12320	Br1102
R12321	Br1105
R12322	Br1111
R12323	Br1113
R12324	Br1119
R5861	Br1122
R12325	Br1134
R12326	Br1135
R12327	Br1137
R12328	Br1139
R12329	Br1142
R12330	Br1143
R12331	Br1156
R12332	Br1157
R12333	Br1160
R12334	Br1164
R3469	Br1167
R3927	Br1179
R12335	Br1183
R12336	Br1185
R4181	Br1187
R5863	Br1193
R12337	Br1203
R3477	Br1204
R12338	Br1214
R12339	Br1221
R3491	Br1225
R3002	Br1227
R12340	Br1228
R12341	Br1235
R12342	Br1243
R2809	Br1245
R12343	Br1249
R3887	Br1250
R3446	Br1263
R12344	Br1264
R3540	Br1265
R12345	Br1271
R12346	Br1275
R3456	Br1276
R12347	Br1279
R12348	Br1280
R3494	Br1281
R3575	Br1283
R12349	Br1285
R12350	Br1288
R12351	Br1289
R3604	Br1292
R12353	Br1297
R3929	Br1298
R12355	Br1303
R12356	Br1305
R12357	Br1314
R12358	Br1315
R4108	Br1320
R12359	Br1321
R12360	Br1324
R5865	Br1325
R4109	Br1326
R3614	Br1339
R3931	Br1340
R12361	Br1348
R12362	Br1350
R3932	Br1351
R12363	Br1356
R12364	Br1370
R12365	Br1371
R12366	Br1378
R12367	Br1383
R5885	Br1384
R12368	Br1389
R3517	Br1390
R12369	Br1399
R3470	Br1407
R3895	Br1410
R4196	Br1412
R3616	Br1416
R4111	Br1418
R12371	Br1420
R12372	Br1424
R12373	Br1425
R3555	Br1427
R3496	Br1436
R3543	Br1442
R12377	Br1447
R12378	Br1448
R3910	Br1453
R12379	Br1455
R12381	Br1458
R12382	Br1459
R3639	Br1463
R12383	Br1464
R4114	Br1469
R3506	Br1473
R12384	Br1474
R12386	Br1485
R12387	Br1494
R12388	Br1497
R12389	Br1498
R12390	Br1499
R12391	Br1503
R12392	Br1504
R12394	Br1507
R12395	Br1509
R12396	Br1512
R4207	Br1517
R12398	Br1522
R12399	Br1524
R12400	Br1525
R12401	Br1527
R12402	Br1528
R12403	Br1529
R3482	Br1531
R12404	Br1532
R12405	Br1536
R12406	Br1537
R3912	Br1538
R12407	Br1539
R12408	Br1550
R4185	Br1553
R5859	Br1563
R12409	Br1565
R12410	Br1568
R2947	Br1571
R12411	Br1573
R3030	Br1576
R12412	Br1579
R12413	Br1580
R12414	Br1581
R2816	Br1585
R12416	Br1588
R12417	Br1590
R12418	Br1594
R12419	Br1595
R12420	Br1602
R12421	Br1604
R12422	Br1605
R3997	Br1610
R12423	Br1611
R12424	Br1613
R12425	Br1615
R12426	Br1637
R3944	Br1644
R3070	Br1646
R2840	Br1648
R12427	Br1649
R12428	Br1654
R4200	Br1657
R12429	Br1663
R12430	Br1664
R12431	Br1665
R12433	Br1669
R3556	Br1670
R12435	Br1674
R12436	Br1676
R12437	Br1678
R12438	Br1682
R2827	Br1684
R12439	Br1688
R12441	Br1693
R12442	Br1695
R12443	Br1697
R3977	Br1700
R12444	Br1703
R4162	Br1721
R5868	Br1722
R12446	Br1733
R3978	Br1738
R12447	Br1753
R3774	Br1761
R12448	Br1764
R12449	Br1832
R3666	Br1840
R12450	Br1842
R3915	Br1848
R12451	Br1854
R4028	Br1856
R3523	Br1857
R3498	Br1858
R12452	Br1859
R3557	Br1860
R4029	Br1865
R5824	Br1874
R3512	Br1875
R12454	Br1878
R3500	Br1879
R5871	Br1880
R3548	Br1881
R12456	Br1883
R12457	Br1884
R12458	Br1898
R12460	Br1905
R12461	Br1908
R12462	Br1918
R12463	Br1927
R12464	Br1936
R4043	Br1941
R5608	Br1946
R12465	Br1958
R12466	Br1960
R4251	Br1961
R12467	Br1963
R12468	Br1964
R4258	Br1968
R12470	Br1974
R4047	Br1980
R12472	Br1988
R12473	Br1989
R12474	Br1994
R12475	Br2001
R12477	Br2003
R12478	Br2009
R5597	Br2020
R12479	Br2027
R5600	Br2038
R12480	Br2044
R5622	Br2046
R12481	Br2052
R12482	Br2053
R12483	Br2064
R5623	Br2074
R6531	Br2075
R12485	Br2076
R12486	Br2080
R12487	Br2084
R4337	Br2094
R4321	Br2097
R4339	Br2098
R4417	Br2144
R4393	Br2146
R4407	Br2148
R4414	Br2160
R4367	Br2163
R4381	Br2170
R4386	Br2180
R4387	Br2183
R4388	Br2184
R4273	Br2192
R5905	Br2194
R4279	Br2202
R4355	Br2214
R4351	Br2219
R4357	Br2221
R12488	Br2229
R12489	Br2233
R4366	Br2236
R12490	Br2242
R12491	Br2257
R12493	Br2263
R12494	Br2267
R12495	Br2271
R12496	Br2285
R12497	Br2287
R12498	Br2288
R6532	Br2291
R12499	Br2292
R6533	Br2298
R12501	Br2304
R6572	Br2313
R12503	Br2322
R12505	Br2333
R6574	Br2337
R12506	Br2343
R6534	Br2346
R6535	Br2351
R12508	Br2353
R12510	Br2371
R12511	Br2377
R12512	Br2378
R12515	Br2393
R12516	Br2405
R6578	Br2421
R6579	Br2423
R12517	Br2425
R12521	Br2453
R12522	Br2454
R12523	Br2464
R12524	Br2470
R12525	Br2474
R12526	Br2476
R12527	Br2481
R12530	Br2509
R12531	Br2521
R12533	Br2534
R12535	Br2539
R12536	Br2542
R12537	Br2543
R12538	Br2557
R12539	Br2582
R12540	Br2585
R12258	Br5005
R12259	Br5024
R12260	Br5053
R12195	Br5073
R12263	Br5146
R12264	Br5154
R12265	Br5155
R12266	Br5161
R12551	Br5165
R10424	Br5168
R12553	Br5182
R12554	Br5205
R12555	Br5212
R12198	Br5217
R12557	Br5228
R12558	Br5232
R12199	Br5234
R12560	Br5235
R12561	Br5250
R12562	Br5259
R12563	Br5262
R12565	Br5280
R12566	Br5286
R12567	Br5287
R12568	Br5292
R12569	Br5314
R12570	Br5323
R12200	Br5372
