Feature,seqnames,start,end,width,gencodeID,ensemblID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Type,Region
NLRP2|ENSG00000022556.16,chr19,54953130,55001142,48013,ENSG00000022556.16,ENSG00000022556,NLRP2,-0.840397724189783,1.16623317081602,-5.44878768460826,9.34630751066803e-08,2.4490074591924e-05,5.94392329591866,0.03803290074109,Gene,Hippocampus
DDX43|ENSG00000080007.8,chr6,73394828,73417566,22739,ENSG00000080007.8,ENSG00000080007,DDX43,0.759824863020221,-1.2451177883312,5.51929366633792,6.46636200362383e-08,1.71115304228569e-05,6.81541633012376,0.0353495250487051,Gene,Hippocampus
TAF1L|ENSG00000122728.6,chr9,32629454,32635669,6216,ENSG00000122728.6,ENSG00000122728,TAF1L,-0.980428222617693,-2.19633837728596,-11.5660407018465,1.42476322751936e-26,6.4541774206627005e-24,49.2720374108174,0.154394375492556,Gene,Hippocampus
TUBBP1|ENSG00000127589.4,chr8,30351873,30353518,1646,ENSG00000127589.4,ENSG00000127589,TUBBP1,-3.75488117036767,-1.40010723408242,-57.9080727363783,4.54683999491991e-186,5.283625762792371e-183,414.842206380751,0.0662141889465654,Gene,Hippocampus
PLEKHA8P1|ENSG00000134297.8,chr12,45139782,45216047,76266,ENSG00000134297.8,ENSG00000134297,PLEKHA8P1,0.226163041057561,-0.255733628505073,4.27122961038649,2.48248198600537e-05,0.0053942517105663,0.852047406314883,0.157799375428268,Gene,Hippocampus
IGF2BP3|ENSG00000136231.14,chr7,23310209,23470491,160283,ENSG00000136231.14,ENSG00000136231,IGF2BP3,-0.276948767824284,-0.22898164756599,-3.96809360856553,8.7236494838635e-05,0.0175305999815955,-0.370794578254679,0.0263310273374254,Gene,Hippocampus
FRG1BP|ENSG00000149531.15,chr20,30377372,30399257,21886,ENSG00000149531.15,ENSG00000149531,FRG1BP,0.6346498438934,2.83408080696968,8.29826132186695,2.06969870811512e-15,7.37557831623903e-13,23.0649789913,0.0218206342346458,Gene,Hippocampus
PRSS30P|ENSG00000172460.19,chr16,2839568,2842744,3177,ENSG00000172460.19,ENSG00000172460,PRSS30P,-0.850008305502107,-2.26724868422895,-7.25112920501297,2.48985476280122e-12,8.01763231872148e-10,16.8505575993501,0.0585557255950123,Gene,Hippocampus
TDRD12|ENSG00000173809.18,chr19,32719753,32829580,109828,ENSG00000173809.18,ENSG00000173809,TDRD12,-0.476062920867398,-0.87182969509927,-4.25288996283132,2.68435286042692e-05,0.0057858628145669,0.845612449577614,0.0852370222474312,Gene,Hippocampus
TSPEAR-AS2|ENSG00000182912.6,chr21,44517216,44525952,8737,ENSG00000182912.6,ENSG00000182912,TSPEAR-AS2,-0.807108503024721,-2.78958206147347,-6.08231605045508,2.9906773148579503e-09,8.5033864461924e-07,9.99058630431791,0.0529993623612326,Gene,Hippocampus
GPAT2|ENSG00000186281.13,chr2,96021946,96039451,17506,ENSG00000186281.13,ENSG00000186281,GPAT2,0.375697968366561,-0.102518419743097,4.00877288837525,7.40228812402645e-05,0.0151023629535004,-0.203310693873036,0.0779052146183675,Gene,Hippocampus
NKAPL|ENSG00000189134.4,chr6,28259297,28260958,1662,ENSG00000189134.4,ENSG00000189134,NKAPL,0.183063420112282,0.546156756744907,4.01140963522434,7.32355298767199e-05,0.0150566615924238,-0.305465712089045,0.0216241409891037,Gene,Hippocampus
ZNF98|ENSG00000197360.9,chr19,22391019,22532485,141467,ENSG00000197360.9,ENSG00000197360,ZNF98,-0.323068768230248,0.598839043698425,-3.78065045282164,0.0001826687351341,0.0339040783606265,-1.20870034975089,0.0487704124458266,Gene,Hippocampus
PTPN20|ENSG00000204179.11,chr10,46911396,47002488,91093,ENSG00000204179.11,ENSG00000204179,PTPN20,0.285616175261571,2.45016958437345,3.90963891582511,0.0001101934573143,0.0214973761579577,-1.00159169890849,0.0344146815126504,Gene,Hippocampus
DYNLL1P1|ENSG00000205579.3,chr14,81246295,81246563,269,ENSG00000205579.3,ENSG00000205579,DYNLL1P1,0.531346756706493,-2.42466418419759,5.97251235900216,5.546179784561751e-09,1.5281726505359e-06,9.41974972318785,0.0195848765962593,Gene,Hippocampus
LINC01597|ENSG00000205611.5,chr20,30278906,30289956,11051,ENSG00000205611.5,ENSG00000205611,LINC01597,1.21128265189098,-0.155485200495139,8.83761110050504,4.19890871093863e-17,1.65035636937142e-14,27.4362363427553,0.025863135474846,Gene,Hippocampus
PDCL3P5|ENSG00000213089.4,chr6,150827663,150828384,722,ENSG00000213089.4,ENSG00000213089,PDCL3P5,-0.315117166527005,-0.992869818338931,-4.36739359763572,1.64021086486386e-05,0.0036229682467121,1.34186331584327,0.0440682620796961,Gene,Hippocampus
ENSG00000213252|ENSG00000213252.3,chr11,106826392,106827890,1499,ENSG00000213252.3,ENSG00000213252,ENSG00000213252,-0.413810350473756,-0.493530209291531,-6.9887028690898,1.3247868866960699e-11,4.1171603628751105e-09,14.8971222123582,0.053340953487671,Gene,Hippocampus
YBX1P10|ENSG00000213866.3,chr9,35971344,35972318,975,ENSG00000213866.3,ENSG00000213866,YBX1P10,4.07166718182734,-1.98164775696487,39.6669687654618,2.05987934272897e-134,1.57298271980335e-131,295.229746217134,0.0194892538064869,Gene,Hippocampus
RCN1P2|ENSG00000214455.4,chr13,45390353,45391267,915,ENSG00000214455.4,ENSG00000214455,RCN1P2,-0.783319002369038,-1.00208620124303,-5.89487671514682,8.53804457863941e-09,2.32853385156424e-06,8.64115954498397,0.0381171327341362,Gene,Hippocampus
ZNF727|ENSG00000214652.6,chr7,64045434,64085339,39906,ENSG00000214652.6,ENSG00000214652,ZNF727,-0.2505063873346,4.64680179287862,-4.91690767457238,1.33144671296296e-06,0.0003235052390669,2.94163456530704,0.0408756530611311,Gene,Hippocampus
FAM240C|ENSG00000216921.9,chr2,241893988,241902551,8564,ENSG00000216921.9,ENSG00000216921,FAM240C,-0.378094716790682,-1.70783094753141,-3.85491337534212,0.0001367798341791,0.0259270541000341,-0.527231184050146,0.0397507070595528,Gene,Hippocampus
RPS10P3|ENSG00000217716.3,chr9,88016300,88016793,494,ENSG00000217716.3,ENSG00000217716,RPS10P3,-4.78045750589165,-1.06984182967188,-65.1560484879256,4.06663578171965e-203,5.17566545419148e-200,453.89436942648,0.0472090204371244,Gene,Hippocampus
RPL21P28|ENSG00000220749.4,chr1,212051524,212052006,483,ENSG00000220749.4,ENSG00000220749,RPL21P28,-0.354268770922372,-1.20741463694603,-3.89693830485214,0.0001158875134282,0.022444388198525,-0.473454557983074,0.0931864483694656,Gene,Hippocampus
SMPD4P1|ENSG00000223553.6,chr22,20602595,20656914,54320,ENSG00000223553.6,ENSG00000223553,SMPD4P1,-0.443312991939554,-0.954592099969806,-3.70047822357342,0.0002483447183814,0.0451531244093988,-1.24773771403973,0.0554679562636407,Gene,Hippocampus
CALCRL-AS1|ENSG00000224063.6,chr2,187003220,187556288,553069,ENSG00000224063.6,ENSG00000224063,CALCRL-AS1,0.621753006697364,-2.59819165416713,4.86641990033848,1.69385755428871e-06,0.0004006347863139,3.91162776748794,0.0413631894905643,Gene,Hippocampus
