gene_id	seqname	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	Feature
ENSG00000229236.1	chrY	1726	ENSG00000229236.1	ENSG00000229236	lincRNA	TTTY10	246119.0	InGen	0.557591791301358	2	ENST00000455084.1|ENST00000439472.1	6.9199039293536	-0.690507891355115	87.4814467380308	2.25606449837966e-247	5.18669228177485e-243	543.311807140256	ENSG00000229236.1
ENSG00000154620.5	chrY	1669	ENSG00000154620.5	ENSG00000154620	protein_coding	TMSB4Y	9087.0	InGen	0.740802933142087	1	ENST00000284856.3	7.01784511334137	-0.538273625578436	84.4835120599971	4.29930531355545e-242	4.942051457931989e-238	532.188013465981	ENSG00000154620.5
ENSG00000226555.1	chrY	1263	ENSG00000226555.1	ENSG00000226555	processed_pseudogene	AGKP1		InGen	0.887881713737109	1	ENST00000455254.1	7.08311197785686	-0.609469045214593	83.1111652715855	1.2798050832278702e-239	9.80757295446955e-236	526.950481862846	ENSG00000226555.1
ENSG00000176728.7	chrY	3239	ENSG00000176728.7	ENSG00000176728	lincRNA	TTTY14		InGen	1.04896695379006	6	ENST00000324446.3|ENST00000454875.1|ENST00000452584.5|ENST00000331787.2|ENST00000447937.1|ENST00000610801.1	8.09049077630293	0.698724738980561	80.4928966380225	8.517909342113211e-235	4.8956683943795597e-231	517.139257368161	ENSG00000176728.7
ENSG00000260197.1	chrY	2666	ENSG00000260197.1	ENSG00000260197	lincRNA			InGen	0.206379257880025	1	ENST00000566193.1	6.30290861316648	-1.38523005957765	79.2452153391777	1.89795862367656e-232	8.726813751664819e-229	511.201228107956	ENSG00000260197.1
ENSG00000241859.6	chrY	2369	ENSG00000241859.6	ENSG00000241859	transcribed_unprocessed_pseudogene	ANOS2P		InGen	0.818848836649793	3	ENST00000472227.5|ENST00000430079.5|ENST00000460561.1	7.1516029446657	0.0892125670271747	78.5518940776701	3.9562651513756197e-231	1.51590893050209e-227	509.0222965675	ENSG00000241859.6
ENSG00000206159.10	chrY	2159	ENSG00000206159.10	ENSG00000206159	transcribed_unprocessed_pseudogene	GYG2P1		InGen	0.312695869763984	5	ENST00000382966.5|ENST00000493160.5|ENST00000357871.6|ENST00000382963.5|ENST00000382965.2	6.67450923255715	-1.1555567252738	74.9961296969399	3.37620402466269e-224	1.10884186467136e-220	493.661036768248	ENSG00000206159.10
ENSG00000233864.7	chrY	5284	ENSG00000233864.7	ENSG00000233864	lincRNA	TTTY15	64595.0	InGen	1.17854485736244	3	ENST00000457658.5|ENST00000440408.5|ENST00000417071.1	8.13068511572308	1.45197663270109	74.8944382570008	5.38121773993785e-224	1.54642744801464e-220	494.008239895834	ENSG00000233864.7
ENSG00000067646.11	chrY	5527	ENSG00000067646.11	ENSG00000067646	protein_coding	ZFY	7544.0	InGen	0.95328477865876	7	ENST00000383052.5|ENST00000625061.3|ENST00000155093.7|ENST00000469869.1|ENST00000443793.1|ENST00000449237.4|ENST00000478783.1	7.93969715392571	1.31894853499581	72.3438564984691	7.74622608643874e-219	1.97873041919141e-215	482.771791946468	ENSG00000067646.11
ENSG00000198692.9	chrY	4074	ENSG00000198692.9	ENSG00000198692	protein_coding	EIF1AY	9086.0	InGen	0.809289315053165	5	ENST00000361365.6|ENST00000465253.1|ENST00000382772.3|ENST00000464196.5|ENST00000485584.1	7.67647654754506	0.769189159446562	70.9813398286977	5.1267791301051e-216	1.17864652201116e-212	476.530008857224	ENSG00000198692.9
