Feature,seqnames,start,end,width,gencodeID,ensemblID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Type,Region
NIPAL3-207|ENST00000488155.1,chr1,24415812,24420128,4317,ENSG00000001461.17,ENSG00000001461,NIPAL3,0.195249176563002,0.273831888363316,4.19332596983281,3.45682955396441e-05,0.009291588853632,0.786091981908907,0.334370928828038,Transcript,Hippocampus
MED18-205|ENST00000479574.5,chr1,28329002,28335016,6015,ENSG00000130772.14,ENSG00000130772,MED18,-0.810942495283331,-3.24593136502412,-3.8537677417316,0.0001374865190705,0.0326450310752954,0.266469775332733,0.0877975111280664,Transcript,Hippocampus
TM2D1-208|ENST00000488206.5,chr1,61681245,61725113,43869,ENSG00000162604.12,ENSG00000162604,TM2D1,0.356233039166314,-0.376907186428884,5.29244431887764,2.09157390740409e-07,7.16183763358279e-05,5.81412136830001,0.0436725049537778,Transcript,Hippocampus
ENST00000643361|ENST00000643361.1,chr1,68679202,68943391,264190,ENSG00000285407.1,ENSG00000285407,ENSG00000285407,0.286164522106272,-1.11914752339995,5.70450081382044,2.42061608022861e-08,9.13426883258416e-06,8.04926825338781,0.103820518131782,Transcript,Hippocampus
WARS2-IT1-201|ENST00000423984.2,chr1,119047405,119064785,17381,ENSG00000224238.2,ENSG00000224238,WARS2-IT1,0.085889100783657,3.0615876998388,4.19006017848873,3.50462293766183e-05,0.0093936656661603,0.370729510546873,0.149296682841033,Transcript,Hippocampus
ADAMTSL4-205|ENST00000483335.1,chr1,150549421,150551906,2486,ENSG00000143382.16,ENSG00000143382,ADAMTSL4,0.395550828096384,-1.3669806348522,5.13041191822712,4.71438327395574e-07,0.0001550222065641,5.23879933903826,0.150184461423039,Transcript,Hippocampus
ENST00000563320|ENST00000563320.1,chr1,191151510,191154634,3125,ENSG00000261642.1,ENSG00000261642,ENSG00000261642,0.278882560052161,0.376279238504167,8.15390697515993,5.7751131435934305e-15,2.7909838464510697e-12,22.7440440662107,0.0914303383051295,Transcript,Hippocampus
LEMD1-DT-201|ENST00000442318.1,chr1,205455929,205469024,13096,ENSG00000224717.1,ENSG00000224717,LEMD1-DT,0.154177174864383,-0.16836792634576,4.04311047606064,6.44214132498265e-05,0.016482408054713,0.264470993210319,0.243690866988946,Transcript,Hippocampus
FAM72A-208|ENST00000607379.1,chr1,206201281,206202419,1139,ENSG00000196550.11,ENSG00000196550,FAM72A,-0.417908013481969,-2.45857993996024,-4.31293948412383,2.07803004662677e-05,0.0058141700915692,1.89570212786256,0.238447295217954,Transcript,Hippocampus
PROX1-AS1-204|ENST00000593620.5,chr1,213832541,213955239,122699,ENSG00000230461.10,ENSG00000230461,PROX1-AS1,0.399257875075017,-1.15585840313271,6.54075941399982,2.07898495688449e-10,8.42949116692032e-08,12.7067194209767,0.223438250359413,Transcript,Hippocampus
SLC8A1-209|ENST00000408028.6,chr2,40115253,40430280,315028,ENSG00000183023.18,ENSG00000183023,SLC8A1,-1.03329703315191,-3.8658027017121,-3.77715759467671,0.000185263035172,0.0421083956593307,0.178847800370587,0.118708911713479,Transcript,Hippocampus
CHMP3-202|ENST00000393773.7,chr2,86505775,86563166,57392,ENSG00000115561.16,ENSG00000115561,CHMP3,-0.592408433241612,-0.257904229256187,-4.1741154041934,3.74715691539448e-05,0.0099600471688106,0.759081096244511,0.142725185751556,Transcript,Hippocampus
STEAP3-204|ENST00000409811.5,chr2,119223853,119263698,39846,ENSG00000115107.20,ENSG00000115107,STEAP3,-0.761011322236453,-3.19470527555685,-3.92744677320552,0.0001027266376307,0.0252694324633584,0.541232502859327,0.336557890688701,Transcript,Hippocampus
ZNF285CP-203|ENST00000676277.1,chr2,132304806,132326855,22050,ENSG00000018607.8,ENSG00000018607,ZNF285CP,0.268316816038541,-1.29945179227142,4.21745588518777,3.12247582278864e-05,0.0084882553695119,1.19573252631517,0.0682271145004683,Transcript,Hippocampus
ENST00000608279|ENST00000608279.2,chr2,132345616,132347302,1687,ENSG00000272769.2,ENSG00000272769,ENSG00000272769,0.575750716829322,0.654485629417674,7.60712430146472,2.42393546589944e-13,1.09407528677572e-10,19.0385109919281,0.0359577173349681,Transcript,Hippocampus
CCNT2-AS1-204|ENST00000668300.1,chr2,134804101,134918710,114610,ENSG00000224043.9,ENSG00000224043,CCNT2-AS1,0.191758391527818,-0.613040131998317,3.82725534517997,0.0001525199707459,0.0358586817707733,-0.471575152332735,0.179086051670177,Transcript,Hippocampus
CXCR4-204|ENST00000696136.1,chr2,136114349,136116549,2201,ENSG00000121966.8,ENSG00000121966,CXCR4,-1.02952666473636,-3.85664422336268,-3.91686421590704,0.0001071479845956,0.0262894448666001,0.660873397431388,0.131233722876442,Transcript,Hippocampus
ENST00000671005|ENST00000671005.1,chr2,158847619,158870393,22775,ENSG00000286621.1,ENSG00000286621,ENSG00000286621,0.249115883717998,-0.439559328047052,5.02390354939545,7.9549100219421e-07,0.0002580330118947,4.51983704520808,0.0665923274460861,Transcript,Hippocampus
PPIG-203|ENST00000414307.6,chr2,169584342,169633519,49178,ENSG00000138398.17,ENSG00000138398,PPIG,-1.1490710277911,-2.08596906348839,-3.80802405446253,0.0001643831422388,0.0381787827613885,-0.287396272521,0.176336979824431,Transcript,Hippocampus
ACADL-201|ENST00000233710.4,chr2,210187923,210225447,37525,ENSG00000115361.8,ENSG00000115361,ACADL,-0.433636655223259,-1.07246419830769,-3.87666745699283,0.0001256405026454,0.030207070496584,-0.227954982232531,0.127534405569953,Transcript,Hippocampus
RPL15-215|ENST00000644684.1,chr3,23917148,23919537,2390,ENSG00000174748.22,ENSG00000174748,RPL15,3.2215740469523,-3.69055644459369,7.06047278664494,8.47498440415046e-12,3.66951485361427e-09,16.2072621377262,0.110692238850548,Transcript,Hippocampus
SAMMSON-226|ENST00000642089.1,chr3,69999576,70127252,127677,ENSG00000240405.7,ENSG00000240405,SAMMSON,0.330561770756633,-0.673097912129462,6.73340116697304,6.48422495388947e-11,2.66295708846665e-08,13.7340046532747,0.0681003610459544,Transcript,Hippocampus
VGLL3-204|ENST00000637106.1,chr3,86876388,86968631,92244,ENSG00000206538.9,ENSG00000206538,VGLL3,0.233057791629932,0.0575554641421891,6.48102723710958,2.96835423319445e-10,1.19847615282761e-07,12.1211036882696,0.313493019009515,Transcript,Hippocampus
RN7SL397P-201|ENST00000487309.3,chr3,120121909,120122206,298,ENSG00000244139.3,ENSG00000244139,RN7SL397P,0.648336073229126,-2.06809115743678,7.74510315555313,9.598879559218891e-14,4.39477122556027e-11,20.5045435059155,0.232007676079296,Transcript,Hippocampus
ALDH1L1-203|ENST00000393434.7,chr3,126103570,126180586,77017,ENSG00000144908.14,ENSG00000144908,ALDH1L1,-0.193144778980384,3.90380412332308,-3.75736326832806,0.0001999446674893,0.0448068039517286,-1.39078395488516,0.0324912734276488,Transcript,Hippocampus
RUBCN-210|ENST00000474214.2,chr3,197701860,197736913,35054,ENSG00000145016.16,ENSG00000145016,RUBCN,-0.360489680945468,-1.79385789842454,-4.03837632578856,6.56779055010219e-05,0.0167590749319661,0.579665657713764,0.122397247076117,Transcript,Hippocampus
TMEM175-220|ENST00000515740.5,chr4,932465,958575,26111,ENSG00000127419.17,ENSG00000127419,TMEM175,-0.948608803625585,-2.87900780438648,-3.7643461719996,0.0001946443782969,0.0439276554595759,-0.146007273235397,0.094755710065924,Transcript,Hippocampus
RN7SL589P-201|ENST00000481268.3,chr4,2316197,2316506,310,ENSG00000239247.3,ENSG00000239247,RN7SL589P,0.284202998641046,-1.635399370515,4.37868237066961,1.5631893233243e-05,0.0044385763548836,1.94362578663915,0.251915449145634,Transcript,Hippocampus
MTHFD2L-203|ENST00000395759.6,chr4,74158112,74303092,144981,ENSG00000163738.19,ENSG00000163738,MTHFD2L,1.35151985081082,-2.32625758550142,3.88623240272034,0.0001209843438466,0.0293085338692286,0.203212371834494,0.168963294518083,Transcript,Hippocampus
