Feature	seqnames	start	end	width	gencodeID	ensemblID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE	Type	Region
chrX:73833375-73837439:-	chrX	73833375	73837439	4065	ENSG00000223972.5	ENSG00000223972	DDX11L1	-8.12768162758117	-1.46172222819315	-74.6859173977763	4.482223946376381e-223	6.62400983691288e-218	485.433054883035	0.109738927388963	Junction	Hippocampus
chrX:73829232-73831065:-	chrX	73829232	73831065	1834	ENSG00000223972.5	ENSG00000223972	DDX11L1	-8.69504075840264	-0.780466550496212	-73.7733935751003	3.003745101676e-221	2.21952733053043e-216	482.486037741997	0.140100365784662	Junction	Hippocampus
chrX:73831275-73833237:-	chrX	73831275	73833237	1963	ENSG00000223972.5	ENSG00000223972	DDX11L1	-8.73993901690774	-0.906654240335782	-68.7178910551148	9.24804321654652e-211	4.5557093957137e-206	459.957096598455	0.146135477815927	Junction	Hippocampus
chrX:73837504-73841381:-	chrX	73837504	73841381	3878	ENSG00000223972.5	ENSG00000223972	DDX11L1	-7.99875933749427	-1.53376151293565	-67.5500515462519	3.04198517461859e-208	1.12389184261458e-203	454.293482156572	0.109788858500201	Junction	Hippocampus
chrX:73827985-73829067:-	chrX	73827985	73829067	1083	ENSG00000223972.5	ENSG00000223972	DDX11L1	-8.07679592497595	-1.54059774146321	-64.3924896352801	3.0117623231757702e-201	8.90180566336415e-197	439.392618999072	0.139844301518657	Junction	Hippocampus
chrX:73821030-73822070:-	chrX	73821030	73822070	1041	ENSG00000223972.5	ENSG00000223972	DDX11L1	-6.39036774578679	-2.52226613842335	-63.6776761896524	1.26626240508118e-199	3.1188887212086196e-195	435.622222152431	0.144718177081827	Junction	Hippocampus
chrX:73822217-73826114:-	chrX	73822217	73826114	3898	ENSG00000223972.5	ENSG00000223972	DDX11L1	-6.29354851360624	-2.51685419943692	-57.0107333341632	1.0442266520358202e-183	2.20457130777803e-179	401.443281881979	0.0659941952747514	Junction	Hippocampus
chrY:2845744-2854599:+	chrY	2845744	2854599	8856	ENSG00000129824.16,ENSG00000288686.2	ENSG00000129824	RPS4Y1,XGY2	8.92388045581068	1.32711099712568	55.7960514127789	1.2004324069344501e-180	2.2175587853300097e-176	385.618195442754	0.0632007895836781	Junction	Hippocampus
chrY:12912883-12912962:+	chrY	12912883	12912962	80	ENSG00000223972.5	ENSG00000223972	DDX11L1	8.02210345465617	0.673971924579683	54.5502627769761	1.8771014188163198e-177	3.0822839564261305e-173	379.063479305205	0.108653925901826	Junction	Hippocampus
chrY:2854772-2865087:+	chrY	2854772	2865087	10316	ENSG00000223972.5	ENSG00000223972	DDX11L1	8.83298243487727	1.26680208474421	53.7565992532537	2.1793586742982098e-175	3.22074342322486e-171	374.837883256202	0.152646407086344	Junction	Hippocampus
