,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Permutation
ENSG00000248587.7,9873,ENSG00000248587.7,ENSG00000248587,antisense,GDNF-AS1,100861519.0,InGen,0.182646793980359,5,ENST00000637595.1|ENST00000637926.1|ENST00000503382.6|ENST00000514532.2|ENST00000510986.2,1.01592188854827,1.62238066940913,8.5537270573161,6.85663168943402e-14,1.5666717747187802e-09,19.8495764199851,0.118769500329022,02
ENSG00000168621.14,4273,ENSG00000168621.14,ENSG00000168621,protein_coding,GDNF,2668.0,InGen,0.121417786606978,8,ENST00000620847.1|ENST00000344622.8|ENST00000326524.6|ENST00000381826.8|ENST00000427982.5|ENST00000515058.5|ENST00000510177.5|ENST00000502572.1,0.818829659928806,-0.279031246439898,6.04574445584341,1.98573900628436e-08,0.0001541499155848,7.87458185200402,0.135439012665741,02
ENSG00000106133.17,2576,ENSG00000106133.17,ENSG00000106133,transcribed_unprocessed_pseudogene,NSUN5P2,155400.0,InGen,1.16421523177671,5,ENST00000602348.5|ENST00000444583.6|ENST00000485741.6|ENST00000388955.8|ENST00000457352.3,-0.364857953116149,2.61914227802239,-6.0314536753678,2.12297534065734e-08,0.0001541499155848,8.82273907383102,0.0604925400664541,02
ENSG00000140015.19,12320,ENSG00000140015.19,ENSG00000140015,protein_coding,KCNH5,27133.0,InGen,0.274956672052334,4,ENST00000322893.11|ENST00000420622.6|ENST00000394968.2|ENST00000394964.3,0.555800732321267,2.14936256721359,5.9800199274029,2.69858489360277e-08,0.0001541499155848,8.53785183629101,0.0929429565567768,02
ENSG00000182752.9,11573,ENSG00000182752.9,ENSG00000182752,protein_coding,PAPPA,5069.0,InGen,0.0454069613666399,3,ENST00000328252.3|ENST00000460463.1|ENST00000483254.1,0.75358620197813,-0.330814464673152,5.8620240051011,4.66197751288127e-08,0.0002130430483836,7.14134321193971,0.128553926309814,02
ENSG00000115841.19,5999,ENSG00000115841.19,ENSG00000115841,protein_coding,RMDN2,151393.0,InGen,0.854475611974574,12,ENST00000414644.5|ENST00000354545.6|ENST00000440353.5|ENST00000406384.5|ENST00000407257.5|ENST00000417700.6|ENST00000234195.7|ENST00000442857.5|ENST00000402091.3|ENST00000496735.1|ENST00000425641.1|ENST00000469469.1,-0.3193313246202,3.34402343176502,-5.79619570938222,6.31018650981187e-08,0.0002403024192711,7.92670609239276,0.0550932612753747,02
ENSG00000240521.1,1414,ENSG00000240521.1,ENSG00000240521,antisense,,,InGen,0.159981413633623,1,ENST00000488190.1,1.11790488842992,-1.44502054931916,5.5392501211434,2.02357899504671e-07,0.0006605250922546,5.40683426640798,0.201815203137851,02
ENSG00000231793.4,1579,ENSG00000231793.4,ENSG00000231793,unitary_pseudogene,DOC2GP,,InGen,0.155734402775034,2,ENST00000495263.1|ENST00000514950.1,-0.767731003899339,-1.0608295087331,-5.3105580851318,5.57853854548093e-07,0.0015933003403211,4.60221567393165,0.144566915866863,02
ENSG00000155090.14,4003,ENSG00000155090.14,ENSG00000155090,protein_coding,KLF10,7071.0,InGen,1.371162729396,2,ENST00000285407.10|ENST00000395884.3,0.6122865424606,3.27298232303775,5.24488342601216,7.43281199686249e-07,0.0018870257924034,5.64928510207512,0.116739780988067,02
ENSG00000258520.1,578,ENSG00000258520.1,ENSG00000258520,lincRNA,,,InGen,0.929703576651926,1,ENST00000556316.1,0.897401865824353,-0.490753937253856,5.20950768533629,8.66834540882862e-07,0.0019806302424632,4.70943854031074,0.172262317291586,02
ENSG00000136603.13,7782,ENSG00000136603.13,ENSG00000136603,protein_coding,SKIL,6498.0,InGen,6.61781465699337,10,ENST00000477216.1|ENST00000465590.1|ENST00000476188.5|ENST00000259119.8|ENST00000426052.6|ENST00000490989.1|ENST00000413427.6|ENST00000458537.7|ENST00000470571.1|ENST00000490894.1,0.213066517371526,6.68491393449264,4.95216801633727,2.60688331217482e-06,0.0052056662935761,4.46057368491472,0.0430248967055674,02
ENSG00000121316.10,2841,ENSG00000121316.10,ENSG00000121316,protein_coding,PLBD1,79887.0,InGen,0.471241288846318,4,ENST00000240617.9|ENST00000541800.6|ENST00000541618.1|ENST00000540572.1,0.463239770053412,1.35500066041019,4.9408752375998,2.73394877337797e-06,0.0052056662935761,4.27416674826848,0.0937566216058608,02
ENSG00000146147.14,7293,ENSG00000146147.14,ENSG00000146147,protein_coding,MLIP,90523.0,InGen,1.02147276340637,13,ENST00000505762.1|ENST00000514921.5|ENST00000274897.9|ENST00000370877.6|ENST00000509997.5|ENST00000460844.6|ENST00000370876.6|ENST00000447836.6|ENST00000511678.5|ENST00000503951.5|ENST00000511744.1|ENST00000502396.5|ENST00000514433.1,-0.409837632978478,3.80044115733374,-4.87912046300435,3.54271170812967e-06,0.0062267246014657,4.20795938000114,0.0839982607697531,02
