RNum	BrNum
R5527	Br822
R2725	Br823
R4805	Br836
R5528	Br845
R4817	Br846
R4793	Br848
R5033	Br852
R5022	Br858
R4818	Br859
R5034	Br863
R5035	Br869
R5757	Br873
R4819	Br885
R5529	Br887
R4854	Br888
R5397	Br890
R11246	Br891
R5549	Br894
R5515	Br898
R4820	Br909
R4821	Br914
R11248	Br918
R4865	Br942
R5023	Br948
R4866	Br959
R5036	Br963
R5530	Br973
R4998	Br982
R5506	Br983
R4985	Br989
R5398	Br991
R5531	Br993
R4867	Br1003
R4842	Br1004
R5540	Br1006
R4868	Br1016
R2442	Br1017
R4809	Br1021
R4810	Br1023
R5443	Br1030
R5532	Br1033
R5455	Br1034
R4822	Br1039
R4811	Br1041
R5024	Br1053
R4781	Br1054
R4795	Br1056
R5025	Br1067
R5533	Br1069
R5045	Br1081
R4812	Br1084
R5491	Br1092
R4797	Br1093
R4798	Br1099
R5420	Br1102
R4799	Br1105
R4869	Br1109
R4800	Br1111
R4801	Br1113
R4824	Br1122
R4813	Br1134
R11261	Br1135
R4783	Br1137
R5409	Br1139
R4784	Br1142
R4825	Br1143
R2216	Br1148
R4802	Br1156
R4785	Br1157
R4878	Br1160
R4758	Br1164
R4826	Br1167
R4827	Br1179
R4815	Br1183
R4786	Br1185
R5432	Br1187
R5433	Br1191
R4787	Br1193
R4721	Br1203
R2225	Br1204
R4722	Br1214
R5410	Br1221
R4709	Br1225
R5038	Br1227
R4973	Br1228
R4710	Br1235
R4711	Br1243
R5027	Br1245
R4723	Br1249
R4724	Br1250
R4725	Br1253
R4712	Br1263
R4714	Br1265
R5423	Br1271
R5424	Br1275
R4715	Br1276
R4716	Br1279
R5434	Br1280
R4717	Br1281
R5014	Br1282
R4726	Br1283
R4855	Br1285
R5028	Br1288
R5001	Br1289
R5002	Br1292
R4727	Br1297
R4733	Br1298
R5040	Br1303
R4729	Br1304
R4731	Br1306
R4732	Br1314
R4718	Br1320
R4719	Br1321
R5046	Br1324
R4720	Br1325
R5573	Br1326
R5399	Br1339
R5059	Br1340
R5048	Br1348
R5049	Br1350
R11183	Br1351
R5425	Br1356
R2346	Br1365
R5051	Br1370
R5041	Br1371
R5412	Br1378
R5061	Br1383
R2272	Br1384
R5052	Br1389
R5063	Br1390
R5064	Br1399
R5456	Br1407
R2279	Br1408
R5446	Br1409
R5469	Br1410
R5015	Br1412
R5065	Br1416
R4788	Br1417
R5457	Br1418
R11255	Br1420
R5542	Br1424
R5066	Br1425
R5458	Br1427
R5067	Br1432
R5016	Br1435
R2292	Br1436
R5459	Br1441
R5437	Br1442
R5438	Br1443
R5054	Br1446
R5055	Br1447
R5426	Br1448
R5439	Br1453
R5460	Br1455
R5474	Br1458
R5461	Br1459
R5462	Br1463
R4846	Br1464
R2308	Br1469
R5463	Br1473
R5464	Br1474
R5403	Br1485
R5440	Br1487
R5477	Br1492
R3722	Br1493
R5068	Br1494
R4857	Br1497
R4858	Br1498
R5448	Br1499
R4872	Br1503
R4859	Br1504
R5543	Br1507
R5449	Br1509
R5480	Br1512
R5587	Br1517
R4861	Br1518
R5588	Br1522
R4863	Br1524
R11184	Br1525
R4864	Br1526
R5535	Br1527
R2538	Br1528
R5415	Br1529
R5019	Br1531
R5494	Br1532
R4873	Br1536
R5429	Br1538
R5495	Br1539
R5520	Br1550
R5450	Br1552
R5005	Br1553
R4976	Br1556
R4977	Br1558
R5497	Br1563
R5498	Br1565
R5499	Br1568
R5536	Br1571
R5416	Br1573
R5405	Br1576
R5590	Br1578
R4828	Br1579
R5481	Br1581
R5452	Br1585
R2730	Br1587
R4880	Br1588
R5555	Br1590
R5417	Br1591
R5453	Br1594
R4881	Br1602
R5418	Br1605
R5544	Br1610
R4978	Br1611
R4992	Br1613
R5466	Br1615
R4850	Br1624
R4892	Br1637
R5485	Br1644
R5044	Br1648
R4980	Br1649
R5512	Br1654
R4981	Br1657
R4893	Br1663
R4882	Br1664
R5513	Br1665
R5523	Br1669
R5008	Br1670
R5406	Br1672
R5545	Br1676
R4883	Br1678
R4884	Br1682
R4885	Br1684
R4875	Br1688
R4886	Br1691
R4930	Br1693
R4994	Br1695
R4931	Br1697
R4946	Br1700
R4933	Br1703
R5488	Br1706
R4894	Br1721
R5546	Br1722
R5032	Br1733
R4996	Br1735
R4948	Br1738
R5538	Br1740
R4934	Br1745
R11185	Br1750
R4984	Br1753
R4888	Br1761
R4936	Br1764
R5764	Br1832
R5765	Br1840
R4738	Br1842
R4921	Br1847
R4923	Br1854
R4904	Br1857
R4954	Br1858
R4955	Br1859
R4905	Br1876
R4971	Br1878
R4924	Br1879
R4957	Br1880
R4907	Br1881
R3758	Br1883
R5766	Br1884
R3807	Br1890
R5768	Br1898
R5526	Br1900
R3854	Br1905
R4742	Br1908
R4753	Br1909
R5637	Br1912
R4743	Br1918
R4762	Br1923
R4756	Br1927
R4744	Br1936
R4769	Br1941
R5640	Br1946
R5661	Br1958
R4771	Br1960
R4972	Br1961
R4908	Br1963
R4959	Br1964
R4960	Br1966
R4909	Br1968
R4764	Br1974
R4774	Br1980
R4777	Br1987
R5647	Br1994
R4765	Br1995
R4766	Br1998
R11238	Br2001
R4778	Br2003
R4768	Br2005
R5729	Br2009
R5655	Br2015
R5656	Br2020
R5658	Br2026
R11235	Br2027
R5659	Br2038
R11234	Br2039
R5660	Br2044
R5662	Br2046
R11227	Br2052
R5663	Br2053
R11135	Br2063
R5665	Br2064
R11212	Br2073
R5666	Br2074
R11215	Br2075
R5667	Br2076
R5668	Br2080
R5669	Br2084
R5671	Br2242
R5730	Br2257
R5672	Br2261
R5731	Br2263
R5733	Br2267
R5735	Br2271
R5737	Br2285
R11241	Br2287
R5738	Br2288
R11216	Br2291
R5682	Br2292
R11231	Br2295
R11213	Br2298
R11229	Br2304
R11236	Br2305
R11219	Br2313
R11239	Br2322
R11218	Br2337
R11223	Br2345
R11214	Br2346
R11225	Br2348
R11217	Br2351
R11188	Br2353
R11228	Br2371
R11242	Br2377
R11138	Br2378
R11152	Br2393
R11233	Br2405
R11224	Br2421
R11226	Br2423
R11245	Br2425
R11230	Br2453
R11243	Br2454
R11147	Br2464
R11148	Br2470
R12176	Br2474
R11186	Br2476
R11149	Br2481
R11153	Br2494
R11154	Br2509
R12177	Br2513
R12178	Br2521
R11187	Br2534
R12180	Br2539
R12181	Br2542
R12182	Br2543
R12183	Br2557
R12184	Br2573
R11137	Br2582
R11189	Br2587
R11198	Br5005
R11203	Br5053
R11139	Br5066
R11199	Br5135
R11190	Br5146
R11140	Br5154
R11141	Br5155
R11191	Br5161
R11192	Br5165
R11142	Br5182
R11156	Br5200
R11143	Br5205
R11200	Br5212
R11144	Br5228
R11201	Br5235
R11145	Br5250
R11195	Br5259
R11146	Br5262
R12186	Br5276
R12187	Br5280
R11193	Br5286
R11197	Br5287
R11157	Br5292
R11222	Br5314
R11204	Br5323
R11155	Br5324
R12188	Br5330
R11205	Br5338
R12189	Br5348
R11158	Br5367
R11206	Br5370
