medianRank.pres	medianRank.qual	Zsummary.pres	Zsummary.qual
black	16	11.5	95	59
blue	22	22	87	35
brown	7	7	140	84
cyan	13	4.5	66	44
darkgreen	9	9.5	50	27
darkgrey	1	9	49	25
darkred	7	13.5	53	26
darkturquoise	18	13.5	45	21
gold	26	26	30	0.65
green	12	16	100	59
greenyellow	17	10	79	50
grey	27	27	3.1	-23
grey60	20	15.5	49	25
lightcyan	25	24	22	11
lightgreen	8	2	53	34
lightyellow	6	4.5	49	31
magenta	5	3	100	60
midnightblue	12	6	58	38
orange	17	11	38	21
pink	12	19.5	100	29
purple	24	24	50	19
red	15	21	95	34
royalblue	8	18	51	20
salmon	10	14.5	69	37
tan	2	1	86	53
turquoise	20	19.5	120	50
yellow	23	24	61	24
