,RXE,RGE1,RGE2,RGE3,RGE4,RGE5,RGE6,RGE7,RGE8,RGE9,RGE10,RGE11,RGE12,RGE13,RGE14,RGE15,RGE16,RGE17,RGE18,RGE19,RGE20,RGE21,RGE22
R12864,0.28522654280751514,0.13722061811505437,0.04861882525354755,0.12420317129293856,0.027022369094004794,-0.024264874580152362,0.1157489375378451,0.07988747429853094,-0.06317773318194764,0.07471556069703356,0.15615024165071212,0.013279521873296396,-0.010463372794876413,-0.17220534664147413,-0.025920313827888286,-0.355003888010605,-0.28015402331336947,-0.038058807957639385,-0.450791130709403,0.023306029632782277,0.27307945915376175,-0.3398133384091335,-0.009248394791241843
R12865,0.2143322750395802,0.15990554343764396,0.02724793412883164,0.11084410034391423,0.018940218283181487,-0.03223777233356717,0.09843097448941451,0.07377377871944502,-0.11483067284706205,0.14070929208959715,0.13115465663086656,0.03885976664689261,0.006455428366720195,-0.22638593524808615,-0.04547187023425847,-0.3884496089688132,-0.2797946970863805,0.002795353189387839,-0.48990551194254595,0.0660023594402257,0.24761822286518376,-0.31995572542623574,-0.03271533344077726
R12866,0.20653458131441216,0.11807048599514625,0.04593835759485909,0.11338845955313293,-0.05615806619135233,-0.049249432097931756,0.03951392737843218,0.09436635037879926,-0.09851779603728206,0.14330750181291663,0.15407190681490857,0.007748065481295363,-0.01477139896997226,-0.17359205205604233,-0.0244570419570751,-0.2946989882616706,-0.21421239726155994,-0.020374247973654835,-0.48874822141422625,0.060728179411369876,0.25609629079389507,-0.2857567821998095,0.029614317936797363
R12867,0.14438622651600985,0.10281876245793464,0.06351530724176113,0.14785731823968762,0.012888267448900592,-0.003432155371381196,0.0696047526471486,0.04450733450034283,-0.05805434754613881,0.13734440500181266,0.1628464881969025,-0.0228537485217708,0.007844458681850242,-0.11705785331084284,-0.04792360557440167,-0.27728942955646163,-0.21230764266490842,-0.04513192278806244,-0.3968947922643009,-0.044963470705832176,0.20847126896327417,-0.2275892902628649,-0.04796812414660945
R12868,0.07192906345522188,0.09611738389107938,-0.028140207830482655,0.08575290487178266,-0.07361455557568775,-0.100151111318453,-0.013238877356831047,0.07474012094395821,-0.10009657895429491,0.1272998069819944,0.08773287037887378,0.03498703275290804,-0.006067472880665115,-0.20217283070333147,-0.05531575804653599,-0.3100541571419795,-0.06211539191614701,0.01472712784745367,-0.4423774585786693,0.14620425532310666,0.24606841333922524,-0.16341299737974735,0.1264737778904257
R12869,0.15176617434345774,0.12013162380098175,0.03558865210022999,0.12289383127660836,-0.050715731631234995,-0.05900033442263375,0.041906754203579144,0.06494533205315589,-0.12179178355806286,0.14220909132492165,0.17493407795931937,-0.001585472463443871,-0.018125543399579058,-0.19199011728424376,-0.09028680786242305,-0.3154809416583819,-0.14721604253955656,0.005638342696069998,-0.5151163095813311,0.07307844301205302,0.2584780924547947,-0.25094754938479635,0.048314334905385614
R12870,0.2556822018930256,0.19909506929719356,0.04846853035423537,0.126303333456514,0.028067806612779744,-0.027540729297309774,0.13908797099833636,0.06090823751480112,-0.07349276974660279,0.09194866721375972,0.17357382605606642,0.01434955714890318,0.00856112074488058,-0.18404807903065823,-0.0024646723465910902,-0.4032181943663704,-0.3587832472572581,-0.04416933348866303,-0.4546196906478537,0.01779041827887662,0.2419600940147717,-0.3492709838613579,-0.05658660085193912
R12871,0.16810537367178346,0.12411552942793636,0.036413961550191054,0.10795055148488997,-0.005213996915212515,-0.010370525523176521,0.09380916234625847,0.09628012120977747,-0.06330503612602012,0.12526645788331203,0.13069948183414093,-0.02121803480506701,0.022825670850379787,-0.1893504623748723,-0.02956695870463255,-0.3290963469154682,-0.23886500393266275,-0.0238867278665702,-0.45191071573984853,0.03842305509653432,0.24803976904250913,-0.3210269431000432,-0.04871674908700063
R12872,0.2391710019549822,0.14812952662665557,0.08503454296465662,0.14381812123071658,0.0834347029260214,0.028660359326937,0.13434027485508615,0.11293419180771869,-0.05533427154556314,0.10729922041260709,0.1508327565728833,-0.013548921310540862,0.03967502328512129,-0.21080951042579166,-0.023056485330554377,-0.36775434750577807,-0.3673632009140788,-0.08971959418956432,-0.4317579655458008,-0.050836329408616265,0.208256679803287,-0.30416705744084327,-0.049806658652856495
R12873,0.21499002842534054,0.12128073086970126,0.050220007038309866,0.13557504310609225,0.02680546402293782,-0.024321719129694053,0.03937518528535122,0.10847444981786758,-0.08216726840144783,0.08432099126699777,0.16786004276088384,0.009268204350215026,-0.01410888175106706,-0.2305671505852338,0.0027949018543265147,-0.35614385616474165,-0.2515465849032634,-0.04732565964707103,-0.44730373121035116,0.03356002266600466,0.2826715548775569,-0.30721959315061564,0.04657255840008956
R12874,0.044768630251602826,0.13241707430738092,-0.026684118641869148,0.08988719117243882,-0.08295395038442255,-0.14998975729899922,0.00040821235537968903,0.0542660612089132,-0.19082574695444432,0.162858845322559,0.112874604168816,0.0597857674700677,-0.020869093437797304,-0.23613748603406481,-0.09487727582438943,-0.34269777784776734,-0.11214746035502854,0.09330064380622938,-0.5305731256935977,0.17679320697784728,0.25767153087428785,-0.20901481673039646,0.19892251037551345
R12890,0.20646077831184195,0.15543236378498904,0.05988427266582308,0.14105572307696024,0.029998737945662768,-0.009353789014696634,0.09917231468867316,0.07381735464248029,-0.0726715858844984,0.14227789158801452,0.1560149669706381,0.021204666014277063,0.0210449849096479,-0.2353669186617946,-0.04309035635872993,-0.3527414554237125,-0.2758109101012214,-0.062105544773174426,-0.486573331551551,-0.012664278863296907,0.21615639592397828,-0.34769417688305326,-0.017711972714781865
R12891,0.1644583046472703,0.1380498328278832,0.024631923382425924,0.11003991425102067,-0.010706193574933298,-0.030882797266786,0.06949988350357916,0.07063915922823272,-0.08511942913425186,0.08142616559914506,0.14696803121944635,0.020313842973374907,-0.004729675179335757,-0.2164047333682566,-0.0347955500555317,-0.36191372809666333,-0.22752320993589148,0.007818192127754475,-0.4452315060970191,0.07691720335948204,0.2586679095798323,-0.3450992401849864,0.01611966015523736
R12892,0.20873150679968244,0.13274970980235778,0.02765181890348556,0.09304431635738242,-0.05304513853980408,-0.10080865525474492,0.037817613711780496,0.10088954433208741,-0.13315598826051822,0.1157887558758568,0.13861531029719654,0.026014821875544047,-0.03912819105120979,-0.22717650142529644,-0.04156110916412592,-0.33228560090202697,-0.1831424328723612,0.019133095173666792,-0.46133185875305127,0.11617824249646214,0.2858514169845052,-0.24169107276026303,0.07314679208562369
R12893,0.21642939825191965,0.1383370776066961,0.07284969334099589,0.1573147976303959,0.04316008944229033,-0.013175306210512883,0.11661022282973121,0.10225746557018667,-0.085230840726084,0.11831465085531478,0.16077180242954459,-0.009541687507458096,0.038186220601696075,-0.1732368990110733,-0.022779079618516995,-0.34114454037159536,-0.3190889293817887,-0.04840200018480534,-0.4274794997602438,-0.03468820225857838,0.19835195028317765,-0.34595704412115014,-0.07297250679347966
R12894,0.18266780161831075,0.15185209147424983,0.03103800558564984,0.11649608677506196,-0.007596635618333902,-0.06869402531668412,0.04284671510819482,0.07406882316879582,-0.09720424496650182,0.09167475810484049,0.11795000410730117,0.01824598414370593,-0.011606294347783486,-0.242218622807715,-0.03041889550477128,-0.36780210393134016,-0.24036798908467194,0.021101175274488515,-0.46951118138386505,0.07481141608548114,0.3013393079051614,-0.2632211827203981,0.07883091740691217
R12895,0.13750189170475613,0.1978499088835397,0.014787877176125619,0.11064640054283537,0.011275624811315055,-0.06171665884177813,0.03345422778581364,0.10087829218828448,-0.07194204861419129,0.13171787789569622,0.09076714984710099,0.05719443008176661,0.03403134758834092,-0.21442233396166666,-0.05631435657745154,-0.36521194484904695,-0.26691598248649084,0.002177311000782556,-0.4476314471750462,-0.016420557578321837,0.19734149324272332,-0.2811202472029062,0.0635192239598994
R12926,0.22554223153791186,0.16677338144758957,0.05934916368409837,0.1310805380887703,0.021691370040100022,-0.029255104476581195,0.11671332974368642,0.059211443799364716,-0.10008544715952583,0.08315091449638423,0.13358165342484485,0.01956985963090796,-0.009716414218641223,-0.18591392989179756,-0.03263318730811404,-0.344781684784901,-0.2761962694024773,-0.04597819031348083,-0.5014284505939419,0.018397720039584176,0.26020047863618867,-0.33557811911080604,0.04193579856503149
R12927,0.23242941971955,0.13955391637592163,0.04404856991030659,0.12632266359307476,0.047536236625807415,0.0080957848328711,0.12655248862464674,0.10244513158905022,-0.05092230086264937,0.09237697270362366,0.15714501777827383,0.002301816554318936,0.01966008073701886,-0.18011943156867227,-0.012094795170160655,-0.35672614763063537,-0.33840463285254074,-0.04645148173854308,-0.4053871978758563,-0.018191838988148135,0.2288867889743469,-0.3539763076912177,-0.024885891529892845
R12928,0.1023476834414736,0.10108959413171004,0.019502423144581726,0.11313941435810237,-0.03946512957250636,-0.06977115217289542,0.04051043332286364,0.05758921672490125,-0.09471285732319945,0.14371235456870002,0.1431366912083898,0.0038135896703206384,-0.0063720478738389374,-0.19575704212737266,-0.0769542833808301,-0.2918314031877278,-0.12134540587175513,0.006778752411605193,-0.4307579993000421,0.05260239644361775,0.22212830284805252,-0.22529142079587494,0.07838797080894322
R12929,0.19045479114546549,0.1338996021566956,0.031364729097850486,0.11338196984515614,-0.07560324878801161,-0.049856050870894286,-0.014204660957682691,0.08157666977079181,-0.09167442277878335,0.15456367527018822,0.12956133930215596,0.024819654223461107,0.0028243753244261427,-0.2233951959784526,-0.03779154457037803,-0.29558910956641116,-0.16296441978955922,-0.00917840205474496,-0.44445836299701735,0.054220172355761154,0.26060779740037443,-0.33151312772319796,0.04208356612295505
R12930,0.2668312232323653,0.13460176991287698,0.07162168314008976,0.1617398137120447,0.06952316044055085,0.02647550105148122,0.14611031086430915,0.08068503687596751,-0.05487188223681061,0.0948977198116201,0.15449161905868491,-0.017227969884588745,0.03479735243293902,-0.12124013682519275,-0.018603392655758277,-0.3454590113372564,-0.3371387731145403,-0.0950686779795511,-0.40724010074379935,-0.06307746526596913,0.21886213097753826,-0.339507103376989,-0.05551593858420478
R12931,0.21523394796352546,0.1445322273753442,0.05002203216312395,0.1244231553837607,0.013597930652999413,-0.014416304960233273,0.08678584414644952,0.08149556857634588,-0.07261111478205384,0.1115639304887619,0.14199529954965717,0.013352576206508537,0.008303431658954086,-0.17577661451449922,-0.02145873031117107,-0.34671172317481513,-0.28740690317733053,-0.03623820728412275,-0.46046911202141505,0.02252993509109391,0.22654942577629011,-0.33102554164079745,-0.0033571467055089066
