query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	1.31579225633141e-05	3438	50	28	0.56	0.00814426992437464	GO:0002376	GO:BP	immune system process	18123	1038	GO:0008150
query_1	TRUE	1.44902114559017e-05	1507	50	19	0.38	0.0126078301260783	GO:0001775	GO:BP	cell activation	18123	561	GO:0009987
query_1	TRUE	1.58120817931776e-05	1341	50	18	0.36	0.0134228187919463	GO:0045321	GO:BP	leukocyte activation	18123	13259	GO:0001775|GO:0002376
query_1	TRUE	0.000111417071228369	2544	50	23	0.46	0.00904088050314465	GO:0006955	GO:BP	immune response	18123	2901	GO:0002376|GO:0050896
query_1	TRUE	0.000715638775079231	847	50	13	0.26	0.0153482880755608	GO:0001817	GO:BP	regulation of cytokine production	18123	595	GO:0001816|GO:0010468|GO:0051239
query_1	TRUE	0.000786173397668391	854	50	13	0.26	0.0152224824355972	GO:0001816	GO:BP	cytokine production	18123	594	GO:0010467|GO:0032501
query_1	TRUE	0.00235798398885713	511	50	10	0.2	0.0195694716242661	GO:0050900	GO:BP	leukocyte migration	18123	15459	GO:0002376|GO:0016477
query_1	TRUE	0.00587731475283553	9487	50	42	0.84	0.00442711078317698	GO:0050896	GO:BP	response to stimulus	18123	15456	GO:0008150
query_1	TRUE	0.0107463728261281	1079	50	13	0.26	0.0120481927710843	GO:0002684	GO:BP	positive regulation of immune system process	18123	1334	GO:0002376|GO:0002682|GO:0048518
query_1	TRUE	0.0119949011147095	1660	50	16	0.32	0.00963855421686747	GO:0016477	GO:BP	cell migration	18123	5837	GO:0048870
query_1	TRUE	0.0152602473108965	780	50	11	0.22	0.0141025641025641	GO:0046649	GO:BP	lymphocyte activation	18123	14309	GO:0045321
query_1	TRUE	0.0190940965379663	15	50	3	0.06	0.2	GO:0035589	GO:BP	G protein-coupled purinergic nucleotide receptor signaling pathway	18123	10520	GO:0035590
query_1	TRUE	0.0209887803810272	1734	50	16	0.32	0.00922722029988466	GO:0002682	GO:BP	regulation of immune system process	18123	1332	GO:0002376|GO:0050789
query_1	TRUE	0.0222571741022264	1956	50	17	0.34	0.00869120654396728	GO:0006952	GO:BP	defense response	18123	2898	GO:0006950
query_1	TRUE	0.0273625613351058	52	50	4	0.08	0.0769230769230769	GO:0035590	GO:BP	purinergic nucleotide receptor signaling pathway	18123	10521	GO:0007166
query_1	TRUE	0.0336346807420238	3226	50	22	0.44	0.00681959082455053	GO:0007166	GO:BP	cell surface receptor signaling pathway	18123	3079	GO:0007165
query_1	TRUE	0.0386652847525464	2039	50	17	0.34	0.00833742030407062	GO:0040011	GO:BP	locomotion	18123	11494	GO:0008150
query_1	TRUE	0.044432267037948	1840	50	16	0.32	0.00869565217391304	GO:0051674	GO:BP	localization of cell	18123	16076	GO:0009987|GO:0051179
query_1	TRUE	0.044432267037948	1840	50	16	0.32	0.00869565217391304	GO:0048870	GO:BP	cell motility	18123	15204	GO:0006928|GO:0040011|GO:0051674
query_1	TRUE	0.000566212130332439	5680	52	32	0.615384615384615	0.00563380281690141	GO:0005886	GO:CC	plasma membrane	18964	515	GO:0016020|GO:0071944
query_1	TRUE	0.00115569400155765	6178	52	33	0.634615384615385	0.00534153447717708	GO:0071944	GO:CC	cell periphery	18964	3132	GO:0110165
query_1	TRUE	0.0333552710119344	896	52	10	0.192307692307692	0.0111607142857143	GO:0009986	GO:CC	cell surface	18964	791	GO:0110165
query_1	TRUE	0.0423182911833263	9829	52	40	0.769230769230769	0.00406958998880863	GO:0016020	GO:CC	membrane	18964	850	GO:0110165
query_1	TRUE	0.0039106534969793	15	51	3	0.0588235294117647	0.2	GO:0045028	GO:MF	G protein-coupled purinergic nucleotide receptor activity	18679	7134	GO:0001614|GO:0004930
query_1	TRUE	0.0130587190806975	22	51	3	0.0588235294117647	0.136363636363636	GO:0001614	GO:MF	purinergic nucleotide receptor activity	18679	280	GO:0016502
query_1	TRUE	0.0130587190806975	22	51	3	0.0588235294117647	0.136363636363636	GO:0016502	GO:MF	nucleotide receptor activity	18679	3567	GO:0004888
query_1	TRUE	0.0217185679147081	1549	51	14	0.274509803921569	0.00903808908973531	GO:0060089	GO:MF	molecular transducer activity	18679	9593	GO:0003674
query_1	TRUE	0.0217185679147081	1549	51	14	0.274509803921569	0.00903808908973531	GO:0038023	GO:MF	signaling receptor activity	18679	6505	GO:0060089
query_1	TRUE	0.00336098434231582	108	35	5	0.142857142857143	0.0462962962962963	HPA:0091033	HPA	cerebellum; processes in molecular layer[High]	10877	142	HPA:0091032
query_1	TRUE	0.000455042740681087	79	28	5	0.178571428571429	0.0632911392405063	KEGG:04662	KEGG	B cell receptor signaling pathway	8000	319	KEGG:00000
query_1	TRUE	0.0269817492422765	102	28	4	0.142857142857143	0.0392156862745098	KEGG:04064	KEGG	NF-kappa B signaling pathway	8000	237	KEGG:00000
query_1	TRUE	0.047754897630509	210	28	5	0.178571428571429	0.0238095238095238	KEGG:04015	KEGG	Rap1 signaling pathway	8000	229	KEGG:00000
query_1	TRUE	0.000446688842652486	26	35	4	0.114285714285714	0.153846153846154	REAC:R-HSA-1855204	REAC	Synthesis of IP3 and IP4 in the cytosol	10622	2164	REAC:R-HSA-1483249
query_1	TRUE	0.00552248856337804	48	35	4	0.114285714285714	0.0833333333333333	REAC:R-HSA-1483249	REAC	Inositol phosphate metabolism	10622	1101	REAC:R-HSA-1430728
query_1	TRUE	2.93282592499243e-07	63	29	7	0.241379310344828	0.111111111111111	WP:WP3945	WP	TYROBP Causal Network	7562	45	WP:000000
query_1	TRUE	0.0375585731843991	255	29	6	0.206896551724138	0.0235294117647059	WP:WP455	WP	GPCRs, Class A Rhodopsin-like	7562	61	WP:000000
