query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.0100184177730658	3	12	2	0.166666666666667	0.666666666666667	CORUM:1521	CORUM	p300-SMAD1-STAT3 complex	3627	773	CORUM:0000000
query_1	TRUE	0.0496732911248061	8	40	2	0.05	0.25	GO:0070878	GO:MF	primary miRNA binding	18679	9968	GO:0003723
query_1	TRUE	0.00633367646828243	131	16	4	0.25	0.0305343511450382	KEGG:04068	KEGG	FoxO signaling pathway	8000	239	KEGG:00000
query_1	TRUE	0.0136384458185955	62	16	3	0.1875	0.0483870967741936	KEGG:04213	KEGG	Longevity regulating pathway - multiple species	8000	270	KEGG:00000
query_1	TRUE	0.0279310477229242	79	16	3	0.1875	0.0379746835443038	KEGG:01521	KEGG	EGFR tyrosine kinase inhibitor resistance	8000	193	KEGG:00000
query_1	TRUE	0.0396242756328106	89	16	3	0.1875	0.0337078651685393	KEGG:04211	KEGG	Longevity regulating pathway	8000	268	KEGG:00000
query_1	TRUE	0.019394690573024	533	37	8	0.216216216216216	0.0150093808630394	MIRNA:hsa-miR-362-3p	MIRNA	hsa-miR-362-3p	14823	726	MIRNA:000000
query_1	TRUE	0.0199177087260667	535	37	8	0.216216216216216	0.0149532710280374	MIRNA:hsa-miR-329-3p	MIRNA	hsa-miR-329-3p	14823	667	MIRNA:000000
query_1	TRUE	0.0247647882698711	37	25	3	0.12	0.0810810810810811	WP:WP3995	WP	Prion disease pathway	7562	460	WP:000000
query_1	TRUE	0.049959126214537	10	25	2	0.08	0.2	WP:WP2815	WP	Mammary gland development pathway - Involution (Stage 4 of 4)	7562	475	WP:000000
