query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	Log10	Tissue	Direction
query_1	True	0.0016079308720911	2888	181	55	0.303867403314917	0.0190443213296399	GO:0051239	GO:BP	regulation of multicellular organismal process	18123	15743	GO:0032501|GO:0050789	2.7937326263056765	caudate	All
query_1	True	0.0113238311599485	632	181	20	0.110497237569061	0.0316455696202532	GO:0003013	GO:BP	circulatory system process	18123	1598	GO:0003008	1.9460066146556931	caudate	All
query_1	True	0.017166294180726	250	191	11	0.0575916230366492	0.044	GO:0009925	GO:CC	basal plasma membrane	18964	788	GO:0045178|GO:0098590	1.7653234491936378	caudate	All
query_1	True	0.0176071761139302	9829	191	126	0.659685863874346	0.0128192084647472	GO:0016020	GO:CC	membrane	18964	850	GO:0110165	1.7543102917600875	caudate	All
query_1	True	0.0189789565785687	2886	181	52	0.287292817679558	0.018018018018018	GO:0035556	GO:BP	intracellular signal transduction	18123	10495	GO:0007165	1.7217276678110622	caudate	All
query_1	True	0.0232748685866493	6178	191	88	0.460732984293194	0.0142440919391389	GO:0071944	GO:CC	cell periphery	18964	3132	GO:0110165	1.6331127624305801	caudate	All
query_1	True	0.0273736414290084	456	186	15	0.0806451612903226	0.0328947368421053	GO:0005096	GO:MF	GTPase activator activity	18679	1605	GO:0008047|GO:0030695	1.5626674259244724	caudate	All
query_1	True	0.0304255782880887	854	181	23	0.12707182320442	0.0269320843091335	GO:0001816	GO:BP	cytokine production	18123	594	GO:0010467|GO:0032501	1.5167611585395038	caudate	All
query_1	True	0.0320240737987158	268	191	11	0.0575916230366492	0.041044776119403	GO:0045178	GO:CC	basal part of cell	18964	2444	GO:0110165	1.4945234220805022	caudate	All
query_1	True	0.032255493439956	5680	191	82	0.429319371727749	0.0144366197183099	GO:0005886	GO:CC	plasma membrane	18964	515	GO:0016020|GO:0071944	1.4913963099438308	caudate	All
query_1	True	0.0417963728443807	178	85	6	0.0705882352941176	0.0337078651685393	GO:0019897	GO:CC	extrinsic component of plasma membrane	18964	983	GO:0005886|GO:0019898	1.3788614053546298	caudate	Up
query_1	True	0.0497117992748057	3	18	2	0.111111111111111	0.666666666666667	CORUM:6907	CORUM	CTNNB1-FERMT2-TCF7L2 complex	3627	2454	CORUM:0000000	1.3035405176701327	caudate	Up
query_1	True	0.0497117992748057	3	18	2	0.111111111111111	0.666666666666667	CORUM:6908	CORUM	CTNNB1-FERMT2-YBX1 complex	3627	2455	CORUM:0000000	1.3035405176701327	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665230	REAC	Drug resistance in ERBB2 KD mutants	10622	735	REAC:R-HSA-1227990	1.3026484840729082	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665737	REAC	Drug resistance in ERBB2 TMD/JMD mutants	10622	736	REAC:R-HSA-1227990	1.3026484840729082	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9652282	REAC	Drug-mediated inhibition of ERBB2 signaling	10622	740	REAC:R-HSA-1227986	1.3026484840729082	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665250	REAC	Resistance of ERBB2 KD mutants to AEE788	10622	1885	REAC:R-HSA-9665230	1.3026484840729082	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665249	REAC	Resistance of ERBB2 KD mutants to afatinib	10622	1886	REAC:R-HSA-9665230	1.3026484840729082	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665251	REAC	Resistance of ERBB2 KD mutants to lapatinib	10622	1887	REAC:R-HSA-9665230	1.3026484840729082	caudate	Up
query_1	True	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665246	REAC	Resistance of ERBB2 KD mutants to neratinib	10622	1888	REAC:R-HSA-9665230	1.3026484840729082	caudate	Up
query_1	True	0.0066258066137405	654	102	15	0.147058823529412	0.0229357798165138	GO:0006935	GO:BP	chemotaxis	18123	2886	GO:0042221|GO:0042330	2.178761243946213	caudate	Down
query_1	True	0.0070045198676803	657	102	15	0.147058823529412	0.0228310502283105	GO:0042330	GO:BP	taxis	18123	11707	GO:0009605|GO:0040011	2.154621628538583	caudate	Down
query_1	True	0.0103469156365659	511	102	13	0.127450980392157	0.025440313111546	GO:0050900	GO:BP	leukocyte migration	18123	15459	GO:0002376|GO:0016477	1.9851890919125863	caudate	Down
query_1	True	0.01538015605	9829	106	75	0.707547169811321	0.0076304812290161	GO:0016020	GO:CC	membrane	18964	850	GO:0110165	1.813039258077495	caudate	Down
query_1	True	0.0159720311460931	377	102	11	0.107843137254902	0.0291777188328912	GO:0007159	GO:BP	leukocyte cell-cell adhesion	18123	3072	GO:0098609	1.79663985158544	caudate	Down
query_1	True	0.0162795647136814	617	102	14	0.137254901960784	0.0226904376012966	GO:0002694	GO:BP	regulation of leukocyte activation	18123	1344	GO:0002682|GO:0045321|GO:0050865	1.7883572115459283	caudate	Down
query_1	True	0.0195099437524099	2888	102	34	0.333333333333333	0.0117728531855956	GO:0051239	GO:BP	regulation of multicellular organismal process	18123	15743	GO:0032501|GO:0050789	1.709743982684068	caudate	Down
query_1	True	0.0230100414970656	138	102	7	0.0686274509803922	0.0507246376811594	GO:0002687	GO:BP	positive regulation of leukocyte migration	18123	1337	GO:0002684|GO:0002685|GO:0030335|GO:0050900	1.6380825981096985	caudate	Down
query_1	True	0.0268299451865243	27	102	4	0.0392156862745098	0.148148148148148	GO:1905523	GO:BP	positive regulation of macrophage migration	18123	28387	GO:0002687|GO:1905517|GO:1905521	1.571380214589125	caudate	Down
query_1	True	0.035787526501698	662	102	14	0.137254901960784	0.0211480362537764	GO:0050865	GO:BP	regulation of cell activation	18123	15430	GO:0001775|GO:0050794	1.4462683173626063	caudate	Down
