clusterID	N	coord	gene	annotation	FDR
clu_765_-	3	chrX:53217966-53220839	KDM5C	annotated	1.04e-37
clu_758_-	10	chrX:53176622-53193437	KDM5C	cryptic	2.46e-37
clu_66561_+	7	chrX:153771081-153771864	PLXNB3	cryptic	1.93e-25
clu_65232_+	3	chrX:47199106-47199480	UBA1	cryptic	2.55e-18
clu_763_-	3	chrX:53210576-53211497	KDM5C	cryptic	2.82e-08
clu_66209_+	10	chrX:121092318-121164059	.	annotated	4.84e-08
clu_66570_+	7	chrX:153775403-153775887	PLXNB3	cryptic	7.39e-08
clu_66559_+	10	chrX:153765580-153769162	PLXNB3	cryptic	1.46e-07
clu_119510_+	3	chr4:6864183-6871574	KIAA0232	cryptic	4.71e-07
clu_57329_-	3	chr2:238182186-238184020	ILKAP	cryptic	6.27e-07
clu_187278_+	3	chr7:129454210-129455244	STRIP2	cryptic	1.74e-06
clu_186038_+	3	chr7:74189918-74194741	EIF4H	annotated	1.34e-05
clu_5609_-	5	chr11:60903861-60906364	PRPF19	cryptic	2.04e-05
clu_15772_-	6	chr8:27241259-27242397	STMN4	cryptic	2.04e-05
clu_172811_+	5	chr16:172958-176929	HBA1	cryptic	2.82e-05
clu_121181_+	3	chr4:165317969-165322032	KLHL2	annotated	8.91e-05
clu_57614_+	9	chr1:632014-632571	.	annotated	0.000121
clu_87710_-	3	chr13:27440449-27445088	MTIF3	annotated	0.000159
clu_31635_+	6	chr20:30398045-30417448	FRG1BP	cryptic	0.000352
clu_158179_+	4	chr11:67433042-67433340	RPS6KB2	cryptic	0.000518
clu_44794_+	4	chr21:36071057-36072446	CBR1	cryptic	0.000518
clu_137_-	7	chrX:6151771-6228541	NLGN4X	cryptic	0.000518
clu_152876_-	5	chr6:131591527-131593006	MED23	cryptic	0.000593
clu_134214_-	6	chr1:25243633-25245150	RSRP1	cryptic	0.000631
clu_128030_-	24	chr12:124911822-124913419	.	annotated	9e-04
clu_149804_+	3	chr2:210016112-210016507	RPE	annotated	0.00109
clu_45369_-	3	chr9:3228889-3248032	RFX3	cryptic	0.00114
clu_5011_-	10	chr11:31811015-31817809	PAX6	cryptic	0.00127
clu_49013_+	6	chr12:19342396-19384930	.	annotated	0.00127
clu_153631_+	3	chr14:20357149-20357638	PARP2	annotated	0.00143
clu_10433_-	12	chr15:32533368-32581558	RP11-632K20.7	cryptic	0.00148
clu_184832_+	4	chr7:6327761-6402539	.	annotated	0.00162
clu_102200_+	5	chr13:75804541-75809154	LMO7	annotated	0.00174
clu_168407_-	5	chr7:111783952-111788662	DOCK4	annotated	0.00175
clu_80679_-	3	chr14:21022497-21023241	NDRG2	annotated	0.00185
clu_92160_+	3	chr3:186787882-186789125	EIF4A2	annotated	0.00207
clu_132179_+	3	chr19:50223349-50225585	MYH14	annotated	0.00255
clu_167387_-	12	chr7:73736691-73737562	ABHD11	cryptic	0.00302
clu_165392_+	4	chr17:75704814-75706008	SAP30BP	cryptic	0.00369
clu_68497_-	3	chr19:17404189-17405291	BST2	annotated	0.0038
clu_11599_-	3	chr15:68784595-68787770	ANP32A	cryptic	0.00523
clu_34525_-	6	chr16:53637854-53641285	RPGRIP1L	cryptic	0.00552
clu_150177_+	7	chr2:227325427-227332419	MFF	annotated	0.00552
clu_80734_-	6	chr14:21234229-21269298	HNRNPC	annotated	0.00581
clu_16129_-	4	chr8:53801896-53814662	ATP6V1H	annotated	0.00637
