Feature,chr,Symbol,ensemblID,logFC,adj.P.Val,Type
ENST00000380888.4,chr20,LINC01597,ENSG00000205611,0.836046842585549,1.48426455920134e-18,transcript
ENST00000612308.1,chr9,FAM27D1,ENSG00000275493,1.18609005749072,1.4502342760327001e-16,transcript
ENST00000608279.1,chr2,RP11-725P16.2,ENSG00000272769,0.768117394391329,7.14451697467727e-16,transcript
ENST00000636528.1,chr20,RP11-462H3.2,ENSG00000283443,1.32436341491361,1.15793064736674e-13,transcript
ENST00000606017.1,chr6,CD24,ENSG00000272398,0.462741527442361,3.50578564379206e-13,transcript
ENST00000278882.8,chr20,FRG1BP,ENSG00000149531,0.523350497973865,5.55994914745648e-13,transcript
ENST00000358464.9,chr20,FRG1CP,ENSG00000282826,0.554125453815533,6.99734904711324e-13,transcript
ENST00000260364.9,chr15,NOX5,ENSG00000255346,1.06161960107663,7.84227532360675e-13,transcript
ENST00000514855.1,chr4,RP11-769N22.1,ENSG00000249228,0.194432572417567,3.02292149923827e-12,transcript
ENST00000567067.1,chr2,RP11-575H3.1,ENSG00000261600,-0.982912077038779,6.47879257603084e-12,transcript
ENST00000421320.1,chr10,RP11-124O11.1,ENSG00000234944,-0.960523293410647,2.2508739963113497e-11,transcript
ENST00000310673.3,chr15,SPESP1,ENSG00000258484,0.889655971263428,8.84799124352407e-10,transcript
ENST00000527315.5,chr15,NOX5,ENSG00000255346,0.388979214002032,1.9914828817478503e-09,transcript
ENST00000581556.1,chr18,RP11-78F17.1,ENSG00000263551,0.358090858324755,7.13635096063105e-08,transcript
ENST00000611559.1,chr15,RP11-809H16.3,ENSG00000273851,0.897967686545862,1.55838870066179e-07,transcript
ENST00000614994.4,chr19,ZNF285,ENSG00000267508,0.232946791129347,1.64652808483976e-06,transcript
ENST00000544747.5,chr12,KLRD1,ENSG00000134539,0.281322387597911,1.9553067022807e-05,transcript
ENST00000456806.2,chr7,ZNF727,ENSG00000214652,-0.326916843421361,4.99101409073286e-05,transcript
ENST00000215531.5,chr19,SMIM24,ENSG00000095932,-0.73321500139627,7.90004008554229e-05,transcript
ENST00000263097.8,chr19,CNN2,ENSG00000064666,-1.15281752524918,0.0001179482414005,transcript
ENST00000615326.4,chr9,FRG1HP,ENSG00000276291,0.377857327495083,0.0001205667839956,transcript
