Feature	seqnames	start	end	width	gencodeID	ensemblID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE	Type	Region
USP9Y-204|ENST00000440408.5	chrY	12662334	12692233	29900	ENSG00000114374.13	ENSG00000114374	USP9Y	5.10624884565498	2.77599475228742	113.685723937458	4.96091507351618e-277	4.8065313964283596e-272	617.31076955433	0.0684113456642359	Transcript	DLPFC
XIST-208|ENST00000602495.1	chrX	73829138	73833761	4624	ENSG00000229807.13	ENSG00000229807	XIST	-7.90183835076238	-2.89103150443969	-74.6837384154981	3.77630518450184e-216	1.8293932835800702e-211	461.039611688713	0.0595498384036122	Transcript	DLPFC
TTTY14-216|ENST00000652153.1	chrY	18802664	19077342	274679	ENSG00000176728.10	ENSG00000176728	TTTY14	4.70081314743474	1.66910274859325	74.5839460724399	5.84932887059704e-216	1.8890992520480202e-211	479.147022932665	0.0866963811110139	Transcript	DLPFC
ANOS2P-204|ENST00000652544.1	chrY	13703902	13888980	185079	ENSG00000241859.7	ENSG00000241859	ANOS2P	3.96813747764988	1.21524367236797	72.4838052040157	6.59729345526699e-212	1.59799642073477e-207	470.26457205603	0.0594471996690315	Transcript	DLPFC
USP9Y-206|ENST00000457658.6	chrY	12537650	12708869	171220	ENSG00000114374.13	ENSG00000114374	USP9Y	4.79517566185717	0.74509504916563	70.8615968238273	1.0483961571777399e-208	2.0315401375327397e-204	456.172273533426	0.0691187066151657	Transcript	DLPFC
PRKY-203|ENST00000528056.5	chrY	7273972	7381548	107577	ENSG00000099725.14	ENSG00000099725	PRKY	3.02593003651513	1.92532885149637	69.8705445092595	1.01806277087803e-206	1.64396776241383e-202	461.46649871575	0.240149232385475	Transcript	DLPFC
TTTY14-219|ENST00000656768.1	chrY	18926528	19077365	150838	ENSG00000176728.10	ENSG00000176728	TTTY14	2.21745052605133	2.25821252272267	67.5457551963959	5.84733149232031e-202	8.093375051827581e-198	451.202459270923	0.0340848753307888	Transcript	DLPFC
PCDH11Y-208|ENST00000698851.1	chrY	5000296	5742224	741929	ENSG00000099715.15	ENSG00000099715	PCDH11Y	6.0194327363874	2.85777355321181	62.8887957331977	5.46892624718205e-192	6.623416577962181e-188	426.734277918407	0.0784689915652368	Transcript	DLPFC
TTTY14-227|ENST00000667450.1	chrY	19040240	19044666	4427	ENSG00000176728.10	ENSG00000176728	TTTY14	2.57536639946442	1.94842085472247	61.6819597927407	2.65027165796666e-189	2.8531057821897096e-185	422.137384376961	0.0539095797273191	Transcript	DLPFC
XIST-221|ENST00000649757.1	chrX	73823337	73829691	6355	ENSG00000229807.13	ENSG00000229807	XIST	-5.49930994424574	0.373130319625744	-61.375662725887	1.2936536498009602e-188	1.25339514821916e-184	420.282630263818	0.20401618254492	Transcript	DLPFC
KDM5D-210|ENST00000541639.5	chrY	19705417	19744939	39523	ENSG00000012817.16	ENSG00000012817	KDM5D	6.93612742654132	2.28394422905619	61.246135444302	2.5342161152067603e-188	2.23213755427411e-184	412.844121981071	0.0574990424146685	Transcript	DLPFC
KDM5D-201|ENST00000317961.9	chrY	19703865	19744726	40862	ENSG00000012817.16	ENSG00000012817	KDM5D	9.73225593853241	1.57154544101001	61.0130466323406	8.524102515817521e-188	6.88236037127107e-184	388.390503307418	0.0469476929431382	Transcript	DLPFC
XIST-220|ENST00000649353.1	chrX	73827185	73832226	5042	ENSG00000229807.13	ENSG00000229807	XIST	-5.17306211198648	-1.72044307271011	-60.4453756273652	1.6621098468141601e-186	1.23875768337023e-182	409.044958732429	0.253134843359374	Transcript	DLPFC
XIST-204|ENST00000429829.6	chrX	73820656	73852723	32068	ENSG00000229807.13	ENSG00000229807	XIST	-10.2596270828636	2.02850172530644	-59.9544374134692	2.210049885034e-185	1.52948080900839e-181	413.319046499854	0.240459749922615	Transcript	DLPFC
BCORP1-205|ENST00000651484.1	chrY	19553926	19567051	13126	ENSG00000215580.12	ENSG00000215580	BCORP1	3.09768322065224	0.591679673960672	58.5512213982605	3.96814323317479e-182	2.56310307717226e-178	403.60077836821	0.247952873935882	Transcript	DLPFC
XIST-217|ENST00000648927.2	chrX	73825959	73841639	15681	ENSG00000229807.13	ENSG00000229807	XIST	-8.35140365774985	-2.82812234171056	-58.3793339979994	1.00366075716233e-181	6.07766771499648e-178	391.460729513462	0.037237097952251	Transcript	DLPFC
TXLNGY-219|ENST00000700762.1	chrY	19567376	19594166	26791	ENSG00000131002.14	ENSG00000131002	TXLNGY	7.97090350915271	0.0269682601884035	57.2112551730922	5.83552802088506e-179	3.32583905227948e-175	371.047427888623	0.0462145290919561	Transcript	DLPFC
TXLNGY-218|ENST00000693214.1	chrY	19567350	19590419	23070	ENSG00000131002.14	ENSG00000131002	TXLNGY	8.79921284379887	0.576772895008773	56.9696882318914	2.2054465375168598e-178	1.18711835626074e-174	370.0460762806	0.0618795301356749	Transcript	DLPFC
USP9Y-209|ENST00000651177.1	chrY	12662368	12860802	198435	ENSG00000114374.13	ENSG00000114374	USP9Y	11.3741455427044	3.03759685331413	56.1255436142392	2.38161980135094e-176	1.2144756805962601e-172	368.425376140705	0.0428130426856813	Transcript	DLPFC
XIST-218|ENST00000648970.1	chrX	73821681	73851715	30035	ENSG00000229807.13	ENSG00000229807	XIST	-11.2274071585587	-0.257109930112575	-56.1008169312988	2.73403168467834e-176	1.3244743093255802e-172	385.656138698929	0.10338688858154	Transcript	DLPFC
XIST-213|ENST00000647913.2	chrX	73820672	73841474	20803	ENSG00000229807.13	ENSG00000229807	XIST	-10.032964164984	-1.02945297976429	-55.9656229243472	5.819073156221509e-176	2.68475409504757e-172	382.809649681543	0.0843928757708886	Transcript	DLPFC
