Feature,seqnames,start,end,width,gencodeID,ensemblID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Type,Region
VWA1-204|ENST00000495558.1,chr1,1434861,1437459,2599,ENSG00000179403.12,ENSG00000179403,VWA1,-0.427865934767025,0.22753119503697,-4.04150766535614,6.54235278785876e-05,0.0145597348608802,0.115110735856231,0.136660898487305,Transcript,DLPFC
UBE4B-201|ENST00000253251.12,chr1,10032832,10180367,147536,ENSG00000130939.20,ENSG00000130939,UBE4B,-0.106391537634973,4.41702613365698,-3.8623851122069,0.0001339146582085,0.0265875479600673,-1.18428659807235,0.0758377736118328,Transcript,DLPFC
VPS13D-203|ENST00000466732.2,chr1,12400310,12403948,3639,ENSG00000048707.15,ENSG00000048707,VPS13D,0.299647333445066,-1.61834663180922,3.8135966244282,0.0001620193573914,0.0306899333558269,-0.2103776829025,0.119161967713363,Transcript,DLPFC
RCAN3-207|ENST00000538532.6,chr1,24502351,24536800,34450,ENSG00000117602.13,ENSG00000117602,RCAN3,-1.29175161054011,-3.7679570598969,-4.97261944404662,1.03980896155276e-06,0.0003178076046275,5.09160342343684,0.116356482556532,Transcript,DLPFC
THEMIS2-202|ENST00000373921.8,chr1,27872544,27886675,14132,ENSG00000130775.16,ENSG00000130775,THEMIS2,-0.460729537453585,1.13701253475649,-4.12974966238622,4.5526701811162e-05,0.0106545678383572,0.316078629309503,0.254508100480025,Transcript,DLPFC
FABP3-201|ENST00000373713.7,chr1,31365253,31373076,7824,ENSG00000121769.8,ENSG00000121769,FABP3,0.231091762002213,5.01075859940609,3.95134229884213,9.41383156582077e-05,0.0201343777648839,-0.906849112411707,0.191347839333534,Transcript,DLPFC
CMPK1-203|ENST00000371873.10,chr1,47333790,47378839,45050,ENSG00000162368.15,ENSG00000162368,CMPK1,1.50503408884926,-4.0738646140317,4.04114808213306,6.5519407969447e-05,0.0145597348608802,1.25284892038894,0.207664774948166,Transcript,DLPFC
BEND5-201|ENST00000371833.4,chr1,48727519,48776891,49373,ENSG00000162373.13,ENSG00000162373,BEND5,0.146610605000986,3.20845726285152,3.87989164846648,0.000125005911097,0.0250757199055303,-0.929369499423706,0.122005452420177,Transcript,DLPFC
KANK4-204|ENST00000371153.9,chr1,62236165,62319434,83270,ENSG00000132854.19,ENSG00000132854,KANK4,-0.257400763226997,1.39977590777514,-4.44403627191949,1.18869082309154e-05,0.0031727238696334,1.56722379380362,0.235737351549549,Transcript,DLPFC
ENST00000643361|ENST00000643361.1,chr1,68679202,68943391,264190,ENSG00000285407.1,ENSG00000285407,ENSG00000285407,0.48150134602681,-0.373592558574566,10.8940487713659,5.6655979812463604e-24,3.17299686246819e-21,43.382660459892,0.255081665865791,Transcript,DLPFC
