gene_id	seqname	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	Feature
ENSG00000226555.1	chrY	1263	ENSG00000226555.1	ENSG00000226555	processed_pseudogene	AGKP1		InGen	0.757390938260316	1	ENST00000455254.1	7.27075153767106	-0.451238773491372	100.746628810473	7.9755722857740305e-261	1.83749209891948e-256	573.466512764157	ENSG00000226555.1
ENSG00000229236.1	chrY	1726	ENSG00000229236.1	ENSG00000229236	lincRNA	TTTY10	246119.0	InGen	0.641552679852492	2	ENST00000455084.1|ENST00000439472.1	7.4174720596293	-0.204414687763316	95.6671888631177	3.1622065625821703e-253	3.6427038497665297e-249	557.59780752543	ENSG00000229236.1
ENSG00000176728.7	chrY	3239	ENSG00000176728.7	ENSG00000176728	lincRNA	TTTY14		InGen	1.35691946821836	6	ENST00000324446.3|ENST00000454875.1|ENST00000452584.5|ENST00000331787.2|ENST00000447937.1|ENST00000610801.1	8.81372957345305	1.28134028560124	94.5818886636702	1.48569601126257e-251	1.14096501344928e-247	554.68435547507	ENSG00000176728.7
ENSG00000260197.1	chrY	2666	ENSG00000260197.1	ENSG00000260197	lincRNA			InGen	0.304772881878676	1	ENST00000566193.1	7.01888752211371	-0.578745801306593	92.1413123991025	9.94107402368554e-248	5.7258101107922796e-244	545.701441791053	ENSG00000260197.1
ENSG00000241859.6	chrY	2369	ENSG00000241859.6	ENSG00000241859	transcribed_unprocessed_pseudogene	ANOS2P		InGen	0.807205627509085	3	ENST00000472227.5|ENST00000430079.5|ENST00000460561.1	7.63773562540109	0.326043071201391	87.1784015626994	1.1825419436878602e-239	5.44891676812494e-236	528.900700833713	ENSG00000241859.6
ENSG00000067646.11	chrY	5527	ENSG00000067646.11	ENSG00000067646	protein_coding	ZFY	7544.0	InGen	1.39552216271212	7	ENST00000383052.5|ENST00000625061.3|ENST00000155093.7|ENST00000469869.1|ENST00000443793.1|ENST00000449237.4|ENST00000478783.1	8.97342413205932	1.92450261215537	84.7428642099754	1.5510644152668201e-235	5.95582884388871e-232	520.452602150606	ENSG00000067646.11
ENSG00000233864.7	chrY	5284	ENSG00000233864.7	ENSG00000233864	lincRNA	TTTY15	64595.0	InGen	1.78699332133763	3	ENST00000457658.5|ENST00000440408.5|ENST00000417071.1	9.29463253807413	2.11029207435696	83.7640402978976	7.51436328568129e-234	2.47319165341159e-230	516.839546062378	ENSG00000233864.7
ENSG00000154620.5	chrY	1669	ENSG00000154620.5	ENSG00000154620	protein_coding	TMSB4Y	9087.0	InGen	0.827525590547169	1	ENST00000284856.3	7.3585642625073	-0.107329958501221	83.3321550201596	4.21847019950515e-233	1.2148666865799899e-229	514.604385361662	ENSG00000154620.5
ENSG00000012817.15	chrY	9463	ENSG00000012817.15	ENSG00000012817	protein_coding	KDM5D	8284.0	InGen	2.55172391714407	10	ENST00000469599.6|ENST00000317961.8|ENST00000541639.5|ENST00000382806.6|ENST00000492117.1|ENST00000440077.5|ENST00000415360.1|ENST00000485154.1|ENST00000478891.1|ENST00000447300.1	9.7523953543703	3.4376069861565	82.7919015689572	3.69301041546705e-232	9.453696329105049e-229	513.668306622348	ENSG00000012817.15
ENSG00000129824.15	chrY	2275	ENSG00000129824.15	ENSG00000129824	protein_coding	RPS4Y1	6192.0	InGen	6.67398186055128	4	ENST00000250784.12|ENST00000430575.1|ENST00000477725.1|ENST00000515575.1	9.47682804512118	2.65767778219362	80.6372745192183	2.40521702823826e-228	5.54137951135812e-225	504.998547549868	ENSG00000129824.15
