gene_id	Caudate_Expression	DLPFC_Expression	Hippocampus_Expression	Caudate_eQTL	DLPFC_eQTL	Hippocampus_eQTL	p_values	Max Expression	Min Expression	Mean Expresion	Ratio (DLPFC / Caudate)	Ratio (Hippocampus / Caudate)	Ratio (Hippocampus / DLPFC)
ENSG00000008018.8	7.08349311059537	5.47156117599085	4.54354612978618	1	0	0	0	Caudate	Hippocampus	5.69953347212413	0.77243827170617	0.641427338016327	0.83039300551426
ENSG00000027697.13	6.20470819540675	4.62296709953173	4.16417270028707	1	0	0	0	Caudate	Hippocampus	4.99728266507519	0.745074055691136	0.671131110302616	0.900757589364819
ENSG00000046651.14	4.29501664517441	3.26253337562106	2.6788792308743	1	0	0	0	Caudate	Hippocampus	3.41214308388992	0.759609017880436	0.623718009075497	0.821104007974891
ENSG00000057757.9	6.83160503535444	6.06521552123491	4.98595720787576	1	0	0	0	Caudate	Hippocampus	5.96092592148837	0.887817063464097	0.729836865871605	0.822057714259194
ENSG00000063180.8	8.48880648152362	7.03776439386081	5.58510709237149	1	0	0	0	Caudate	Hippocampus	7.03722598925197	0.829064063267188	0.657937850807154	0.793591086573386
ENSG00000070831.15	7.12015221499223	6.09428859591057	5.19083840808494	1	0	0	0	Caudate	Hippocampus	6.13509307299591	0.855921111219843	0.729034752537324	0.851754610303183
ENSG00000072832.14	5.58426873803735	4.684229795263	4.09274447703034	1	0	0	2.84608624397659e-263	Caudate	Hippocampus	4.78708100344356	0.838825997638023	0.732906074013333	0.873728372841399
ENSG00000073417.14	5.51841985660911	3.77482927074589	3.33730758139026	1	0	0	0	Caudate	Hippocampus	4.21018556958175	0.684041694693633	0.604757823454362	0.88409497278557
ENSG00000083937.8	5.99558479715477	4.47270493100873	3.73957360626012	1	0	0	0	Caudate	Hippocampus	4.73595444480787	0.745999778558927	0.623721243678306	0.836087706196333
ENSG00000089289.15	6.04904047417585	4.69315611024241	3.82601981358169	1	0	0	0	Caudate	Hippocampus	4.85607213266665	0.775851332170468	0.63250028329542	0.815233869001657
ENSG00000089558.8	4.73972417389701	1.51162713861726	0.391630946561648	1	0	0	0	Caudate	Hippocampus	2.21432741969197	0.318927237779408	0.0826273707483801	0.259079065568965
ENSG00000089737.15	6.70200738158334	5.56073347756757	4.72931076272795	1	0	0	0	Caudate	Hippocampus	5.66401720729295	0.829711631301405	0.705655857038261	0.850483264807844
ENSG00000092051.16	7.17445306734211	5.24879368056773	4.7664179844019	1	0	0	0	Caudate	Hippocampus	5.72988824410391	0.731594956619074	0.664359769262202	0.908097798175664
ENSG00000095139.13	6.47220820910985	5.18072250144843	4.39620111408575	1	0	0	0	Caudate	Hippocampus	5.34971060821468	0.800456711846259	0.67924284448976	0.848569116152555
ENSG00000096092.5	6.92293980761785	6.19101550633501	4.80411922079092	1	0	0	0	Caudate	Hippocampus	5.97269151158126	0.894275506992355	0.693942075807819	0.775982424187932
