"","module"
"TSPAN6|ENSG00000000003.15","brown"
"DPM1|ENSG00000000419.14","blue"
"SCYL3|ENSG00000000457.14","greenyellow"
"C1orf112|ENSG00000000460.17","turquoise"
"FGR|ENSG00000000938.13","salmon"
"CFH|ENSG00000000971.17","salmon"
"FUCA2|ENSG00000001036.14","magenta"
"GCLC|ENSG00000001084.13","pink"
"NFYA|ENSG00000001167.15","grey"
"STPG1|ENSG00000001460.18","blue"
"NIPAL3|ENSG00000001461.17","turquoise"
"LAS1L|ENSG00000001497.18","darkgrey"
"ENPP4|ENSG00000001561.7","turquoise"
"SEMA3F|ENSG00000001617.12","green"
"CFTR|ENSG00000001626.18","pink"
"ANKIB1|ENSG00000001629.10","magenta"
"CYP51A1|ENSG00000001630.18","pink"
"KRIT1|ENSG00000001631.17","darkorange"
"RAD52|ENSG00000002016.18","yellow"
"BAD|ENSG00000002330.14","red"
"LAP3|ENSG00000002549.13","green"
"CD99|ENSG00000002586.20","grey"
"HS3ST1|ENSG00000002587.10","grey"
"WNT16|ENSG00000002745.13","grey"
"HECW1|ENSG00000002746.15","darkturquoise"
"MAD1L1|ENSG00000002822.16","red"
"LASP1|ENSG00000002834.18","darkgreen"
"SNX11|ENSG00000002919.15","red"
"TMEM176A|ENSG00000002933.9","brown"
"M6PR|ENSG00000003056.8","grey"
"KLHL13|ENSG00000003096.15","blue"
"CYP26B1|ENSG00000003137.9","grey"
"ICA1|ENSG00000003147.19","midnightblue"
"DBNDD1|ENSG00000003249.15","red"
"ALS2|ENSG00000003393.16","lightyellow"
"CASP10|ENSG00000003400.16","salmon"
"CFLAR|ENSG00000003402.21","green"
"TFPI|ENSG00000003436.16","salmon"
"NDUFAF7|ENSG00000003509.16","blue"
"RBM5|ENSG00000003756.17","turquoise"
"MTMR7|ENSG00000003987.14","pink"
"SLC7A2|ENSG00000003989.18","green"
"ARF5|ENSG00000004059.11","white"
"SARM1|ENSG00000004139.14","black"
"POLDIP2|ENSG00000004142.12","black"
"PLXND1|ENSG00000004399.13","black"
"AK2|ENSG00000004455.18","turquoise"
"CD38|ENSG00000004468.13","grey"
"FKBP4|ENSG00000004478.8","skyblue"
"KDM1A|ENSG00000004487.18","green"
"RBM6|ENSG00000004534.15","darkred"
"CAMKK1|ENSG00000004660.15","darkturquoise"
"RECQL|ENSG00000004700.16","magenta"
"VPS50|ENSG00000004766.17","pink"
"HSPB6|ENSG00000004776.13","black"
"ARHGAP33|ENSG00000004777.19","red"
"NDUFAB1|ENSG00000004779.10","yellow"
"PDK4|ENSG00000004799.8","brown"
"ZMYND10|ENSG00000004838.14","blue"
"ARX|ENSG00000004848.8","grey"
"SLC25A13|ENSG00000004864.14","turquoise"
"ST7|ENSG00000004866.22","brown"
"CDC27|ENSG00000004897.12","pink"
"SLC4A1|ENSG00000004939.16","grey"
"CALCR|ENSG00000004948.16","grey"
"HCCS|ENSG00000004961.15","blue"
"DVL2|ENSG00000004975.12","lightgreen"
"PRSS22|ENSG00000005001.10","grey"
"UPF1|ENSG00000005007.13","royalblue"
"SKAP2|ENSG00000005020.13","blue"
"SLC25A5|ENSG00000005022.6","grey"
"MCUB|ENSG00000005059.16","blue"
"POLR2J|ENSG00000005075.16","yellow"
