"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEroyalblue","MEsalmon","MEtan","MEturquoise","MEyellow"
"R12195",-0.0198321048852281,-0.00749330942339467,-0.00220594712419738,-0.0108753472884242,-0.00649584904681232,-0.0208919597115346,0.00798832846034831,0.0170257600763569,0.0248729938841578,0.0290087577747406,0.0270426154396129,0.0321838161998394,-0.00574109005617968,-0.0332726849611208,0.0270730220864363,-0.0299595095700363,0.0480157799713993,0.0128262926855088,0.00598680450227432,0.0200228135327983,-0.0229989619874633
"R12198",0.00369406345442091,-0.0137693607041733,-0.0163085630862914,0.0371539121204353,0.000152298591593936,0.00998619478506779,0.00538734267991378,0.0148510114358613,0.0502847402762685,0.0285616743570019,0.0849678483295732,0.0379523048237203,-0.0183470915315558,-0.0466619736520409,0.0375943864202456,-0.0472882132781216,0.0695726586370936,0.0412471413494021,-0.0203318943186417,0.00576646340594833,-0.0487332572162976
"R12199",-0.0164126344129017,-0.00618885872783137,0.0175271221439433,-0.0124757127535791,0.00551027531217951,-0.0264809734295237,0.0142129532510202,0.0390204486291906,-0.0716966333527731,0.0450817356913816,0.0368253574403915,-0.00231336198721552,0.000545580167119475,0.00209677922521406,-0.00213013673733503,-0.0120359961345773,0.0397846215058343,0.00736260039091402,-0.0295513462830574,-0.00297323571791633,0.00444065826022849
"R12200",-0.0531771571076181,0.0789030343691379,-0.0519180503208677,-0.0261465771490442,-0.072287839483611,-0.055903622970532,0.0297379764333818,0.0591165833892912,-0.0451118684262441,-0.00036832878306509,0.0257815817973166,0.0349947984782077,-0.0367198227721429,0.0285549751308952,0.0672431092306432,0.0642366947416381,0.0296564663201886,0.0761306784495569,0.0650453812800592,-0.000199400628251033,0.000431246707876219
"R12258",-0.0137340194306229,0.0157308410280405,-0.0333970889562456,-0.0681731736529565,-0.0192379668729498,0.00875012987487926,0.0114692394091848,-0.000181303064334963,0.0466572811147631,-0.00561569725433797,-0.0474675567179456,0.0395722682064333,-0.0224519680974867,-0.036650090493919,0.0411210287526555,-0.0159988838746025,0.0251804340878755,0.0353986565253128,0.0272941808558549,0.0305831548126059,-0.0458848030339092
"R12259",-0.0158667673950198,0.069974439224283,-0.0588211534796403,-0.117878917237853,-0.0539524263587119,0.111151878526983,0.0291128982399128,0.00795029648335909,-0.110283793552915,-0.0809658296400569,-0.0862319950246734,0.03624195188606,-0.00927003817253694,-0.0115109605060252,0.0870678640447287,0.0158848809839369,-0.0488236916724817,0.107096340053838,0.0598571435912953,-0.009619912047147,-0.0250942383109302
"R12260",0.0530921085137471,-0.0696382157445356,0.034428967188077,0.0591281760810879,0.0482250212638936,-0.0133479328715054,-0.00496918576199537,-0.0699805057282636,-0.0424066473388637,-0.0333908510528899,-0.00385232702408948,-0.0473393196915904,0.0557081186455348,0.0106828007231466,-0.081543190371048,-0.0119798755247075,-0.089842194580098,-0.109952868489766,-0.0428018793826629,0.0209938342740218,0.0207664712606322
"R12263",0.044321764202519,-0.0591360123247648,-0.00165144626283544,-0.0452388604934445,0.0404107368147101,-0.0195624845717036,-0.00364344539958435,-0.0582234759609951,0.0392747480353015,-0.0269656705226024,-0.0482909172085537,0.0421067263296711,0.0063630234670945,-0.0600919458651825,-0.00256397240298527,-0.0554509708685023,-0.0153186055465235,-0.0406299449796084,-0.00858064959957032,0.0869777372421269,-0.0426208019748621
"R12264",0.0647425027618432,-0.04343557610681,0.0323758903658912,0.0618246145721491,0.0617922457807588,0.0344769741010032,-0.0162023818963471,-0.0366671387500314,0.0171119573478361,-0.00982880134512357,-0.00302044835500468,-0.0241152630483334,0.0414481524422708,-0.0523117164364767,-0.0360805588791953,-0.0665044674318906,0.0056850074632135,-0.0194143238699674,-0.0527750224322909,0.000985784176836547,-0.0248218193511518
"R12265",0.0203087928551307,-0.0376695792366672,0.0695204837256894,0.0036513258797878,0.0560216221686786,-0.0425461535827487,-0.0300949999949263,-0.015999622594612,-0.0764258847673552,0.00570969532924159,-0.0547592707267868,-0.0851289733938409,0.0313425581249671,0.0533544453413603,-0.112659674933255,0.0236347556308013,-0.0799704699484847,-0.0914919898285918,-0.0402569282627288,-0.0118049464296579,0.0674410846897087
