gene_id	module
7SK|ENSG00000271394.1	grey
7SK|ENSG00000274303.1	grey
A1BG-AS1|ENSG00000268895.6	grey
A1BG|ENSG00000121410.12	grey
A2M-AS1|ENSG00000245105.4	grey
A2ML1|ENSG00000166535.20	grey
A2MP1|ENSG00000256069.7	grey
A2M|ENSG00000175899.15	royalblue
A4GALT|ENSG00000128274.17	cyan
AA06|ENSG00000265544.1	blue
AAAS|ENSG00000094914.14	black
AACSP1|ENSG00000250420.8	orange
AACS|ENSG00000081760.17	black
AADAT|ENSG00000109576.14	grey
AAGAB|ENSG00000103591.13	tan
AAK1|ENSG00000115977.21	blue
AAMDC|ENSG00000087884.16	yellow
AAMP|ENSG00000127837.10	midnightblue
AAR2|ENSG00000131043.13	grey
AARD|ENSG00000205002.4	grey
AARS1|ENSG00000090861.17	midnightblue
AARS2|ENSG00000124608.5	lightyellow
AARSD1|ENSG00000266967.7	blue
AASDHPPT|ENSG00000149313.11	brown
AASDH|ENSG00000157426.14	yellow
AASS|ENSG00000008311.16	turquoise
AATBC|ENSG00000215458.8	grey
AATF|ENSG00000275700.6	grey
AATK|ENSG00000181409.14	turquoise
ABAT|ENSG00000183044.12	blue
ABCA10|ENSG00000154263.18	red
ABCA11P|ENSG00000251595.7	pink
ABCA12|ENSG00000144452.15	red
ABCA13|ENSG00000179869.15	salmon
ABCA17P|ENSG00000238098.9	grey
ABCA1|ENSG00000165029.17	grey
ABCA2|ENSG00000107331.18	turquoise
ABCA3|ENSG00000167972.14	darkred
ABCA4|ENSG00000198691.14	green
ABCA5|ENSG00000154265.16	grey
ABCA6|ENSG00000154262.13	grey
ABCA7|ENSG00000064687.13	grey
ABCA8|ENSG00000141338.15	turquoise
ABCA9|ENSG00000154258.17	lightcyan
ABCB10|ENSG00000135776.5	grey
ABCB11|ENSG00000073734.10	grey
ABCB1|ENSG00000085563.15	grey
ABCB4|ENSG00000005471.19	grey
ABCB6|ENSG00000115657.14	blue
ABCB7|ENSG00000131269.19	lightyellow
ABCB8|ENSG00000197150.13	purple
ABCB9|ENSG00000150967.19	blue
ABCC10|ENSG00000124574.15	purple
ABCC11|ENSG00000121270.16	grey
ABCC12|ENSG00000140798.17	greenyellow
ABCC1|ENSG00000103222.20	green
ABCC2|ENSG00000023839.12	grey
ABCC3|ENSG00000108846.16	grey
ABCC4|ENSG00000125257.16	lightyellow
ABCC5|ENSG00000114770.17	grey
ABCC6P1|ENSG00000256340.10	grey
ABCC6|ENSG00000091262.17	grey
ABCC8|ENSG00000006071.16	blue
ABCC9|ENSG00000069431.14	green
ABCD1|ENSG00000101986.12	grey
ABCD2|ENSG00000173208.4	black
ABCD3|ENSG00000117528.14	purple
ABCD4|ENSG00000119688.21	greenyellow
ABCE1|ENSG00000164163.11	brown
ABCF1|ENSG00000204574.14	grey
ABCF2P1|ENSG00000242159.1	grey
ABCF2|ENSG00000033050.9	midnightblue
ABCF3|ENSG00000161204.12	saddlebrown
ABCG1|ENSG00000160179.19	grey
ABCG2|ENSG00000118777.12	grey
ABCG4|ENSG00000172350.10	blue
ABCG5|ENSG00000138075.14	grey
ABCG8|ENSG00000143921.9	blue
ABHD10|ENSG00000144827.9	brown
ABHD11|ENSG00000106077.19	grey
ABHD12B|ENSG00000131969.15	red
ABHD12|ENSG00000100997.20	salmon
ABHD13|ENSG00000139826.6	pink
ABHD14A|ENSG00000248487.10	midnightblue
ABHD14B|ENSG00000114779.20	green
ABHD15|ENSG00000168792.5	grey
ABHD16A|ENSG00000204427.12	saddlebrown
ABHD17AP1|ENSG00000198658.4	grey
ABHD17AP6|ENSG00000226981.2	yellow
ABHD17A|ENSG00000129968.17	yellow
ABHD17B|ENSG00000107362.14	turquoise
ABHD17C|ENSG00000136379.12	salmon
ABHD18|ENSG00000164074.16	pink
ABHD1|ENSG00000143994.14	grey
ABHD2|ENSG00000140526.18	green
ABHD3|ENSG00000158201.10	lightyellow
ABHD4|ENSG00000100439.11	darkgreen
ABHD5|ENSG00000011198.10	blue
ABHD6|ENSG00000163686.15	salmon
ABHD8|ENSG00000127220.6	yellow
ABI1|ENSG00000136754.18	white
ABI2|ENSG00000138443.17	greenyellow
ABI3BP|ENSG00000154175.18	blue
ABI3|ENSG00000108798.9	lightgreen
ABITRAM|ENSG00000119328.12	grey
ABL1|ENSG00000097007.19	black
ABL2|ENSG00000143322.21	grey
ABLIM1|ENSG00000099204.21	grey
ABLIM2|ENSG00000163995.21	red
ABLIM3|ENSG00000173210.20	grey
ABO|ENSG00000175164.16	red
ABRACL|ENSG00000146386.8	white
ABRAXAS1|ENSG00000163322.14	green
ABRAXAS2|ENSG00000165660.8	brown
ABR|ENSG00000159842.16	yellow
ABT1|ENSG00000146109.5	brown
ABTB1|ENSG00000114626.18	yellow
ABTB2|ENSG00000166016.6	turquoise
ACAA1|ENSG00000060971.19	grey
ACAA2P1|ENSG00000233585.2	turquoise
ACAA2|ENSG00000167315.18	lightyellow
ACACA|ENSG00000278540.5	grey
ACACB|ENSG00000076555.16	black
ACAD10|ENSG00000111271.15	brown
