clusterID	N	coord	gene	annotation	FDR
clu_755_-	3	chrX:53217966-53220839	KDM5C	annotated	2.27e-43
clu_744_-	10	chrX:53176622-53193437	KDM5C	cryptic	3.64e-40
clu_109096_+	9	chr6:72292046-72390598	RIMS1	cryptic	1.89e-16
clu_143938_-	22	chr6:130863718-130885096	EPB41L2	cryptic	1.89e-16
clu_61504_+	3	chrX:47199106-47199480	UBA1	cryptic	2.45e-16
clu_21090_-	11	chr3:197066754-197081051	DLG1	cryptic	2.32e-14
clu_95513_-	7	chr18:5406968-5419711	EPB41L3	annotated	1.03e-12
clu_26281_-	19	chr5:146701142-147081059	PPP2R2B	cryptic	2.56e-11
clu_126662_-	9	chr1:54043525-54053356	TMEM59	cryptic	6.05e-11
clu_41689_-	6	chr9:8525035-8528591	PTPRD	annotated	2.15e-10
clu_62902_+	10	chrX:153765580-153769162	PLXNB3	cryptic	1.06e-09
clu_90214_-	4	chr17:10019897-10198208	GAS7	annotated	1.2e-09
clu_43774_-	6	chr9:129010693-129014411	SH3GLB2	cryptic	2.17e-09
clu_1810_-	3	chrX:152989331-152991916	PNMA5	cryptic	4e-09
clu_752_-	3	chrX:53210576-53211497	KDM5C	cryptic	8.61e-09
clu_44393_+	9	chr12:862270-878215	WNK1	cryptic	5.09e-08
clu_163809_-	8	chr4:167000463-167233985	SPOCK3	annotated	5.09e-08
clu_6395_-	13	chr11:85709500-85718790	SYTL2	cryptic	6.21e-08
clu_117169_-	9	chr12:39311553-39319906	KIF21A	annotated	6.21e-08
clu_143901_-	6	chr6:127998904-128005084	PTPRK	annotated	6.21e-08
clu_50530_-	5	chr2:74371728-74377432	DCTN1	cryptic	8.29e-08
clu_62904_+	7	chrX:153771081-153771864	PLXNB3	cryptic	1.38e-07
clu_42656_-	7	chr9:76614600-76629192	PRUNE2	cryptic	1.79e-07
clu_109259_+	4	chr6:83124819-83125500	DOPEY1	cryptic	1.96e-07
