"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEskyblue","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow"
"R12864",0.0686646131926814,0.00343753377169284,-0.0130761081439959,-0.0325038301956495,-0.0510775977924867,-0.0739474275210297,0.0867535525418984,0.0900057699665063,0.00439612278346716,0.0082490704938091,-0.00517954240397312,0.0246833984971476,-0.0130591426845761,-0.0344221146867938,0.000626918549531452,-0.0704047988437473,-0.0667678497325615,0.0583545665023385,0.0195289151364755,-0.0112811395198581,-0.0556143271433261,0.0298019158373266,-0.0409873067118125,0.0378692372996358,0.0884402320229963,-0.0739495101667828,0.0974812116070117,-0.0234511228787416,0.000526278861423254,-0.111265903077505,-0.0389173701098094,-0.0543891419281918,-0.0878340873749668
"R12865",0.0219742661476412,0.045406771316859,-0.0480994534027053,-0.0240517852439286,0.0430401942892733,0.0108177799806575,-0.0474928288293414,0.0349600612294489,0.0229866422737662,-0.0310858598856116,0.00478693849940559,0.0426846750023305,-0.0296743667700771,-0.0316498802702784,-0.0108098751131427,0.0597947888056811,0.0562351638508636,0.00763698585819828,0.0102300736570664,0.0128820353189115,-0.0102329000445298,-0.035657459426467,0.0574466352369842,-0.0569837073102536,0.0361890830144833,-0.00235760519068984,0.0114464025094484,0.0248804115453499,0.0294974728428939,0.0220739037918256,0.0222038637933913,0.0886581290995684,0.0729743746836479
"R12866",0.0383125666063709,0.0658857025636447,-0.00459757690674656,-0.0258625748544398,-0.0622818627752619,-0.00888185512726793,0.0102924761379056,0.0805312811510737,0.0333003047857144,-0.0192131095920209,-0.00981453896292683,-0.0478966082660329,0.0257117900555851,-0.016682400267884,-0.0127224524176423,-0.0228222651327602,-0.0273978816648203,-0.0085785683158706,0.0476152841588464,-0.074484739062878,-0.0509337940310663,-0.0504933039245221,0.0174102104068616,-0.00351307562095208,0.0949179640326776,-0.000104364727288642,0.0624089514232338,-0.0558870938724565,0.0743229066110449,-0.0691917313504345,0.0505932481062764,0.014433915108906,-0.013114245599777
"R12867",0.0345395459103605,-0.0304989950986057,0.055863383998321,0.0292333415307635,0.0361925703330983,-0.0145793801658492,-0.00494183954758562,0.0539444193087926,-0.0259394595128221,0.0479421045572911,0.0424492354784001,-0.0106686053566413,-0.0263053014500914,0.0272982661349732,0.041013839238763,-0.0120817844069195,-0.0455826237260698,-0.0421363119917178,0.00799049817323177,-0.00546075499168976,-0.000894943551729614,0.0064167422246707,-0.0459063362649433,0.04470941861699,0.00426357802891408,-0.0445947594035965,-0.00635156286253324,0.0195634988005362,0.00336966977961162,-0.0220699343340101,0.016608117321257,-0.0563526433453081,-0.0456766190298795
"R12868",0.0326329992990852,0.0380729466448817,0.0130202368993878,0.0261600497024799,0.0381080216756475,0.0962567338789865,-0.115216167994881,-0.00186846977598683,-0.0737438095881055,-0.0338725651294824,0.0398829166948497,0.135128806694812,-0.171323129304463,-0.115372797739741,0.0893402954388291,-0.0161075626504096,0.0292941864572833,-0.0481909668917482,0.0825621359014367,0.0603250052266338,-0.00847963729396939,-0.024043229079756,0.0441750030972935,-0.0331422951179986,0.0148541381918238,0.0379947546980723,-0.00613933551533762,0.0946564617658411,0.0435914679043119,0.0658026163862641,0.00668172491841812,-0.0150628410103464,-0.0631137526891773
"R12869",0.0690991891526164,0.00499004960695455,0.0426916740679442,-0.0678679621313635,-0.0718856754763492,-0.0567238793831948,-0.0104840125471025,0.078437934688262,0.028495643711042,-0.00221476418403465,-0.017684363532966,-0.0758968973230045,0.0512954969112294,0.00502131354977751,-0.00139287124508618,-0.0717929366522405,-0.1095164640831,-0.048828787025424,-0.00226484799228135,-0.105695659149713,-0.0949435200518352,-0.0387628441381776,-0.0716682643915184,-0.0180625018611331,0.101086013814399,0.0717690513612907,-0.00608019190185111,-0.0928561642759566,0.015048455273281,-0.10163608873992,-0.00425626294374472,-0.0779562391272723,-0.0893895836648079
"R12870",0.0473920295935433,-0.000984140435499394,0.148823377149458,-0.0332282602630713,-0.101860465947999,0.0491895801556383,-0.00177524029874817,0.0523257772592801,-0.0685583849082573,0.00281093431670932,0.00443584527921369,-0.0997808447142487,0.0728949803368902,0.00652142173731286,0.0490188911578353,-0.0449449555448392,-0.0177784426556597,-0.0113614507431902,0.0735441786803698,-0.0654019247482588,-0.0632145789716121,-0.035628818749937,0.00497109244821234,-0.0194664167221607,0.00261836106919845,-0.00111241695551164,0.0470727954414557,-0.0677027742487771,0.0613208460001081,-0.0331815904734057,0.0915292523217501,-0.0427360187384594,-0.0703808189253784
"R12871",-0.0383013933948068,-0.000469739921604506,-0.0409152163891934,0.0622455025382824,0.0201626548303959,-0.0436949182979688,0.0254655220269504,-0.0315200564070975,0.062573222751085,0.0586627488773175,0.0399648946718652,-0.0417962058122513,0.100660646427388,0.0773631498304733,0.0201122309788682,0.012293754760085,0.0138161218436047,0.0881606289728764,-0.0368019680807139,-0.00779131336977483,0.0418607939591878,0.0670479290454827,0.0219326827701574,0.0276333084770859,-0.137923657765992,-0.125864582780777,0.0731312245012471,0.00962283505614172,-0.013082822363192,-0.00249082041604994,0.0427211217671623,-0.013241608828044,-0.0106482255416074
"R12872",0.0733070606556009,-0.0568594588081568,-0.00290301027813367,0.0464172801685165,0.0313038484474941,-0.0241290893789271,0.00897996924587145,0.037817511037662,-0.0462321112640802,0.0540472510351616,0.0743167093574866,0.0255554590619508,-0.0375627862023432,0.0156833254515677,0.0723160488282063,0.00757402466344553,-0.0730631286808244,0.00836350437714009,-0.0234256019702959,0.00813552390243476,-0.000584625166231202,0.0526806297968635,-0.074473040429446,-9.11805996472154e-05,0.0277125920714242,-0.0187733139525768,0.00844246530431444,0.0359983584441846,-0.0152943179527357,-0.0212298748117758,0.00522473670680676,-0.0657926320470447,-0.0151533515628744
"R12873",0.0431656434186215,0.031638476605381,-0.0390739466501425,-0.0111731289747355,0.00939230811959494,0.024265819570958,-0.0923871480723589,0.0696080511589459,-0.0386358270712884,-0.0329761665417907,0.0123142766628995,0.00575149425550831,-0.0494780555776437,-0.0384795876942764,0.00601956020841157,0.018407852878095,0.036693955387265,-0.0516423137975638,0.0298215442190452,-0.00775160661760011,-0.0197820504893076,-0.0752725308993607,0.0553455474278324,-0.0594798740459833,-0.0446175284918989,-0.0373325830521819,-0.0165409241949483,0.00541109936571953,0.0372711429964205,-0.0131753500563048,0.00514188078558392,0.0542780162352754,0.0332007846760867
