"","module"
"ENSG00000227232.5","grey"
"ENSG00000278267.1","grey"
"ENSG00000279457.3","grey"
"ENSG00000228463.9","grey"
"ENSG00000236679.2","grey"
"ENSG00000237094.11","grey"
"ENSG00000230021.8","grey"
"ENSG00000225972.1","grey"
"ENSG00000225630.1","grey"
"ENSG00000237973.1","grey"
"ENSG00000278791.1","grey"
"ENSG00000229344.1","grey"
"ENSG00000248527.1","magenta"
"ENSG00000198744.5","grey"
"ENSG00000228327.3","grey"
"ENSG00000237491.8","grey"
"ENSG00000230092.7","royalblue"
"ENSG00000228794.8","turquoise"
"ENSG00000225880.5","grey"
"ENSG00000230699.2","grey"
"ENSG00000223764.2","yellow"
"ENSG00000187634.11","grey"
"ENSG00000188976.10","red"
"ENSG00000187961.13","blue"
"ENSG00000272512.1","grey"
"ENSG00000188290.10","tan"
"ENSG00000187608.8","grey"
"ENSG00000188157.13","blue"
"ENSG00000217801.9","grey"
"ENSG00000131591.17","blue"
"ENSG00000162571.13","grey"
"ENSG00000078808.16","blue"
"ENSG00000176022.4","blue"
"ENSG00000260179.1","grey"
"ENSG00000160087.20","blue"
"ENSG00000230415.1","blue"
"ENSG00000162572.19","blue"
"ENSG00000131584.18","tan"
"ENSG00000169972.11","blue"
"ENSG00000127054.19","blue"
"ENSG00000240731.1","grey"
"ENSG00000224051.6","blue"
"ENSG00000107404.18","tan"
"ENSG00000162576.16","blue"
"ENSG00000175756.13","blue"
"ENSG00000221978.11","darkturquoise"
"ENSG00000224870.6","darkturquoise"
"ENSG00000242485.5","midnightblue"
"ENSG00000272455.1","grey"
"ENSG00000235098.8","grey"
"ENSG00000225905.1","yellow"
"ENSG00000205116.3","yellow"
"ENSG00000225285.1","grey"
"ENSG00000179403.11","white"
"ENSG00000215915.9","grey"
"ENSG00000160072.19","midnightblue"
"ENSG00000197785.13","blue"
"ENSG00000205090.8","red"
"ENSG00000160075.11","midnightblue"
"ENSG00000215014.4","grey"
"ENSG00000228594.3","tan"
"ENSG00000272106.1","blue"
"ENSG00000197530.12","blue"
"ENSG00000248333.8","red"
"ENSG00000189339.11","grey"
"ENSG00000008128.22","grey"
"ENSG00000268575.1","grey"
"ENSG00000215790.6","grey"
"ENSG00000008130.15","blue"
"ENSG00000078369.17","grey"
"ENSG00000231050.1","blue"
"ENSG00000169885.9","grey"
"ENSG00000142609.17","grey"
"ENSG00000233542.1","grey"
"ENSG00000187730.7","magenta"
"ENSG00000067606.16","violet"
"ENSG00000182873.5","grey"
"ENSG00000162585.16","blue"
"ENSG00000157933.9","blue"
"ENSG00000116151.13","blue"
"ENSG00000269896.2","grey"
"ENSG00000272420.1","grey"
"ENSG00000157916.19","red"
"ENSG00000157911.9","blue"
"ENSG00000149527.17","white"
"ENSG00000157881.13","red"
"ENSG00000197921.5","darkred"
"ENSG00000272449.1","grey"
"ENSG00000238164.6","grey"
"ENSG00000157873.17","saddlebrown"
"ENSG00000157870.14","blue"
"ENSG00000142606.15","grey"
"ENSG00000215912.12","blue"
"ENSG00000177133.10","darkred"
"ENSG00000142611.16","blue"
"ENSG00000279839.1","grey"
"ENSG00000272235.1","grey"
"ENSG00000130762.14","blue"
"ENSG00000162591.15","saddlebrown"
"ENSG00000238260.1","grey"
"ENSG00000158109.14","grey"
"ENSG00000116213.15","red"
"ENSG00000078900.14","grey"
"ENSG00000227372.11","darkturquoise"
"ENSG00000235169.7","grey"
"ENSG00000130764.9","red"
"ENSG00000116198.12","yellow"
"ENSG00000169598.15","grey"
"ENSG00000198912.10","grey"
"ENSG00000236423.5","grey"
"ENSG00000196581.10","turquoise"
"ENSG00000131697.17","blue"
"ENSG00000069424.14","violet"
"ENSG00000116254.17","tan"
"ENSG00000116251.9","darkorange"
"ENSG00000158286.12","tan"
"ENSG00000116237.15","grey"
"ENSG00000158292.6","tan"
"ENSG00000097021.19","magenta"
"ENSG00000215788.9","brown"
"ENSG00000171680.20","tan"
"ENSG00000162408.10","grey"
"ENSG00000204859.12","blue"
"ENSG00000162413.16","orange"
"ENSG00000116273.5","red"
"ENSG00000041988.15","blue"
"ENSG00000007923.15","blue"
"ENSG00000237436.1","grey"
"ENSG00000171735.18","turquoise"
"ENSG00000237402.1","grey"
"ENSG00000270171.1","grey"
"ENSG00000270035.1","grey"
"ENSG00000269978.1","grey"
"ENSG00000049245.12","lightyellow"
"ENSG00000269925.1","grey"
"ENSG00000049246.14","grey"
"ENSG00000116288.12","midnightblue"
"ENSG00000116285.12","lightgreen"
"ENSG00000162426.14","red"
"ENSG00000142599.17","royalblue"
"ENSG00000224315.2","yellow"
"ENSG00000222511.2","grey"
"ENSG00000228423.2","grey"
"ENSG00000074800.13","red"
"ENSG00000236269.1","grey"
"ENSG00000142583.17","salmon"
"ENSG00000180758.11","brown"
"ENSG00000228526.5","grey"
"ENSG00000234546.3","grey"
"ENSG00000281937.1","grey"
"ENSG00000049239.12","blue"
"ENSG00000171621.13","red"
"ENSG00000171612.6","black"
"ENSG00000231181.1","grey"
"ENSG00000188807.12","blue"
"ENSG00000171608.15","salmon"
