ensemblID,Caudate,DLPFC,Hippocampus,CMC DLPFC
ENSG00000001630,0,0,0,1
ENSG00000002586,1,1,1,0
ENSG00000003137,1,0,0,0
ENSG00000005020,1,1,0,0
ENSG00000005189,0,1,0,0
ENSG00000005206,0,0,0,1
ENSG00000005889,1,1,1,1
ENSG00000005893,0,1,0,0
ENSG00000005981,0,0,0,1
ENSG00000006128,1,0,0,0
ENSG00000006453,1,0,0,0
ENSG00000006756,1,0,1,0
ENSG00000006757,1,1,1,1
ENSG00000008130,0,0,0,1
ENSG00000008382,0,0,0,1
ENSG00000008394,0,0,0,1
ENSG00000009335,0,1,0,0
ENSG00000010282,0,0,0,1
ENSG00000011009,0,0,0,1
ENSG00000012048,0,0,0,1
ENSG00000012817,1,1,1,1
ENSG00000013583,0,1,0,0
ENSG00000014123,0,0,0,1
ENSG00000022556,1,1,1,0
ENSG00000026036,0,0,0,1
ENSG00000027697,1,1,0,0
ENSG00000029639,1,0,0,0
ENSG00000041982,0,1,0,0
ENSG00000042753,0,1,0,0
ENSG00000046647,1,1,1,1
ENSG00000047346,0,1,0,0
ENSG00000047365,1,0,0,0
ENSG00000048405,0,0,0,1
ENSG00000049089,1,0,0,1
ENSG00000049245,0,1,0,0
ENSG00000050767,1,0,0,0
ENSG00000054277,0,1,0,0
ENSG00000054654,0,0,0,1
ENSG00000055070,0,1,0,0
ENSG00000055208,0,0,0,1
ENSG00000055813,1,0,0,0
ENSG00000056998,0,0,1,0
ENSG00000058272,0,1,0,0
ENSG00000059691,0,1,0,0
ENSG00000060237,0,1,0,0
ENSG00000060656,1,0,0,0
ENSG00000060749,0,0,0,1
ENSG00000063587,0,1,0,0
ENSG00000063761,0,0,0,1
ENSG00000064102,1,0,0,0
ENSG00000064666,1,1,0,0
ENSG00000065559,0,1,0,0
ENSG00000065621,0,0,0,1
ENSG00000065802,0,0,0,1
ENSG00000065833,0,0,0,1
ENSG00000066117,0,1,0,0
ENSG00000066185,0,0,0,1
ENSG00000066629,1,1,0,0
ENSG00000067048,1,1,1,1
ENSG00000067646,1,1,1,1
ENSG00000068650,0,1,0,0
ENSG00000068831,0,1,0,1
ENSG00000068976,1,0,0,0
ENSG00000069345,0,1,0,0
ENSG00000069509,1,0,0,0
ENSG00000069849,0,1,0,0
ENSG00000070756,0,1,0,0
ENSG00000071242,0,1,0,0
ENSG00000071655,0,0,0,1
ENSG00000072501,1,1,1,1
ENSG00000074370,0,1,0,0
ENSG00000074935,0,0,0,1
ENSG00000074964,0,0,0,1
ENSG00000075429,0,1,0,0
ENSG00000077044,0,0,0,1
ENSG00000077152,0,1,0,0
ENSG00000078061,0,1,0,0
ENSG00000079308,0,1,0,0
ENSG00000079931,1,0,0,0
ENSG00000080007,1,1,1,0
ENSG00000080200,0,1,0,0
ENSG00000080822,0,1,0,0
ENSG00000081320,0,0,0,1
ENSG00000081479,0,1,0,0
ENSG00000081665,0,0,0,1
ENSG00000081818,0,0,0,1
ENSG00000081923,1,0,0,0
ENSG00000082175,0,0,0,1
ENSG00000083067,0,0,0,1
ENSG00000083123,0,0,0,1
ENSG00000083168,0,1,0,0
ENSG00000084207,1,1,0,0
ENSG00000084636,0,0,0,1
ENSG00000084674,0,0,0,1
ENSG00000084754,1,1,0,0
ENSG00000085117,0,1,0,0
ENSG00000085719,0,0,0,1
ENSG00000085871,1,0,0,0
ENSG00000086159,1,0,0,1
ENSG00000086712,1,1,1,1
ENSG00000087111,1,0,0,0
ENSG00000088053,0,1,0,0
ENSG00000088826,0,0,0,1
ENSG00000089250,1,0,0,0
ENSG00000089693,0,0,0,1
ENSG00000089723,0,1,0,0
ENSG00000089847,0,1,0,0
ENSG00000090054,0,0,0,1
ENSG00000090470,1,0,0,0
ENSG00000090971,0,1,0,0
ENSG00000091136,1,0,0,0
ENSG00000091436,0,0,0,1
ENSG00000091592,0,1,0,0
ENSG00000091986,1,0,0,0
ENSG00000092295,0,0,0,1
ENSG00000092377,1,0,1,0
ENSG00000092445,0,0,0,1
ENSG00000092758,1,0,0,0
ENSG00000092964,0,1,0,0
ENSG00000093000,0,1,0,0
ENSG00000093167,0,0,0,1
ENSG00000095066,0,0,0,1
ENSG00000095209,1,1,0,0
ENSG00000095370,1,0,0,0
ENSG00000095627,1,1,0,1
ENSG00000095932,1,1,0,1
ENSG00000095970,0,0,0,1
ENSG00000096092,0,1,0,0
ENSG00000096696,1,0,0,0
ENSG00000099715,1,1,1,1
ENSG00000099725,1,1,1,1
ENSG00000100077,0,1,0,0
ENSG00000100249,1,0,0,0
ENSG00000100335,0,0,0,1
ENSG00000100425,0,0,0,1
ENSG00000100433,1,0,0,0
ENSG00000100439,0,0,0,1
ENSG00000100490,0,0,0,1
ENSG00000100567,0,0,0,1
ENSG00000100814,0,1,0,0
ENSG00000100908,0,1,0,0
ENSG00000100968,0,0,0,1
ENSG00000100982,0,1,0,0
ENSG00000101004,0,0,0,1
ENSG00000101017,0,1,0,0
ENSG00000101160,0,1,0,0
ENSG00000101222,0,1,0,0
ENSG00000101412,0,0,0,1
ENSG00000101596,0,0,0,1
ENSG00000101608,0,1,0,0
ENSG00000101846,1,1,1,1
ENSG00000101850,1,0,0,0
ENSG00000101901,0,0,0,1
ENSG00000102001,1,0,0,0
ENSG00000102032,0,0,0,1
ENSG00000102053,0,0,0,1
ENSG00000102054,0,1,0,0
ENSG00000102178,0,0,0,1
ENSG00000102221,0,1,0,0
ENSG00000102290,1,0,0,0
ENSG00000102401,0,1,0,0
ENSG00000102699,0,0,0,1
ENSG00000102763,0,0,0,1
ENSG00000102901,0,0,0,1
ENSG00000103037,0,0,0,1
ENSG00000103174,0,0,0,1
ENSG00000103381,0,1,0,0
ENSG00000103550,0,0,0,1
ENSG00000103599,0,0,0,1
ENSG00000103978,0,1,0,0
ENSG00000104047,0,0,0,1
ENSG00000104112,0,0,0,1
ENSG00000104133,0,0,0,1
ENSG00000104267,1,0,0,1
ENSG00000104321,0,0,0,1
ENSG00000104381,0,1,0,0
ENSG00000104419,0,1,0,0
ENSG00000104472,0,1,0,0
ENSG00000104904,0,1,0,0
ENSG00000105048,0,0,0,1
ENSG00000105127,0,0,0,1
ENSG00000105193,0,1,0,0
ENSG00000105251,0,1,0,0
ENSG00000105355,0,1,0,0
ENSG00000105393,0,1,0,0
ENSG00000105443,0,0,0,1
ENSG00000105447,0,0,0,1
ENSG00000105656,0,0,0,1
ENSG00000105707,1,0,0,0
ENSG00000105971,0,1,0,1
ENSG00000105974,1,1,0,0
ENSG00000106078,1,0,0,0
ENSG00000106537,0,1,0,0
ENSG00000106631,0,1,0,0
ENSG00000107560,0,0,0,1
ENSG00000107731,0,1,0,0
ENSG00000108231,0,0,0,1
