ensemblID,Caudate,DLPFC,Hippocampus,CMC DLPFC
ENSG00000000460,0,0,0,1
ENSG00000001460,0,0,0,1
ENSG00000001629,0,0,0,1
ENSG00000002586,1,1,1,0
ENSG00000003137,1,0,0,0
ENSG00000004059,0,0,0,1
ENSG00000004142,0,0,0,1
ENSG00000004660,0,0,0,1
ENSG00000004799,0,0,0,1
ENSG00000005020,1,1,0,0
ENSG00000005189,0,1,0,0
ENSG00000005448,0,0,0,1
ENSG00000005884,0,0,0,1
ENSG00000005889,1,1,1,0
ENSG00000005893,0,1,0,1
ENSG00000006015,0,0,0,1
ENSG00000006128,1,0,0,0
ENSG00000006453,1,0,0,0
ENSG00000006530,0,0,0,1
ENSG00000006747,0,0,0,1
ENSG00000006756,1,0,1,0
ENSG00000006757,1,1,1,0
ENSG00000006831,0,0,0,1
ENSG00000007264,0,0,0,1
ENSG00000007376,0,0,0,1
ENSG00000007923,0,0,0,1
ENSG00000008130,0,0,0,1
ENSG00000008282,0,0,0,1
ENSG00000008283,0,0,0,1
ENSG00000008382,0,0,0,1
ENSG00000009335,0,1,0,0
ENSG00000010072,0,0,0,1
ENSG00000010256,0,0,0,1
ENSG00000011009,0,0,0,1
ENSG00000011083,0,0,0,1
ENSG00000011258,0,0,0,1
ENSG00000011478,0,0,0,1
ENSG00000012048,0,0,0,1
ENSG00000012124,0,0,0,1
ENSG00000012817,1,1,1,0
ENSG00000012983,0,0,0,1
ENSG00000013297,0,0,0,1
ENSG00000013583,0,1,0,0
ENSG00000014123,0,0,0,1
ENSG00000015676,0,0,0,1
ENSG00000020922,0,0,0,1
ENSG00000021355,0,0,0,1
ENSG00000022556,1,1,1,0
ENSG00000023330,0,0,0,1
ENSG00000023697,0,0,0,1
ENSG00000023839,0,0,0,1
ENSG00000023902,0,0,0,1
ENSG00000027697,1,1,0,0
ENSG00000028116,0,0,0,1
ENSG00000029639,1,0,0,0
ENSG00000030066,0,0,0,1
ENSG00000030419,0,0,0,1
ENSG00000033030,0,0,0,1
ENSG00000033050,0,0,0,1
ENSG00000033170,0,0,0,1
ENSG00000034053,0,0,0,1
ENSG00000039319,0,0,0,1
ENSG00000039650,0,0,0,1
ENSG00000040633,0,0,0,1
ENSG00000041982,0,1,0,0
ENSG00000042429,0,0,0,1
ENSG00000042753,0,1,0,0
ENSG00000044090,0,0,0,1
ENSG00000046647,1,1,1,0
ENSG00000046653,0,0,0,1
ENSG00000047346,0,1,0,1
ENSG00000047365,1,0,0,0
ENSG00000047457,0,0,0,1
ENSG00000048140,0,0,0,1
ENSG00000049089,1,0,0,0
ENSG00000049245,0,1,0,1
ENSG00000050767,1,0,0,1
ENSG00000054277,0,1,0,0
ENSG00000055070,0,1,0,0
ENSG00000055211,0,0,0,1
ENSG00000055813,1,0,0,1
ENSG00000056998,0,0,1,0
ENSG00000057252,0,0,0,1
ENSG00000057593,0,0,0,1
ENSG00000058272,0,1,0,0
ENSG00000058404,0,0,0,1
ENSG00000059691,0,1,0,0
ENSG00000059915,0,0,0,1
ENSG00000060237,0,1,0,0
ENSG00000060656,1,0,0,0
ENSG00000061987,0,0,0,1
ENSG00000062582,0,0,0,1
ENSG00000063180,0,0,0,1
ENSG00000063587,0,1,0,0
ENSG00000063854,0,0,0,1
ENSG00000064102,1,0,0,0
ENSG00000064666,1,1,0,0
ENSG00000065243,0,0,0,1
ENSG00000065361,0,0,0,1
ENSG00000065559,0,1,0,0
ENSG00000065809,0,0,0,1
ENSG00000066032,0,0,0,1
ENSG00000066084,0,0,0,1
ENSG00000066117,0,1,0,0
ENSG00000066629,1,1,0,0
ENSG00000066855,0,0,0,1
ENSG00000067048,1,1,1,0
ENSG00000067057,0,0,0,1
ENSG00000067221,0,0,0,1
ENSG00000067225,0,0,0,1
ENSG00000067606,0,0,0,1
ENSG00000067646,1,1,1,0
ENSG00000067840,0,0,0,1
ENSG00000067900,0,0,0,1
ENSG00000067955,0,0,0,1
ENSG00000068097,0,0,0,1
ENSG00000068383,0,0,0,1
ENSG00000068400,0,0,0,1
ENSG00000068438,0,0,0,1
ENSG00000068650,0,1,0,0
ENSG00000068831,0,1,0,1
ENSG00000068976,1,0,0,0
ENSG00000069345,0,1,0,0
ENSG00000069509,1,0,0,0
ENSG00000069702,0,0,0,1
