gene_id	ensemblID	seqname	gene_name	Dir
ENSG00000229807.10	ENSG00000229807	chrX	XIST	-1.0
ENSG00000114374.12	ENSG00000114374	chrY	USP9Y	1.0
ENSG00000183878.15	ENSG00000183878	chrY	UTY	1.0
ENSG00000012817.15	ENSG00000012817	chrY	KDM5D	1.0
ENSG00000067048.16	ENSG00000067048	chrY	DDX3Y	1.0
ENSG00000067646.11	ENSG00000067646	chrY	ZFY	1.0
ENSG00000131002.11	ENSG00000131002	chrY	TXLNGY	1.0
ENSG00000129824.15	ENSG00000129824	chrY	RPS4Y1	1.0
ENSG00000229236.1	ENSG00000229236	chrY	TTTY10	1.0
ENSG00000233864.7	ENSG00000233864	chrY	TTTY15	1.0
ENSG00000198692.9	ENSG00000198692	chrY	EIF1AY	1.0
ENSG00000165246.12	ENSG00000165246	chrY	NLGN4Y	1.0
ENSG00000206159.10	ENSG00000206159	chrY	GYG2P1	1.0
ENSG00000154620.5	ENSG00000154620	chrY	TMSB4Y	1.0
ENSG00000226555.1	ENSG00000226555	chrY	AGKP1	1.0
ENSG00000241859.6	ENSG00000241859	chrY	ANOS2P	1.0
ENSG00000176728.7	ENSG00000176728	chrY	TTTY14	1.0
ENSG00000260197.1	ENSG00000260197	chrY	RP11-424G14.1	1.0
ENSG00000267793.1	ENSG00000267793	chrY	RP11-576C2.1	1.0
ENSG00000099725.14	ENSG00000099725	chrY	PRKY	1.0
ENSG00000231535.5	ENSG00000231535	chrY	LINC00278	1.0
ENSG00000232226.2	ENSG00000232226	chrY	ARSFP1	1.0
ENSG00000005889.15	ENSG00000005889	chrX	ZFX	-1.0
ENSG00000099715.14	ENSG00000099715	chrY	PCDH11Y	1.0
ENSG00000147050.14	ENSG00000147050	chrX	KDM6A	-1.0
ENSG00000126012.11	ENSG00000126012	chrX	KDM5C	-1.0
ENSG00000169953.11	ENSG00000169953	chrY	HSFY2	1.0
ENSG00000130021.13	ENSG00000130021	chrX	PUDP	-1.0
ENSG00000006757.11	ENSG00000006757	chrX	PNPLA4	-1.0
ENSG00000215301.9	ENSG00000215301	chrX	DDX3X	-1.0
ENSG00000229238.3	ENSG00000229238	chrY	PPP1R12BP1	1.0
ENSG00000225470.6	ENSG00000225470	chrX	JPX	-1.0
ENSG00000101846.6	ENSG00000101846	chrX	STS	-1.0
ENSG00000146938.14	ENSG00000146938	chrX	NLGN4X	-1.0
ENSG00000185275.6	ENSG00000185275	chrY	CD24P4	1.0
ENSG00000130741.10	ENSG00000130741	chrX	EIF2S3	-1.0
ENSG00000169895.5	ENSG00000169895	chrX	SYAP1	-1.0
ENSG00000198034.10	ENSG00000198034	chrX	RPS4X	-1.0
ENSG00000124486.12	ENSG00000124486	chrX	USP9X	-1.0
ENSG00000233984.1	ENSG00000233984	chrX	RPSAP14	-1.0
ENSG00000205611.4	ENSG00000205611	chr20	LINC01597	1.0
ENSG00000169249.12	ENSG00000169249	chrX	ZRSR2	-1.0
ENSG00000283443.1	ENSG00000283443	chr20	RP11-462H3.2	1.0
ENSG00000072501.17	ENSG00000072501	chrX	SMC1A	-1.0
ENSG00000149531.15	ENSG00000149531	chr20	FRG1BP	1.0
ENSG00000086712.12	ENSG00000086712	chrX	TXLNG	-1.0
ENSG00000282826.1	ENSG00000282826	chr20	FRG1CP	1.0
ENSG00000130985.16	ENSG00000130985	chrX	UBA1	-1.0
ENSG00000258484.3	ENSG00000258484	chr15	SPESP1	1.0
ENSG00000080007.7	ENSG00000080007	chr6	DDX43	1.0
ENSG00000241532.1	ENSG00000241532	chr3	AGGF1P3	-1.0
ENSG00000180574.3	ENSG00000180574	chr12	EIF2S3L	-1.0
ENSG00000255346.9	ENSG00000255346	chr15	NOX5	1.0
ENSG00000182378.13_PAR_Y	ENSG00000182378	chrY	PLCXD1	1.0
ENSG00000172460.14	ENSG00000172460	chr16	PRSS30P	-1.0
ENSG00000186312.10	ENSG00000186312	chrX	CA5BP1	-1.0
ENSG00000046647.13	ENSG00000046647	chrX	GEMIN8	-1.0
ENSG00000273851.1	ENSG00000273851	chr15	RP11-809H16.3	1.0
ENSG00000228906.1	ENSG00000228906	chrX	RP13-216E22.4	-1.0
ENSG00000277112.3	ENSG00000277112	chr20	RP11-755J8.1	1.0
ENSG00000226581.1	ENSG00000226581	chr7	RP11-340I6.8	-1.0
ENSG00000189134.3	ENSG00000189134	chr6	NKAPL	1.0
ENSG00000214652.5	ENSG00000214652	chr7	ZNF727	-1.0
ENSG00000267265.5	ENSG00000267265	chr19	CTC-550B14.7	-1.0
ENSG00000182912.6	ENSG00000182912	chr21	TSPEAR-AS2	-1.0
ENSG00000224975.1	ENSG00000224975	chrX	INE1	-1.0
ENSG00000204179.10	ENSG00000204179	chr10	PTPN20	1.0
ENSG00000234449.2	ENSG00000234449	chrX	RP11-706O15.3	-1.0
ENSG00000022556.15	ENSG00000022556	chr19	NLRP2	-1.0
ENSG00000254221.2	ENSG00000254221	chr5	PCDHGB1	1.0
ENSG00000280422.1	ENSG00000280422	chr3	RP11-155D18.13	-1.0
ENSG00000002586.18_PAR_Y	ENSG00000002586	chrY	CD99	1.0
ENSG00000237268.2	ENSG00000237268	chr7	RP13-492C18.2	-1.0
