Modules	Rsq	Pvalue	FDR	Tissue
MEblack	0.00522807371188844	0.15146796951645	0.538552780502933	Hippocampus
MEblue	0.00411473763481509	0.203319439967915	0.568446113969613	Hippocampus
MEbrown	4.33261509128564e-07	0.989595460568465	0.989595460568465	Hippocampus
MEcyan	0.000445904296035964	0.675656382517466	0.831577086175343	Hippocampus
MEdarkgreen	0.00148597183566477	0.444874152363543	0.699301574495811	Hippocampus
MEdarkgrey	0.0129949715712413	0.0234620292748375	0.475358195400283	Hippocampus
MEdarkorange	0.00335146400073787	0.251012360964672	0.617876580836115	Hippocampus
MEdarkred	0.00139656552549976	0.458916658262876	0.699301574495811	Hippocampus
MEdarkturquoise	0.00655286670157027	0.108189666511772	0.538552780502933	Hippocampus
MEgreen	0.0119685418093402	0.0297098872125177	0.475358195400283	Hippocampus
MEgreenyellow	0.000488080371395466	0.661572972765352	0.831577086175343	Hippocampus
MEgrey	0.00554622852188789	0.139546127511023	0.538552780502933	Hippocampus
MEgrey60	0.00725470224713614	0.0909287248327726	0.538552780502933	Hippocampus
MElightcyan	0.00117345065509637	0.497226871568202	0.723239085917385	Hippocampus
MElightgreen	3.63805106570236e-05	0.90488132225511	0.934071042327855	Hippocampus
MElightyellow	0.00211498757102297	0.361979893572254	0.693956721242281	Hippocampus
MEmagenta	9.53243284978041e-05	0.846619291076036	0.934071042327855	Hippocampus
MEmidnightblue	0.00010440658733437	0.839573136598438	0.934071042327855	Hippocampus
MEorange	0.00187810340126402	0.390350655698783	0.693956721242281	Hippocampus
MEpaleturquoise	0.000935876623677899	0.544368007215898	0.757381575256902	Hippocampus
MEpink	0.0016438061710785	0.421645109322154	0.699301574495811	Hippocampus
MEpurple	0.0021794245893681	0.354759731016627	0.693956721242281	Hippocampus
MEred	0.00056301327896838	0.638244728481682	0.831577086175343	Hippocampus
MEroyalblue	0.00670288303107547	0.104220437416826	0.538552780502933	Hippocampus
MEsaddlebrown	0.00189810740909027	0.387836013431848	0.693956721242281	Hippocampus
MEsalmon	0.00614807868931931	0.119751119854601	0.538552780502933	Hippocampus
MEskyblue	0.00247660618986033	0.323864838544535	0.693956721242281	Hippocampus
MEsteelblue	0.00019743367290061	0.780713767259809	0.92529039082644	Hippocampus
MEtan	0.00764362635831732	0.0826679525844536	0.538552780502933	Hippocampus
MEturquoise	0.00415706511530054	0.201005849477387	0.568446113969613	Hippocampus
MEwhite	4.76566489023096e-05	0.89121357173293	0.934071042327855	Hippocampus
MEyellow	0.00394070503439346	0.213167292738605	0.568446113969613	Hippocampus
