ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
C0041408	Turner Syndrome	9/57	124/15351	7.08783580334444e-10	7.73991669725213e-07	6.57303509762785e-07	RPS4X/RPS4Y1/KDM6A/UTY/XIST/ZFX/ZFY/USP9X/SMC1A	9
C0242526	Gonadal Dysgenesis, 45,X	5/57	17/15351	3.52785097234674e-09	1.92620663090132e-06	1.6358087929671e-06	RPS4X/KDM6A/XIST/ZFY/SMC1A	5
C0432475	XX males	5/57	24/15351	2.37572679805009e-08	8.64764554490232e-06	7.34391336520045e-06	STS/CD99/PRKY/XIST/ZFY	5
C0432470	46, XY female	4/57	20/15351	7.91627595750229e-07	0.000216114333639813	0.000183532608383145	STS/CD99/PRKY/ZFY	4
C1845977	X- linked recessive	7/57	157/15351	1.76239044469932e-06	0.000384906073122332	0.000326877048795811	STS/DDX3X/EIF2S3/UBA1/USP9X/KDM5C/SMC1A	7
C1136249	Mental Retardation, X-Linked	6/57	124/15351	6.37394907188389e-06	0.00116005873108287	0.000985166514443808	STS/XIST/ZNF41/USP9X/KDM5C/NLGN4X	6
C0152421	Macrotia	6/57	183/15351	5.79320286048046e-05	0.00903739646234952	0.00767490484223051	DDX3X/EIF2S3/UBA1/KDM6A/KDM5C/SMC1A	6
C1847879	X-linked dominant inheritance	4/57	61/15351	7.61424806767535e-05	0.0103934486123768	0.00882651651002892	DDX3X/KDM6A/USP9X/SMC1A	4
C0018055	Gonadal Dysgenesis, Mixed	2/57	6/15351	0.000201259230816693	0.0219775080051829	0.0186641455104744	ZFY/DDX3Y	2
C3266843	47, XYY syndrome	2/57	6/15351	0.000201259230816693	0.0219775080051829	0.0186641455104744	RPS4Y1/NLGN4Y	2
C0796004	Kabuki make-up syndrome	3/57	32/15351	0.000223029625480943	0.0221407591841081	0.0188027846936565	KDM6A/UTY/XIST	3
C0025362	Mental Retardation	8/57	453/15351	0.00025107271867448	0.0221966772110605	0.0188502724339158	STS/XIST/ZNF41/USP9X/KDM5C/SMC1A/NLGN4Y/NLGN4X	8
C0426886	Tapering fingers (finding)	4/57	84/15351	0.000264246157274529	0.0221966772110605	0.0188502724339158	EIF2S3/USP9X/KDM5C/SMC1A	4
C0856975	Autistic behavior	6/57	254/15351	0.000346346954940208	0.0270150624853362	0.0229422306242349	DDX3X/RPS4Y1/ZNF41/USP9X/NLGN4Y/NLGN4X	6
C2936694	Swyer Syndrome	2/57	9/15351	0.000479573117334163	0.0322975826218582	0.0274283499998622	ZFY/DDX3Y	2
C1865014	Long philtrum	6/57	271/15351	0.000488584398978024	0.0322975826218582	0.0274283499998622	DDX3X/EIF2S3/UBA1/ZNF41/USP9X/SMC1A	6
C2931498	Mental Retardation, X-Linked 1	3/57	42/15351	0.000502801194662628	0.0322975826218582	0.0274283499998622	STS/ZNF41/USP9X	3
C0004509	Azoospermia	5/57	181/15351	0.00054968829155967	0.03334775635462	0.0283201979452672	STS/KDM5D/USP9Y/DDX3Y/EIF1AY	5
C0036857	Severe intellectual disability	7/57	414/15351	0.000815067582925206	0.0468449368712803	0.0397825230225544	DDX3X/EIF2S3/XIST/ZNF41/USP9X/KDM5C/SMC1A	7
C0008445	Chondrodysplasia Punctata	2/57	12/15351	0.000872944035628751	0.0476627443453298	0.0404770365994174	STS/CD99	2
C0426429	Broad nasal tip	4/57	120/15351	0.00101899588225738	0.0498970128717699	0.0423744634085495	EIF2S3/KDM6A/ZNF41/USP9X	4
C2720163	Placental Steroid Sulfatase Deficiency	2/57	13/15351	0.00102920283233644	0.0498970128717699	0.0423744634085495	STS/PUDP	2
C0022735	Klinefelter Syndrome	4/57	121/15351	0.00105094441030284	0.0498970128717699	0.0423744634085495	STS/KDM6A/XIST/KDM5C	4
