query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.00160793087209112	2888	181	55	0.303867403314917	0.0190443213296399	GO:0051239	GO:BP	regulation of multicellular organismal process	18123	15743	GO:0032501|GO:0050789
query_1	TRUE	0.0113238311599485	632	181	20	0.110497237569061	0.0316455696202532	GO:0003013	GO:BP	circulatory system process	18123	1598	GO:0003008
query_1	TRUE	0.0189789565785687	2886	181	52	0.287292817679558	0.018018018018018	GO:0035556	GO:BP	intracellular signal transduction	18123	10495	GO:0007165
query_1	TRUE	0.0304255782880887	854	181	23	0.12707182320442	0.0269320843091335	GO:0001816	GO:BP	cytokine production	18123	594	GO:0010467|GO:0032501
query_1	TRUE	0.0357943224504085	1383	181	31	0.171270718232044	0.0224150397686189	GO:0043085	GO:BP	positive regulation of catalytic activity	18123	12169	GO:0044093|GO:0050790
query_1	TRUE	0.0373769433721067	3443	181	58	0.320441988950276	0.0168457740342724	GO:0070887	GO:BP	cellular response to chemical stimulus	18123	19167	GO:0042221|GO:0051716
query_1	TRUE	0.017166294180726	250	191	11	0.0575916230366492	0.044	GO:0009925	GO:CC	basal plasma membrane	18964	788	GO:0045178|GO:0098590
query_1	TRUE	0.0176071761139302	9829	191	126	0.659685863874346	0.0128192084647472	GO:0016020	GO:CC	membrane	18964	850	GO:0110165
query_1	TRUE	0.0232748685866493	6178	191	88	0.460732984293194	0.0142440919391389	GO:0071944	GO:CC	cell periphery	18964	3132	GO:0110165
query_1	TRUE	0.0320240737987158	268	191	11	0.0575916230366492	0.041044776119403	GO:0045178	GO:CC	basal part of cell	18964	2444	GO:0110165
query_1	TRUE	0.032255493439956	5680	191	82	0.429319371727749	0.0144366197183099	GO:0005886	GO:CC	plasma membrane	18964	515	GO:0016020|GO:0071944
query_1	TRUE	0.0330124584348057	141	191	8	0.0418848167539267	0.0567375886524823	GO:0042383	GO:CC	sarcolemma	18964	2025	GO:0005886
query_1	TRUE	0.0349559679196395	225	191	10	0.0523560209424084	0.0444444444444444	GO:0016323	GO:CC	basolateral plasma membrane	18964	862	GO:0009925|GO:0098590
query_1	TRUE	0.0273736414290084	456	186	15	0.0806451612903226	0.0328947368421053	GO:0005096	GO:MF	GTPase activator activity	18679	1605	GO:0008047|GO:0030695
query_1	TRUE	0.0388450984125005	526	186	16	0.0860215053763441	0.0304182509505703	GO:0060589	GO:MF	nucleoside-triphosphatase regulator activity	18679	9603	GO:0030234
query_1	TRUE	0.0394390801134687	9	186	3	0.0161290322580645	0.333333333333333	GO:0022889	GO:MF	serine transmembrane transporter activity	18679	4711	GO:0008324|GO:0008514|GO:0015175
