query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.0497117992748057	3	18	2	0.111111111111111	0.666666666666667	CORUM:6907	CORUM	CTNNB1-FERMT2-TCF7L2 complex	3627	2454	CORUM:0000000
query_1	TRUE	0.0497117992748057	3	18	2	0.111111111111111	0.666666666666667	CORUM:6908	CORUM	CTNNB1-FERMT2-YBX1 complex	3627	2455	CORUM:0000000
query_1	TRUE	0.0417963728443807	178	85	6	0.0705882352941176	0.0337078651685393	GO:0019897	GO:CC	extrinsic component of plasma membrane	18964	983	GO:0005886|GO:0019898
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665230	REAC	Drug resistance in ERBB2 KD mutants	10622	735	REAC:R-HSA-1227990
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665737	REAC	Drug resistance in ERBB2 TMD/JMD mutants	10622	736	REAC:R-HSA-1227990
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9652282	REAC	Drug-mediated inhibition of ERBB2 signaling	10622	740	REAC:R-HSA-1227986
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665250	REAC	Resistance of ERBB2 KD mutants to AEE788	10622	1885	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665249	REAC	Resistance of ERBB2 KD mutants to afatinib	10622	1886	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665251	REAC	Resistance of ERBB2 KD mutants to lapatinib	10622	1887	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665246	REAC	Resistance of ERBB2 KD mutants to neratinib	10622	1888	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665247	REAC	Resistance of ERBB2 KD mutants to osimertinib	10622	1889	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665244	REAC	Resistance of ERBB2 KD mutants to sapitinib	10622	1890	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665245	REAC	Resistance of ERBB2 KD mutants to tesevatinib	10622	1891	REAC:R-HSA-9665230
query_1	TRUE	0.049814011413587	4	50	2	0.04	0.5	REAC:R-HSA-9665233	REAC	Resistance of ERBB2 KD mutants to trastuzumab	10622	1892	REAC:R-HSA-9665230
