gene_id,chr,gene_name,logFC,adj.P.Val
ENSG00000174796.12,4,THAP6,-0.142817150112442,0.0152302354674134
ENSG00000220804.8,2,LINC01881,-0.224479048235869,0.0152302354674134
ENSG00000164620.8,5,RELL2,0.251648933460999,0.0152302354674134
ENSG00000152558.14,11,TMEM123,-0.227383551910653,0.0152302354674134
ENSG00000128915.11,15,ICE2,-0.153500387797137,0.0152302354674134
ENSG00000169379.15,3,ARL13B,-0.144490375880913,0.0152302354674134
ENSG00000163428.3,3,LRRC58,-0.164784750306384,0.0152302354674134
ENSG00000155367.15,1,PPM1J,0.228776742487089,0.0152302354674134
ENSG00000198873.11,10,GRK5,0.174952836667101,0.0152302354674134
ENSG00000057593.13,13,F7,0.28459144760138,0.0152302354674134
ENSG00000172817.3,8,CYP7B1,-0.194205560795647,0.0152302354674134
ENSG00000198818.9,6,SFT2D1,-0.152785179345215,0.0152302354674134
ENSG00000188404.8,1,SELL,-0.473004355108499,0.0152302354674134
ENSG00000122435.9,1,TRMT13,-0.195373301011951,0.0152302354674134
ENSG00000034053.14,15,APBA2,0.151369857761891,0.0152302354674134
ENSG00000070610.14,9,GBA2,0.140537202053357,0.0152302354674134
ENSG00000134758.13,18,RNF138,-0.142423227582046,0.0164218362825522
ENSG00000117151.12,1,CTBS,-0.204517404445379,0.0177151446252646
ENSG00000143815.14,1,LBR,-0.17480615347241,0.0177151446252646
ENSG00000134851.12,4,TMEM165,-0.187327193877225,0.0177151446252646
ENSG00000104375.15,8,STK3,-0.221498715677923,0.0177151446252646
ENSG00000137269.14,6,LRRC1,-0.261565189694053,0.0177151446252646
ENSG00000105855.9,7,ITGB8,-0.230234108346389,0.0177151446252646
ENSG00000143093.14,1,STRIP1,0.112364227401791,0.0177151446252646
ENSG00000132563.15,5,REEP2,0.167916985199247,0.0177151446252646
ENSG00000258708.1,14,SLC25A21-AS1,-0.246852088522661,0.0177151446252646
ENSG00000138646.8,4,HERC5,-0.219817953366353,0.0193610018874874
ENSG00000267858.5,19,MZF1-AS1,0.233147361047513,0.0193610018874874
ENSG00000165476.13,10,REEP3,-0.266768443585438,0.0193610018874874
ENSG00000067955.13,16,CBFB,-0.203705433853984,0.0193610018874874
ENSG00000213753.10,19,CENPBD1P1,0.125989921746478,0.0193610018874874
ENSG00000273015.2,12,,-0.166006237327645,0.0193610018874874
ENSG00000145029.13,3,NICN1,0.156608202263945,0.0193610018874874
ENSG00000139323.13,12,POC1B,-0.165897305877012,0.0193610018874874
ENSG00000115226.9,2,FNDC4,0.189415687460578,0.0198340066554669
ENSG00000228624.7,6,HDAC2-AS2,-0.226894248676699,0.0198340066554669
ENSG00000147874.10,9,HAUS6,-0.104814880302902,0.0215999675755265
ENSG00000068831.18,11,RASGRP2,0.196176929742912,0.0215999675755265
ENSG00000162819.11,1,BROX,-0.111254303272576,0.0215999675755265
ENSG00000170802.15,2,FOXN2,-0.189784713306772,0.0220692718423896
ENSG00000100422.13,22,CERK,0.105625491512924,0.0220692718423896
ENSG00000067057.16,10,PFKP,0.185928019364556,0.0220692718423896
ENSG00000163040.14,2,CCDC74A,0.157187887054828,0.0220692718423896
ENSG00000165566.12,13,AMER2,-0.185019223586173,0.0220692718423896
ENSG00000185697.16,8,MYBL1,-0.164667975559917,0.0220692718423896
ENSG00000198964.13,10,SGMS1,-0.10072676816393,0.0220692718423896
ENSG00000166619.12,20,BLCAP,0.124279164545545,0.0220692718423896
ENSG00000198252.11,14,STYX,-0.143210162259918,0.0220692718423896
ENSG00000168546.10,8,GFRA2,0.158683845971112,0.0220692718423896
ENSG00000272449.1,1,,0.300730619937655,0.0220692718423896
ENSG00000077080.9,7,ACTL6B,0.219010989125479,0.0220692718423896
ENSG00000175595.14,16,ERCC4,-0.0957245036362066,0.0220692718423896
ENSG00000128482.15,17,RNF112,0.171903211371629,0.0220692718423896
ENSG00000197056.9,1,ZMYM1,-0.135000683213054,0.0220692718423896
ENSG00000166402.8,11,TUB,0.122210683301681,0.0220769410472024
ENSG00000030419.16,2,IKZF2,-0.250779946258246,0.0220769410472024
ENSG00000007264.14,19,MATK,0.219903780880956,0.0220769410472024
ENSG00000185591.9,12,SP1,-0.159669354881069,0.0229343531678543
ENSG00000273374.1,3,,-0.347623114217368,0.0243029599401162
ENSG00000187699.10,2,C2orf88,-0.257238820732577,0.0243029599401162
ENSG00000103502.13,16,CDIPT,0.136139290142424,0.0243029599401162
ENSG00000154080.13,18,CHST9,-0.23805953963878,0.0259500352072731
ENSG00000136280.15,7,CCM2,0.148222626194939,0.0268799872217579
ENSG00000103479.15,16,RBL2,-0.0873967313709999,0.0268799872217579
ENSG00000184743.12,11,ATL3,-0.168037172599707,0.0268799872217579
ENSG00000166886.12,12,NAB2,0.16031891449433,0.0268799872217579
ENSG00000115561.15,2,CHMP3,0.132879544015535,0.0268799872217579
ENSG00000110786.17,11,PTPN5,0.159279027152977,0.0268799872217579
ENSG00000163840.9,3,DTX3L,-0.261867827425671,0.0268799872217579
ENSG00000172020.12,3,GAP43,0.266194362823988,0.0268799872217579
ENSG00000181804.14,3,SLC9A9,-0.157167184128393,0.0268799872217579
ENSG00000183186.7,19,C2CD4C,0.240980369533836,0.0268799872217579
ENSG00000234690.6,2,EPCAM-DT,-0.325775876372323,0.0268799872217579
ENSG00000213626.11,2,LBH,0.274748519585639,0.0273205352124532
ENSG00000090565.15,16,RAB11FIP3,0.125427450249535,0.0273205352124532
ENSG00000112531.16,6,QKI,-0.200744618012469,0.0273375615082028
ENSG00000109458.8,4,GAB1,-0.236929166228651,0.0283712485816993
