gene_id,Chrom,Symbol,logFC,adj.P.Val
ENSG00000205611.4,20,LINC01597,0.977531973157062,3.6259627889246204e-25
ENSG00000255346.10,15,NOX5,0.964489489164277,8.867593803772059e-22
ENSG00000283443.1,20,AC018688.1,0.879611709098494,8.23458975686732e-18
ENSG00000258484.4,15,SPESP1,0.701389681805781,3.00309140037807e-17
ENSG00000149531.15,20,FRG1BP,0.528819098168533,6.56162234481465e-13
ENSG00000235531.9,8,MSC-AS1,-0.33844104827135,7.2131005445624094e-12
ENSG00000214652.6,7,ZNF727,-0.35916946719091,3.4720991710902303e-10
ENSG00000237268.2,7,AC092447.7,-0.872197299028546,1.18787494554596e-08
ENSG00000277112.3,20,ANKRD20A21P,0.593170966288776,1.25397717244974e-07
ENSG00000095932.6,19,SMIM24,-0.578952871436426,2.38902904985854e-07
ENSG00000212719.11,17,C17orf51,0.134222096690443,2.87893335491438e-07
ENSG00000113209.8,5,PCDHB5,-0.161218617996059,2.82588182826629e-06
ENSG00000225683.5,6,PACRG-AS3,0.258570832021244,3.49915224329223e-06
ENSG00000172817.4,8,CYP7B1,-0.173518168872015,5.77252755018451e-06
ENSG00000139865.16,14,TTC6,-0.335125590984331,1.12723345491115e-05
ENSG00000119547.6,18,ONECUT2,-0.293821378295254,1.1793590142442e-05
ENSG00000236816.2,9,ANKRD20A7P,0.455771191065205,1.63243011536868e-05
ENSG00000282826.2,20,FRG1CP,0.267244797502763,4.34791308687175e-05
ENSG00000276128.1,9,AL591441.1,0.365734467588599,5.2081039426903e-05
ENSG00000196109.8,19,ZNF676,-0.27334287028874,5.39966115157157e-05
ENSG00000102699.6,13,PARP4,-0.106511662109312,5.81279492835991e-05
ENSG00000198075.10,2,SULT1C4,-0.217383869153687,6.45585675214111e-05
ENSG00000282989.1,8,AP001206.1,0.303738184387831,6.45585675214111e-05
ENSG00000170165.5,9,CR848007.1,0.403429705237265,0.0001561711873844
ENSG00000112378.12,6,PERP,-0.209129612497424,0.0001873640755067
ENSG00000242082.2,22,SLC5A4-AS1,-0.220717471212985,0.000300620934564
ENSG00000113396.13,5,SLC27A6,-0.4629742231334,0.0003061019284411
ENSG00000167754.13,19,KLK5,-0.38527399086616,0.0003802610113649
ENSG00000241532.1,3,AGGF1P3,-0.299582626543678,0.0006536390359297
ENSG00000283445.1,1,AL136985.3,0.344300734757402,0.0007146299238161
ENSG00000164749.11,8,HNF4G,-0.238634550343373,0.0008007770068605
ENSG00000082175.14,11,PGR,-0.240642299161221,0.0008073368809384
ENSG00000185477.5,4,GPRIN3,-0.138907116654173,0.0008545310789802
