gene_id,Chrom,Symbol,logFC,adj.P.Val
ENSG00000095932.6,19,SMIM24,-0.813149199922519,9.01415651505211e-15
ENSG00000149531.15,20,FRG1BP,0.739522274856992,6.8592965228460795e-12
ENSG00000283443.1,20,AC018688.1,1.14997927123359,2.3579155790219e-09
ENSG00000205611.4,20,LINC01597,1.01529271030852,8.23958686519427e-09
ENSG00000258484.4,15,SPESP1,0.776058381044613,1.22187354553809e-08
ENSG00000282826.2,20,FRG1CP,0.420662877112452,5.85236276300171e-07
ENSG00000255346.10,15,NOX5,0.842930488255457,1.60320997664364e-05
ENSG00000233532.6,13,LINC00460,0.352247597282232,0.0003215408619663
ENSG00000109610.6,4,SOD3,-0.41132292319854,0.0005056233834216
ENSG00000136866.13,9,ZFP37,-0.171399139697972,0.0005927722548897
ENSG00000243422.2,3,RPL23AP49,-0.258162501884197,0.0006532751437404
ENSG00000280422.1,3,AC115284.2,-0.251630830860567,0.0007158138549134
ENSG00000233593.9,1,LINC02609,-0.139801856699185,0.0017827481777588
ENSG00000240859.2,7,AC093627.4,0.308420322214205,0.0018388490122498
ENSG00000237172.4,16,B3GNT9,-0.188188295184134,0.0019119397306621
ENSG00000237268.2,7,AC092447.7,-0.916322734845536,0.0020401173899132
ENSG00000241532.1,3,AGGF1P3,-0.435378491510639,0.0020401173899132
ENSG00000112378.12,6,PERP,-0.215343314938833,0.0020401173899132
ENSG00000139865.16,14,TTC6,-0.391803161893488,0.0021211680166436
ENSG00000177599.13,19,ZNF491,-0.154251312606803,0.0021211680166436
ENSG00000084207.16,11,GSTP1,-0.136856797232571,0.0023272847510637
ENSG00000101160.14,20,CTSZ,-0.152079165580672,0.0025531793328747
ENSG00000163749.17,4,CCDC158,0.200732538995983,0.0030597562609534
ENSG00000182636.6,15,NDN,-0.12315256744039,0.0033281235591737
ENSG00000163220.11,1,S100A9,-0.907755303859672,0.0035515669072453
ENSG00000124613.8,6,ZNF391,0.138990119954187,0.0053241857165403
ENSG00000064961.19,19,HMG20B,-0.125658891662969,0.0066345377010461
ENSG00000095209.12,9,TMEM38B,-0.1391181894819,0.0073913908225963
ENSG00000148935.11,11,GAS2,-0.159268710194523,0.0093632139143783
ENSG00000165606.8,10,DRGX,-0.387791339092978,0.0093632139143783
ENSG00000125656.10,19,CLPP,-0.124705559171544,0.0107657942642031
ENSG00000124120.11,20,TTPAL,0.0934508297499261,0.0120751046040719
ENSG00000204642.14,6,HLA-F,-0.25102045413014,0.0126481279730844
ENSG00000198755.11,6,RPL10A,-0.103072325497333,0.0126659676953063
ENSG00000179403.12,1,VWA1,-0.154754426837404,0.0155839616295448
ENSG00000229089.8,2,ANKRD20A8P,-0.356200651468831,0.0157728698319369
ENSG00000230487.8,7,PSMG3-AS1,-0.171992477622564,0.0157728698319369
ENSG00000237238.3,9,BMS1P10,-0.665071942222559,0.0157728698319369
ENSG00000198832.10,22,SELENOM,-0.12001959209983,0.0172755208454018
ENSG00000247516.7,5,MIR4458HG,0.239316983496527,0.0178695229895694
ENSG00000170509.12,4,HSD17B13,0.330932329273749,0.0182085469350697
ENSG00000232520.1,2,AC012507.2,0.2450519617576,0.0194296122564434
ENSG00000279425.1,19,AC092279.2,-0.165657669459715,0.0194296122564434
ENSG00000168803.15,15,ADAL,0.137165300307488,0.0208855448329445
ENSG00000286015.1,1,CR589904.2,0.337404670973705,0.0211257259277402
ENSG00000205309.14,17,NT5M,-0.123478508892222,0.0211257259277402
ENSG00000161513.12,17,FDXR,-0.168326588029231,0.0211257259277402
ENSG00000105928.15,7,GSDME,-0.131601359241552,0.0212884257529021
ENSG00000189134.3,6,NKAPL,0.192049285451529,0.0214695777176106
ENSG00000277112.3,20,ANKRD20A21P,0.659373380094985,0.021631781209077
ENSG00000160808.9,3,MYL3,-0.267095720791481,0.0221247662786912
ENSG00000123453.18,9,SARDH,-0.230406625300071,0.0241930494514523
ENSG00000167996.16,11,FTH1,-0.0990942507778856,0.0243218740684481
ENSG00000267470.5,19,ZNF571-AS1,-0.189637595563798,0.0243218740684481
ENSG00000099785.10,19,MARCH2,-0.111263559260974,0.0243218740684481
ENSG00000204392.11,6,LSM2,-0.102832507690728,0.0243218740684481
ENSG00000073146.16,22,MOV10L1,-0.253804036785183,0.0243218740684481
ENSG00000143546.10,1,S100A8,-0.926613305868256,0.0243218740684481
ENSG00000115556.14,2,PLCD4,0.211695482289369,0.0257599984152766
