"","module"
"TSPAN6|ENSG00000000003.15","brown"
"DPM1|ENSG00000000419.14","midnightblue"
"SCYL3|ENSG00000000457.14","grey"
"C1orf112|ENSG00000000460.17","turquoise"
"FGR|ENSG00000000938.13","darkred"
"CFH|ENSG00000000971.17","darkred"
"FUCA2|ENSG00000001036.14","turquoise"
"GCLC|ENSG00000001084.13","brown"
"NFYA|ENSG00000001167.15","brown"
"STPG1|ENSG00000001460.18","red"
"NIPAL3|ENSG00000001461.17","turquoise"
"LAS1L|ENSG00000001497.18","brown"
"ENPP4|ENSG00000001561.7","brown"
"SEMA3F|ENSG00000001617.12","darkred"
"CFTR|ENSG00000001626.18","turquoise"
"ANKIB1|ENSG00000001629.10","brown"
"CYP51A1|ENSG00000001630.18","blue"
"KRIT1|ENSG00000001631.17","blue"
"RAD52|ENSG00000002016.18","grey"
"BAD|ENSG00000002330.14","black"
"LAP3|ENSG00000002549.13","brown"
"CD99|ENSG00000002586.20","brown"
"HS3ST1|ENSG00000002587.10","yellow"
"WNT16|ENSG00000002745.13","yellow"
"HECW1|ENSG00000002746.15","yellow"
"MAD1L1|ENSG00000002822.16","blue"
"LASP1|ENSG00000002834.18","black"
"SNX11|ENSG00000002919.15","grey"
"TMEM176A|ENSG00000002933.9","tan"
"M6PR|ENSG00000003056.8","midnightblue"
"KLHL13|ENSG00000003096.15","blue"
"CYP26B1|ENSG00000003137.9","black"
"ICA1|ENSG00000003147.19","yellow"
"DBNDD1|ENSG00000003249.15","black"
"ALS2|ENSG00000003393.16","red"
"CASP10|ENSG00000003400.16","greenyellow"
"CFLAR|ENSG00000003402.21","turquoise"
"TFPI|ENSG00000003436.16","tan"
"NDUFAF7|ENSG00000003509.16","red"
"RBM5|ENSG00000003756.17","brown"
"MTMR7|ENSG00000003987.14","blue"
"SLC7A2|ENSG00000003989.18","darkred"
"ARF5|ENSG00000004059.11","yellow"
"SARM1|ENSG00000004139.14","royalblue"
"POLDIP2|ENSG00000004142.12","grey60"
"PLXND1|ENSG00000004399.13","green"
"AK2|ENSG00000004455.18","turquoise"
"CD38|ENSG00000004468.13","turquoise"
"FKBP4|ENSG00000004478.8","grey"
"KDM1A|ENSG00000004487.18","magenta"
"RBM6|ENSG00000004534.15","blue"
"CAMKK1|ENSG00000004660.15","black"
"RECQL|ENSG00000004700.16","salmon"
"VPS50|ENSG00000004766.17","blue"
"HSPB6|ENSG00000004776.13","grey"
"ARHGAP33|ENSG00000004777.19","cyan"
"NDUFAB1|ENSG00000004779.10","midnightblue"
"PDK4|ENSG00000004799.8","turquoise"
"ZMYND10|ENSG00000004838.14","green"
"ARX|ENSG00000004848.8","darkturquoise"
"SLC25A13|ENSG00000004864.14","turquoise"
"ST7|ENSG00000004866.22","green"
"CDC27|ENSG00000004897.12","magenta"
"SLC4A1|ENSG00000004939.16","grey"
"CALCR|ENSG00000004948.16","grey"
"HCCS|ENSG00000004961.15","blue"
"DVL2|ENSG00000004975.12","royalblue"
"UPF1|ENSG00000005007.13","lightyellow"
"SKAP2|ENSG00000005020.13","blue"
"SLC25A5|ENSG00000005022.6","blue"
"MCUB|ENSG00000005059.16","lightcyan"
"POLR2J|ENSG00000005075.16","blue"
"DHX33|ENSG00000005100.13","orange"
"THSD7A|ENSG00000005108.17","yellow"
"LIG3|ENSG00000005156.12","cyan"
"RPAP3|ENSG00000005175.10","magenta"
"ACSM3|ENSG00000005187.12","grey"
"REXO5|ENSG00000005189.20","yellow"
"CIAPIN1|ENSG00000005194.15","grey60"
"SPPL2B|ENSG00000005206.17","royalblue"
"FAM214B|ENSG00000005238.20","blue"
"COPZ2|ENSG00000005243.10","darkgreen"
"PRKAR2B|ENSG00000005249.13","yellow"
"MSL3|ENSG00000005302.19","blue"
"CREBBP|ENSG00000005339.15","cyan"
"TSPOAP1|ENSG00000005379.17","black"
"MPO|ENSG00000005381.9","grey"
"PON1|ENSG00000005421.9","lightgreen"
"GCFC2|ENSG00000005436.14","grey"
"WDR54|ENSG00000005448.17","grey60"
"CROT|ENSG00000005469.12","blue"
"ABCB4|ENSG00000005471.19","grey"
"KMT2E|ENSG00000005483.23","blue"
"RHBDD2|ENSG00000005486.17","green"
"SOX8|ENSG00000005513.10","turquoise"
"IBTK|ENSG00000005700.15","blue"
"ZNF195|ENSG00000005801.18","grey"
"MYCBP2|ENSG00000005810.20","red"
"FBXL3|ENSG00000005812.11","salmon"
"ITGAL|ENSG00000005844.19","greenyellow"
"PDK2|ENSG00000005882.12","black"
"ITGA3|ENSG00000005884.18","black"
"ZFX|ENSG00000005889.16","brown"
"LAMP2|ENSG00000005893.16","turquoise"
"ITGA2B|ENSG00000005961.19","cyan"
"ASB4|ENSG00000005981.13","lightgreen"
"GDE1|ENSG00000006007.12","salmon"
"REX1BD|ENSG00000006015.18","grey60"
"CRLF1|ENSG00000006016.12","black"
"OSBPL7|ENSG00000006025.12","royalblue"
"TMEM98|ENSG00000006042.12","turquoise"
"YBX2|ENSG00000006047.13","black"
"MAP3K14|ENSG00000006062.18","grey"
"ABCC8|ENSG00000006071.16","cyan"
"CACNG3|ENSG00000006116.4","purple"
"TMEM132A|ENSG00000006118.15","black"
"AP2B1|ENSG00000006125.18","orange"
"TAC1|ENSG00000006128.12","magenta"
"ZNF263|ENSG00000006194.10","midnightblue"
"CX3CL1|ENSG00000006210.7","black"
"SPATA20|ENSG00000006282.21","black"
"CACNA1G|ENSG00000006283.18","black"
"TNFRSF12A|ENSG00000006327.14","darkred"
"DLX6|ENSG00000006377.11","yellow"
"MAP3K9|ENSG00000006432.16","purple"
"RALA|ENSG00000006451.8","blue"
"BAIAP2L1|ENSG00000006453.14","grey"
"KDM7A|ENSG00000006459.11","blue"
"ETV1|ENSG00000006468.14","blue"
"AGK|ENSG00000006530.18","blue"
"ALDH3B1|ENSG00000006534.17","turquoise"
"TTC22|ENSG00000006555.11","grey"
"PHTF2|ENSG00000006576.17","blue"
"FARP2|ENSG00000006607.14","turquoise"
"USH1C|ENSG00000006611.17","turquoise"
"GGCT|ENSG00000006625.18","yellow"
"DBF4|ENSG00000006634.8","blue"
"TBXA2R|ENSG00000006638.13","grey"
"IFRD1|ENSG00000006652.15","brown"
"COX10|ENSG00000006695.12","purple"
"GTF2IRD1|ENSG00000006704.11","blue"
"PAF1|ENSG00000006712.15","turquoise"
"VPS41|ENSG00000006715.16","blue"
"ARHGAP44|ENSG00000006740.18","purple"
"ELAC2|ENSG00000006744.19","grey"
"SCIN|ENSG00000006747.15","greenyellow"
"ARSD|ENSG00000006756.16","brown"
"PNPLA4|ENSG00000006757.12","blue"
"ADIPOR2|ENSG00000006831.10","turquoise"
"CDKL3|ENSG00000006837.12","brown"
"UPP2|ENSG00000007001.13","grey"
"MARK4|ENSG00000007047.16","cyan"
