"","module"
"ENSG00000227232.5","lightyellow"
"ENSG00000278267.1","lightyellow"
"ENSG00000279457.3","lightyellow"
"ENSG00000228463.9","grey"
"ENSG00000236679.2","grey"
"ENSG00000237094.11","grey"
"ENSG00000230021.8","grey"
"ENSG00000225972.1","grey"
"ENSG00000225630.1","grey"
"ENSG00000237973.1","grey"
"ENSG00000229344.1","grey"
"ENSG00000248527.1","turquoise"
"ENSG00000198744.5","grey"
"ENSG00000228327.3","lightyellow"
"ENSG00000237491.8","grey"
"ENSG00000230092.7","yellow"
"ENSG00000228794.8","darkorange"
"ENSG00000225880.5","grey"
"ENSG00000230699.2","grey"
"ENSG00000223764.2","midnightblue"
"ENSG00000187634.11","midnightblue"
"ENSG00000188976.10","turquoise"
"ENSG00000187961.13","red"
"ENSG00000272512.1","lightyellow"
"ENSG00000188290.10","grey"
"ENSG00000187608.8","grey"
"ENSG00000188157.13","red"
"ENSG00000217801.9","green"
"ENSG00000131591.17","red"
"ENSG00000162571.13","pink"
"ENSG00000186827.10","turquoise"
"ENSG00000078808.16","red"
"ENSG00000176022.4","turquoise"
"ENSG00000160087.20","turquoise"
"ENSG00000230415.1","red"
"ENSG00000162572.19","red"
"ENSG00000131584.18","turquoise"
"ENSG00000169972.11","red"
"ENSG00000127054.19","red"
"ENSG00000240731.1","grey"
"ENSG00000224051.6","red"
"ENSG00000107404.18","red"
"ENSG00000162576.16","saddlebrown"
"ENSG00000175756.13","darkred"
"ENSG00000221978.11","darkgreen"
"ENSG00000224870.6","lightyellow"
"ENSG00000242485.5","blue"
"ENSG00000272455.1","grey"
"ENSG00000235098.8","brown"
"ENSG00000205116.3","brown"
"ENSG00000179403.11","brown"
"ENSG00000215915.9","brown"
"ENSG00000160072.19","red"
"ENSG00000197785.13","red"
"ENSG00000205090.8","turquoise"
"ENSG00000160075.11","turquoise"
"ENSG00000215014.4","greenyellow"
"ENSG00000228594.3","turquoise"
"ENSG00000272106.1","black"
"ENSG00000197530.12","red"
"ENSG00000248333.8","turquoise"
"ENSG00000189339.11","turquoise"
"ENSG00000008128.22","grey"
"ENSG00000268575.1","turquoise"
"ENSG00000215790.6","turquoise"
"ENSG00000008130.15","red"
"ENSG00000078369.17","darkgrey"
"ENSG00000231050.1","turquoise"
"ENSG00000169885.9","turquoise"
"ENSG00000142609.17","grey"
"ENSG00000233542.1","green"
"ENSG00000187730.7","green"
"ENSG00000067606.16","turquoise"
"ENSG00000182873.5","lightyellow"
"ENSG00000162585.16","darkgreen"
"ENSG00000157933.9","turquoise"
"ENSG00000116151.13","darkred"
"ENSG00000269896.2","turquoise"
"ENSG00000272420.1","salmon"
"ENSG00000157916.19","darkred"
"ENSG00000157911.9","red"
"ENSG00000149527.17","turquoise"
"ENSG00000157881.13","turquoise"
"ENSG00000197921.5","grey"
"ENSG00000272449.1","grey"
"ENSG00000238164.6","grey"
"ENSG00000157873.17","darkred"
"ENSG00000157870.14","turquoise"
"ENSG00000142606.15","pink"
"ENSG00000215912.12","turquoise"
"ENSG00000177133.10","darkred"
"ENSG00000142611.16","darkred"
"ENSG00000279839.1","darkred"
"ENSG00000130762.14","midnightblue"
"ENSG00000162591.15","saddlebrown"
