medianRank.pres	medianRank.qual	Zsummary.pres	Zsummary.qual
black	28	18	49	75
blue	10	10	120	130
brown	8	22.5	110	46
cyan	12	27	69	51
darkgreen	8	10	58	58
darkgrey	26	24	29	36
darkmagenta	22	2	26	47
darkolivegreen	14	15.5	36	40
darkorange	17	2.5	43	68
darkred	27	6	37	59
darkturquoise	25	12.5	37	59
gold	36	36	38	1.9
green	23	28.5	56	41
greenyellow	2	19.5	110	77
grey	37	37	32	-23
grey60	18	22	53	29
lightcyan	4	8.5	78	80
lightgreen	19	28.5	46	39
lightyellow	30	31	35	42
magenta	8	28.5	80	49
midnightblue	23	20.5	52	61
orange	16	19	43	49
paleturquoise	20	12	36	47
pink	29	33	43	31
purple	34	27.5	31	47
red	10	20	78	72
royalblue	4	7	67	67
saddlebrown	15	5.5	43	55
salmon	21	23	61	69
sienna3	31	15.5	20	33
skyblue	2	1	57	66
steelblue	6	12	55	49
tan	10	6	77	93
turquoise	33	34.5	60	52
violet	35	33.5	18	23
white	6	26.5	53	38
yellow	31	18	51	85
