Feature,chr,Symbol,ensemblID,logFC,adj.P.Val,Type
ENST00000550058.1,chr12,METTL25,ENSG00000127720,3.90187591616557,3.91156013297621e-124,transcript
ENST00000609745.1,chr20,SDCBP2-AS1,ENSG00000234684,-0.974643266891019,1.8697796201472e-69,transcript
ENST00000474345.5,chr1,FDPS,ENSG00000160752,2.34450233002916,2.02483586705395e-32,transcript
ENST00000551722.1,chr12,METTL25,ENSG00000127720,0.76309306118377,4.29761116943185e-22,transcript
ENST00000414784.1,chr2,AC012442.5,ENSG00000243389,0.697684012796646,6.99361115162756e-20,transcript
ENST00000380888.4,chr20,LINC01597,ENSG00000205611,0.590459889905977,2.36310608213352e-18,transcript
ENST00000636528.1,chr20,RP11-462H3.2,ENSG00000283443,1.24364634188804,6.485998468667901e-15,transcript
ENST00000358464.9,chr20,FRG1CP,ENSG00000282826,0.557924138639552,8.08453551081611e-15,transcript
ENST00000493675.1,chr3,AGGF1P3,ENSG00000241532,-0.873363694627366,3.8037680515801e-13,transcript
ENST00000614721.1,chr16,ACSM3,ENSG00000005187,0.329611647031224,1.1740681199387999e-12,transcript
ENST00000278882.8,chr20,FRG1BP,ENSG00000149531,0.55069284253213,2.89693282407862e-12,transcript
ENST00000614994.4,chr19,ZNF285,ENSG00000267508,0.322106487114791,3.86586670751065e-12,transcript
ENST00000612308.1,chr9,FAM27D1,ENSG00000275493,1.0024201565551,5.3322349425694e-12,transcript
ENST00000340994.4,chr6,PKHD1,ENSG00000170927,0.457027066299399,7.4205816525271e-12,transcript
ENST00000421320.1,chr10,RP11-124O11.1,ENSG00000234944,-0.700479697103483,2.8603982898595398e-11,transcript
ENST00000419373.2,chr10,MIR3663HG,ENSG00000234474,-0.691137478546027,2.52899400417525e-10,transcript
ENST00000608279.1,chr2,RP11-725P16.2,ENSG00000272769,0.544416447770085,3.8397740525041903e-10,transcript
ENST00000310673.3,chr15,SPESP1,ENSG00000258484,0.794870866869874,5.44869359914973e-10,transcript
ENST00000549139.5,chr16,CHMP1A,ENSG00000131165,0.922037040020285,2.29513854819551e-09,transcript
ENST00000415195.1,chr6,XXbac-BPG249D20.9,ENSG00000235781,0.438583669118903,4.32043765142175e-09,transcript
ENST00000219235.4,chr16,CCL22,ENSG00000102962,0.281918778864055,5.077837360630581e-09,transcript
ENST00000260364.9,chr15,NOX5,ENSG00000255346,0.815656295262817,5.9588575375608e-08,transcript
ENST00000631979.1,chr3,CLUHP10,ENSG00000282511,-0.611621626142936,9.56852283904584e-08,transcript
ENST00000572385.5,chr17,ALOX12-AS1,ENSG00000215067,0.649027971743975,2.07300698524124e-07,transcript
ENST00000343684.3,chr6,NKAPL,ENSG00000189134,0.230729015755424,5.81882529308889e-07,transcript
ENST00000578881.1,chr17,RP11-1109M24.5,ENSG00000264956,0.35449357886911,2.66641402270792e-06,transcript
ENST00000370336.4,chr6,DDX43,ENSG00000080007,0.911465178113758,2.80616360453287e-06,transcript
ENST00000424561.1,chr9,RP11-462B18.1,ENSG00000230867,0.477201098531231,2.82412462282433e-06,transcript
ENST00000611559.1,chr15,RP11-809H16.3,ENSG00000273851,0.788829991305872,3.02722641601252e-06,transcript
ENST00000381086.9,chr7,IGFBP3,ENSG00000146674,-0.927873424460821,8.21706436224945e-06,transcript
ENST00000523827.1,chr8,EPHX2,ENSG00000120915,0.179522518691109,2.19256701192661e-05,transcript
ENST00000499522.6,chr8,BAALC-AS1,ENSG00000247081,0.291601914865176,2.75627277214157e-05,transcript
ENST00000570562.5,chr17,ALOX12-AS1,ENSG00000215067,0.908085511959304,3.26181598331803e-05,transcript
ENST00000609932.5,chr22,CECR7,ENSG00000237438,0.211915087341077,3.67521190312836e-05,transcript
ENST00000377542.3,chr9,FAM27C,ENSG00000154537,0.257691588224495,4.2794588791364e-05,transcript
ENST00000638045.1,chr12,DNAH10,ENSG00000197653,-1.67777973435,5.20874733795291e-05,transcript
ENST00000456806.2,chr7,ZNF727,ENSG00000214652,-0.312046869523331,5.42786494207998e-05,transcript
ENST00000244766.6,chr6,NRN1,ENSG00000124785,-0.24352086116169,6.45841578010247e-05,transcript
ENST00000439704.1,chr7,NMD3P1,ENSG00000226342,-0.515629486742184,6.7692741936339e-05,transcript
ENST00000244573.4,chr6,HIST1H1A,ENSG00000124610,-0.375778198904337,0.0001260186166092,transcript
ENST00000450544.1,chr7,RP11-340I6.8,ENSG00000226581,-0.432406804857322,0.0002078228322417,transcript
ENST00000558064.1,chr15,DAPK2,ENSG00000035664,0.391979721668615,0.0002191474724143,transcript
ENST00000395722.7,chr10,PTPN20,ENSG00000204179,0.910937674697588,0.0002208480249118,transcript
ENST00000567833.1,chr16,PRSS8,ENSG00000052344,0.252653786374259,0.0002208480249118,transcript
ENST00000381848.7,chr19,PLIN5,ENSG00000214456,-0.232224606440063,0.0002215021217913,transcript
ENST00000352480.9,chr9,ASS1,ENSG00000130707,-0.278444363880182,0.0003877056720352,transcript
ENST00000457108.1,chr2,AC009495.3,ENSG00000232411,0.422178766896661,0.0003972944236944,transcript
ENST00000527315.5,chr15,NOX5,ENSG00000255346,0.168134901361321,0.0005452592051179,transcript
ENST00000539977.1,chr12,PABPC1P4,ENSG00000255642,0.203813225720163,0.0005636921311536,transcript
ENST00000612841.1,chr6,PACRG-AS3,ENSG00000225683,0.386018897848912,0.0006168598158862,transcript
ENST00000445752.5,chr17,CCDC144B,ENSG00000154874,0.523760117318959,0.0006311793917708,transcript
ENST00000553658.1,chr15,RP11-173D3.1,ENSG00000258410,-0.215071848612718,0.0006723953977072,transcript
ENST00000555106.1,chr14,RP11-293M10.2,ENSG00000258820,0.158610514097858,0.0006910567314948,transcript
ENST00000615012.1,chr1,ADAMTSL4-AS1,ENSG00000203804,-0.320184668906609,0.0010170864552819,transcript
ENST00000518193.1,chr8,XRCC6P4,ENSG00000253517,-0.374668067931508,0.0013560501549079,transcript
ENST00000309502.7,chr1,ADORA1,ENSG00000163485,-1.65460573272655,0.0017476267611583,transcript
ENST00000529399.1,chr11,DLG2,ENSG00000150672,0.269918858893374,0.0018155632705063,transcript
ENST00000620150.1,chr6,PACRG-AS3,ENSG00000225683,0.402584756325687,0.001887020416248,transcript
ENST00000614038.4,chr6,PACRG-AS3,ENSG00000225683,0.324806840891471,0.0019294310906153,transcript
