Modules	Rsq	Pvalue	FDR	Tissue
MEblack	8.21929306072076e-05	0.856024011074782	0.911251366627994	Caudate
MEblue	0.0119470454380435	0.0282357824919584	0.355938812247996	Caudate
MEbrown	0.00434787091914223	0.186491270028891	0.473400916227185	Caudate
MEcyan	0.000185525829596417	0.785161716603099	0.893459884410424	Caudate
MEdarkgreen	0.00340201811277803	0.242701683463262	0.534881881053968	Caudate
MEdarkgrey	0.00339587603612412	0.243128127751804	0.534881881053968	Caudate
MEdarkorange	0.00685024099919775	0.0970742215221807	0.355938812247996	Caudate
MEdarkred	0.00145547820406319	0.445004483038321	0.768003261717221	Caudate
MEdarkturquoise	0.00863903994306178	0.0623037298577658	0.355938812247996	Caudate
MEgreen	0.00697902318061218	0.0939765773316295	0.355938812247996	Caudate
MEgreenyellow	0.000582304068989005	0.629101688329241	0.811770472052151	Caudate
MEgrey	0.00590882593476948	0.123409506628672	0.370228519886017	Caudate
MEgrey60	0.00305411896831914	0.268372315908261	0.553517901560788	Caudate
MElightcyan	0.00106339810372531	0.513899996833129	0.768003261717221	Caudate
MElightgreen	0.0011304673948295	0.500909622013099	0.768003261717221	Caudate
MElightyellow	0.000876364470519687	0.553469550836286	0.768003261717221	Caudate
MEmagenta	0.000854128187185878	0.558547826703433	0.768003261717221	Caudate
MEmidnightblue	0.000423033700678578	0.680591294025674	0.831833803809157	Caudate
MEorange	0.00521651231071983	0.147812252693573	0.406483694907325	Caudate
MEpaleturquoise	0.00687546474573914	0.0964588882370178	0.355938812247996	Caudate
MEpink	0.00695991928996488	0.0944292379441604	0.355938812247996	Caudate
MEpurple	0.00110396989267516	0.505973763892375	0.768003261717221	Caudate
MEred	0.000964061977665636	0.534254212969085	0.768003261717221	Caudate
MEroyalblue	0.000100053364658012	0.841337119352518	0.911251366627994	Caudate
MEsaddlebrown	0.000264147138080147	0.744971596984038	0.878002239302617	Caudate
MEsalmon	0.0258498170781454	0.00120084114402085	0.0396277577526881	Caudate
MEskyblue	0.0010331721639333	0.519946353866538	0.768003261717221	Caudate
MEsteelblue	1.77033619638036e-05	0.932894468569276	0.932894468569276	Caudate
MEtan	0.000547405608252481	0.63957673555624	0.811770472052151	Caudate
MEturquoise	0.00848455534913668	0.0647016967430061	0.355938812247996	Caudate
MEviolet	2.93627114009344e-05	0.913644060854856	0.932894468569276	Caudate
MEwhite	0.00602002753156323	0.119924177898378	0.370228519886017	Caudate
MEyellow	0.0111955849613286	0.0337144037433137	0.355938812247996	Caudate
