Modules	Rsq	Pvalue	FDR	Tissue
MEblack	0.00658562166699334	0.112830555742115	0.266690404481363	DLPFC
MEblue	0.00801970351649855	0.0800540328028458	0.253488396467028	DLPFC
MEbrown	3.87768290038006e-06	0.969359393366693	0.974013767311268	DLPFC
MEcyan	2.78871724041811e-06	0.974013767311268	0.974013767311268	DLPFC
MEdarkgreen	0.00733813696607704	0.094119750797231	0.253488396467028	DLPFC
MEdarkgrey	0.00148700328785121	0.451762342588816	0.57698365056695	DLPFC
MEdarkred	0.00317601625120464	0.271253156917373	0.391810115547317	DLPFC
MEdarkturquoise	0.0128279651828081	0.0266610291209105	0.232628648456003	DLPFC
MEgreen	0.00870316940050391	0.0681901817707679	0.253488396467028	DLPFC
MEgreenyellow	0.00483203826898429	0.174593940186515	0.342746905029386	DLPFC
MEgrey	0.000155163155054069	0.808013027436739	0.875347446389801	DLPFC
MEgrey60	0.00821370329043788	0.0764769682500166	0.253488396467028	DLPFC
MElightcyan	0.000160171031549037	0.805000659048319	0.875347446389801	DLPFC
MElightgreen	0.000549633857298158	0.647400367379971	0.76510952508542	DLPFC
MElightyellow	0.00511657898928922	0.162386691424055	0.342746905029386	DLPFC
MEmagenta	0.0116988628441919	0.0343405054104179	0.232628648456003	DLPFC
MEmidnightblue	0.00403631721159925	0.214777351256526	0.342746905029386	DLPFC
MEorange	0.00416597475833732	0.207545358380573	0.342746905029386	DLPFC
MEpink	0.00388528183672118	0.223582018290126	0.342746905029386	DLPFC
MEpurple	0.00387655535054107	0.224103745596137	0.342746905029386	DLPFC
MEred	0.0115156252296089	0.035789022839385	0.232628648456003	DLPFC
MEroyalblue	0.00139556727620606	0.466025256227152	0.57698365056695	DLPFC
MEsalmon	0.00221353285588233	0.358487805623515	0.490562260326915	DLPFC
MEtan	0.00821188178907317	0.076509745902042	0.253488396467028	DLPFC
MEturquoise	0.00719093752669954	0.0974955371027029	0.253488396467028	DLPFC
MEyellow	0.0195049774862929	0.00618704890210845	0.16086327145482	DLPFC
