Tissue	Feature	ensemblID	Symbol	seqnames	Type	t	Chrom_Type	adj.P.Val	Combined XCI status
Caudate	CD99|ENSG00000002586.20	ENSG00000002586	CD99	chrX	Gene	20.7181938882149	Allosome	9.92760029269083e-62	escape
Caudate	ZBED1|ENSG00000214717.12	ENSG00000214717	ZBED1	chrX	Gene	14.6009594842029	Allosome	4.86036070962203e-36	escape
Caudate	DHRSX|ENSG00000169084.15	ENSG00000169084	DHRSX	chrX	Gene	13.6893266577912	Allosome	2.27708295986858e-32	escape
Caudate	PLCXD1|ENSG00000182378.15	ENSG00000182378	PLCXD1	chrX	Gene	11.2858814689709	Allosome	4.06749555811625e-23	escape
Caudate	GTPBP6|ENSG00000178605.14	ENSG00000178605	GTPBP6	chrX	Gene	10.3872037594273	Allosome	6.926781236870621e-20	escape
Caudate	ASMTL|ENSG00000169093.16	ENSG00000169093	ASMTL	chrX	Gene	7.89632071516508	Allosome	9.0275840542212e-12	escape
Caudate	PPP2R3B|ENSG00000167393.18	ENSG00000167393	PPP2R3B	chrX	Gene	7.72715197223621	Allosome	2.7811648587471895e-11	escape
Caudate	CD99P1|ENSG00000223773.9	ENSG00000223773	CD99P1	chrX	Gene	6.8536464531764	Allosome	7.729267790286051e-09	escape
Caudate	IL3RA|ENSG00000185291.12	ENSG00000185291	IL3RA	chrX	Gene	4.01297480466054	Allosome	0.0068807224044414	escape
Caudate	ASMTL-AS1|ENSG00000236017.8	ENSG00000236017	ASMTL-AS1	chrX	Gene	3.41365842698835	Allosome	0.0355268411295093	escape
Caudate	LINC00106|ENSG00000236871.7	ENSG00000236871	LINC00106	chrX	Gene	3.30075405521547	Allosome	0.0448066291512442	escape
Caudate	CACNA1F|ENSG00000102001.13	ENSG00000102001	CACNA1F	chrX	Gene	5.28707934229171	Allosome	3.99827288480013e-05	inactive
Caudate	REPS2|ENSG00000169891.18	ENSG00000169891	REPS2	chrX	Gene	3.56606792076591	Allosome	0.0252403912975882	inactive
Caudate	MCTS1|ENSG00000232119.8	ENSG00000232119	MCTS1	chrX	Gene	3.41895563362196	Allosome	0.0353231328626274	inactive
Caudate	ARHGEF9|ENSG00000131089.17	ENSG00000131089	ARHGEF9	chrX	Gene	3.32360180718108	Allosome	0.0425992404804981	inactive
Caudate	PRKCIP1|ENSG00000237682.2	ENSG00000237682	PRKCIP1	chrX	Gene	17.8976178142215	Allosome	9.04219144452841e-50	unknown
Caudate	ENSG00000289007|ENSG00000289007.2	ENSG00000289007	ENSG00000289007	chrX	Gene	12.9472962471245	Allosome	1.97877877697016e-29	unknown
Caudate	LINC00685|ENSG00000226179.6	ENSG00000226179	LINC00685	chrX	Gene	6.39372824407335	Allosome	1.17836347207921e-07	unknown
Caudate	MAGEE2|ENSG00000186675.7	ENSG00000186675	MAGEE2	chrX	Gene	4.61725072253576	Allosome	0.0008083446353458	unknown
Caudate	ENSG00000235189|ENSG00000235189.2	ENSG00000235189	ENSG00000235189	chrX	Gene	3.51936897646835	Allosome	0.0283506583350727	unknown
Caudate	ENSG00000286085|ENSG00000286085.1	ENSG00000286085	ENSG00000286085	chrX	Gene	3.38379350232908	Allosome	0.0378887911973293	unknown
Caudate	FIRRE|ENSG00000213468.7	ENSG00000213468	FIRRE	chrX	Gene	4.84413742041461	Allosome	0.0002963626428114	variable
