ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1990204	oxidoreductase complex	7/117	118/15476	3.10980123683316e-05	0.00364774294457427	0.00331542901324654	GPD1/LDHB/NDUFAB1/NDUFB6/NDUFC2/PDHB/UQCRFS1	7
GO:0098803	respiratory chain complex	6/117	83/15476	3.85632213896575e-05	0.00364774294457427	0.00331542901324654	COX7A2/NDUFAB1/NDUFB6/NDUFC2/UQCRFS1/COX5A	6
GO:0005746	mitochondrial respirasome	6/117	87/15476	5.03434341122845e-05	0.00364774294457427	0.00331542901324654	COX7A2/NDUFAB1/NDUFB6/NDUFC2/UQCRFS1/COX5A	6
GO:0098798	mitochondrial protein-containing complex	10/117	285/15476	6.03268837443388e-05	0.00364774294457427	0.00331542901324654	COX7A2/NDUFAB1/NDUFB6/NDUFC2/PDHB/UQCRFS1/COX5A/MTX2/MRPS33/TRMT10C	10
GO:0070469	respirasome	6/117	93/15476	7.32478502926561e-05	0.00364774294457427	0.00331542901324654	COX7A2/NDUFAB1/NDUFB6/NDUFC2/UQCRFS1/COX5A	6
GO:0098800	inner mitochondrial membrane protein complex	7/117	151/15476	0.000148247849036161	0.0061522857350007	0.00559180483206574	COX7A2/NDUFAB1/NDUFB6/NDUFC2/UQCRFS1/COX5A/MTX2	7
GO:0090571	RNA polymerase II transcription repressor complex	3/117	15/15476	0.000179322452200797	0.00637875579971407	0.00579764319145435	FOXO3/MYC/DDX20	3
GO:0005751	mitochondrial respiratory chain complex IV	3/117	21/15476	0.000507111986992523	0.0157838605951423	0.0143459312109727	COX7A2/UQCRFS1/COX5A	3
GO:0045277	respiratory chain complex IV	3/117	22/15476	0.000583956567501088	0.0161561317008634	0.0146842879547057	COX7A2/UQCRFS1/COX5A	3
GO:0005741	mitochondrial outer membrane	7/117	201/15476	0.000834905518524288	0.0185765170373375	0.0168841731685799	FOXO3/VDAC3/MTX2/MLXIP/ACSL6/ACSL5/HINT2	7
GO:0031902	late endosome membrane	6/117	147/15476	0.000873145745630897	0.0185765170373375	0.0168841731685799	SLC11A1/LAMTOR3/VPS4B/IFITM3/IFITM2/SPAAR	6
GO:0005743	mitochondrial inner membrane	11/117	472/15476	0.000895253833124701	0.0185765170373375	0.0168841731685799	COX7A2/FGR/LDHB/NDUFAB1/NDUFB6/NDUFC2/UQCRFS1/COX5A/MTX2/MRPS33/SLC25A28	11
GO:0031968	organelle outer membrane	7/117	225/15476	0.00160394103970962	0.0300036785278296	0.0272703059965477	FOXO3/VDAC3/MTX2/MLXIP/ACSL6/ACSL5/HINT2	7
GO:0019867	outer membrane	7/117	227/15476	0.0016869538128097	0.0300036785278296	0.0272703059965477	FOXO3/VDAC3/MTX2/MLXIP/ACSL6/ACSL5/HINT2	7
GO:0070069	cytochrome complex	3/117	34/15476	0.00212424569787864	0.0334417649431966	0.0303951784518591	COX7A2/UQCRFS1/COX5A	3
GO:0017053	transcription repressor complex	4/117	72/15476	0.00214886843008492	0.0334417649431966	0.0303951784518591	FOXO3/MYC/ZBTB16/DDX20	4
