ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043121	neurotrophin binding	1/5	10/14722	0.0033921271612416	0.0268218801475979	0.006274124011134	A2M	1
GO:0071855	neuropeptide receptor binding	1/5	17/14722	0.00576113423032143	0.0268218801475979	0.006274124011134	EDN3	1
GO:0004602	glutathione peroxidase activity	1/5	18/14722	0.00609919572837292	0.0268218801475979	0.006274124011134	MGST1	1
GO:0008409	5'-3' exonuclease activity	1/5	18/14722	0.00609919572837292	0.0268218801475979	0.006274124011134	PLD4	1
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	1/5	20/14722	0.00677504284974373	0.0268218801475979	0.006274124011134	ADO	1
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	1/5	20/14722	0.00677504284974373	0.0268218801475979	0.006274124011134	ADO	1
GO:0004364	glutathione transferase activity	1/5	21/14722	0.00711282851058948	0.0268218801475979	0.006274124011134	MGST1	1
GO:0004529	exodeoxyribonuclease activity	1/5	21/14722	0.00711282851058948	0.0268218801475979	0.006274124011134	PLD4	1
GO:0016895	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	1/5	21/14722	0.00711282851058948	0.0268218801475979	0.006274124011134	PLD4	1
GO:0019956	chemokine binding	1/5	22/14722	0.00745052226322163	0.0268218801475979	0.006274124011134	A2M	1
GO:0004601	peroxidase activity	1/5	41/14722	0.0138492659339563	0.0406843348291936	0.00951680346881722	MGST1	1
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	1/5	43/14722	0.0145208934668936	0.0406843348291936	0.00951680346881722	MGST1	1
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	1/5	53/14722	0.0178735443536272	0.0406843348291936	0.00951680346881722	MGST1	1
GO:0004536	deoxyribonuclease activity	1/5	54/14722	0.0182083069330964	0.0406843348291936	0.00951680346881722	PLD4	1
GO:0004867	serine-type endopeptidase inhibitor activity	1/5	54/14722	0.0182083069330964	0.0406843348291936	0.00951680346881722	A2M	1
GO:0005179	hormone activity	1/5	55/14722	0.0185429782219793	0.0406843348291936	0.00951680346881722	EDN3	1
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	1/5	57/14722	0.0192120470026748	0.0406843348291936	0.00951680346881722	PLD4	1
GO:0048306	calcium-dependent protein binding	1/5	64/14722	0.0215509148256952	0.0427299533377568	0.0099953107222823	A2M	1
GO:0016209	antioxidant activity	1/5	67/14722	0.0225519198171494	0.0427299533377568	0.0099953107222823	MGST1	1
GO:0004527	exonuclease activity	1/5	77/14722	0.0258826878254969	0.0465888380858943	0.0108979738212618	PLD4	1
