Geneid	Rank	ensemblID
e1138732	1.0	e1138732
e437256	2.0	e437256
e416771	3.0	e416771
e326763	4.0	e326763
e437260	5.0	e437260
e1098192	6.0	e1098192
e896953	7.0	e896953
e1098204	8.0	e1098204
e76371	9.0	e76371
e1138730	10.5	e1138730
e437255	10.5	e437255
e437265	12.0	e437265
e896948	13.0	e896948
e106924	14.5	e106924
e965396	14.5	e965396
e149640	16.0	e149640
e416819	17.0	e416819
e1083262	18.0	e1083262
e5388	19.0	e5388
e490262	20.0	e490262
e326758	21.0	e326758
e612501	22.0	e612501
e612500	23.5	e612500
e76380	23.5	e76380
e74455	25.0	e74455
e416757	26.0	e416757
e1083239	27.0	e1083239
e254069	28.0	e254069
e786079	29.0	e786079
e1083244	30.0	e1083244
e439798	31.0	e439798
e106938	32.5	e106938
e440922	32.5	e440922
e823282	34.0	e823282
e74515	35.0	e74515
e896949	36.0	e896949
e896954	37.0	e896954
e499568	38.0	e499568
e460500	39.0	e460500
e40075	40.0	e40075
e965466	41.0	e965466
e754740	42.0	e754740
e896947	43.0	e896947
e460485	44.0	e460485
e965365	45.0	e965365
e891741	46.0	e891741
e754738	47.5	e754738
e460512	47.5	e460512
e891744	49.0	e891744
