medianRank.pres	medianRank.qual	Zsummary.pres	Zsummary.qual
black	8	5	100	61
blue	7	7	140	78
brown	19	20	82	38
cyan	3	2	67	44
darkgreen	2	11	57	28
darkgrey	3	1	28	21
darkred	16	8.5	47	30
darkturquoise	23	17	31	18
gold	25	25	34	0.69
green	19	22	61	27
greenyellow	13	12.5	75	41
grey	26	26	21	-23
grey60	4	3.5	63	44
lightcyan	24	23	32	13
lightgreen	21	18	45	22
lightyellow	8	6	59	33
magenta	5	3.5	110	66
midnightblue	15	13	54	30
pink	16	19	87	32
purple	20	22.5	65	24
red	12	15	100	59
royalblue	10	9.5	50	34
salmon	11	12.5	58	33
tan	10	9	72	46
turquoise	13	15	130	68
yellow	17	22	90	30
