gene_id	module
7SK|ENSG00000271394.1	grey
7SK|ENSG00000274303.1	grey
A1BG-AS1|ENSG00000268895.6	grey
A1BG|ENSG00000121410.12	grey
A2M-AS1|ENSG00000245105.4	grey
A2ML1|ENSG00000166535.20	grey
A2MP1|ENSG00000256069.7	grey
A2M|ENSG00000175899.15	purple
A4GALT|ENSG00000128274.17	grey
AA06|ENSG00000265544.1	green
AAAS|ENSG00000094914.14	grey
AACSP1|ENSG00000250420.8	grey
AACS|ENSG00000081760.17	green
AADAT|ENSG00000109576.14	blue
AAGAB|ENSG00000103591.13	midnightblue
AAK1|ENSG00000115977.21	yellow
AAMDC|ENSG00000087884.16	green
AAMP|ENSG00000127837.10	midnightblue
AAR2|ENSG00000131043.13	grey
AARD|ENSG00000205002.4	grey
AARS1|ENSG00000090861.17	pink
AARS2|ENSG00000124608.5	tan
AARSD1|ENSG00000266967.7	pink
AASDHPPT|ENSG00000149313.11	royalblue
AASDH|ENSG00000157426.14	red
AASS|ENSG00000008311.16	salmon
AATF|ENSG00000275700.6	green
AATK|ENSG00000181409.14	turquoise
ABAT|ENSG00000183044.12	brown
ABCA10|ENSG00000154263.18	grey
ABCA11P|ENSG00000251595.7	lightcyan
ABCA12|ENSG00000144452.15	grey
ABCA13|ENSG00000179869.15	grey
ABCA17P|ENSG00000238098.9	grey
ABCA1|ENSG00000165029.17	cyan
ABCA2|ENSG00000107331.18	salmon
ABCA3|ENSG00000167972.14	darkred
ABCA4|ENSG00000198691.14	grey
ABCA5|ENSG00000154265.16	grey
ABCA6|ENSG00000154262.13	grey
ABCA7|ENSG00000064687.13	green
ABCA8|ENSG00000141338.15	turquoise
ABCA9|ENSG00000154258.17	grey
ABCB10P1|ENSG00000274099.1	grey
ABCB10|ENSG00000135776.5	grey
ABCB11|ENSG00000073734.10	grey
ABCB1|ENSG00000085563.15	grey
ABCB4|ENSG00000005471.19	grey
ABCB6|ENSG00000115657.14	grey
ABCB7|ENSG00000131269.19	red
ABCB8|ENSG00000197150.13	grey60
ABCB9|ENSG00000150967.19	brown
ABCC10|ENSG00000124574.15	grey60
ABCC11|ENSG00000121270.16	grey
ABCC12|ENSG00000140798.17	brown
ABCC1|ENSG00000103222.20	darkred
ABCC2|ENSG00000023839.12	grey
ABCC3|ENSG00000108846.16	grey
ABCC4|ENSG00000125257.16	purple
ABCC5|ENSG00000114770.17	tan
ABCC6P1|ENSG00000256340.10	grey
ABCC6|ENSG00000091262.17	grey
ABCC8|ENSG00000006071.16	green
ABCC9|ENSG00000069431.14	grey
ABCD1|ENSG00000101986.12	grey
ABCD2|ENSG00000173208.4	pink
ABCD3|ENSG00000117528.14	green
ABCD4|ENSG00000119688.21	grey
ABCE1|ENSG00000164163.11	lightyellow
ABCF1|ENSG00000204574.14	blue
ABCF2P1|ENSG00000242159.1	grey
ABCF2|ENSG00000033050.9	tan
ABCF3|ENSG00000161204.12	tan
ABCG1|ENSG00000160179.19	red
ABCG2|ENSG00000118777.12	grey
ABCG4|ENSG00000172350.10	green
ABCG5|ENSG00000138075.14	grey
ABCG8|ENSG00000143921.9	yellow
ABHD10|ENSG00000144827.9	magenta
ABHD11|ENSG00000106077.19	grey
ABHD12B|ENSG00000131969.15	grey
ABHD12|ENSG00000100997.20	grey
ABHD13|ENSG00000139826.6	grey
ABHD14A|ENSG00000248487.10	black
ABHD14B|ENSG00000114779.20	grey
ABHD15|ENSG00000168792.5	pink
ABHD16A|ENSG00000204427.12	magenta
ABHD17AP1|ENSG00000198658.4	grey
ABHD17AP6|ENSG00000226981.2	grey
ABHD17A|ENSG00000129968.17	grey
ABHD17B|ENSG00000107362.14	cyan
ABHD17C|ENSG00000136379.12	grey
ABHD18|ENSG00000164074.16	red
ABHD1|ENSG00000143994.14	grey
ABHD2|ENSG00000140526.18	green
ABHD3|ENSG00000158201.10	lightcyan
ABHD4|ENSG00000100439.11	pink
ABHD5|ENSG00000011198.10	cyan
ABHD6|ENSG00000163686.15	cyan
ABHD8|ENSG00000127220.6	brown
ABI1|ENSG00000136754.18	grey
ABI2|ENSG00000138443.17	yellow
ABI3BP|ENSG00000154175.18	salmon
ABI3|ENSG00000108798.9	purple
ABITRAM|ENSG00000119328.12	blue
ABL1|ENSG00000097007.19	salmon
ABL2|ENSG00000143322.21	grey
ABLIM1|ENSG00000099204.21	grey
ABLIM2|ENSG00000163995.21	greenyellow
ABLIM3|ENSG00000173210.20	grey60
ABO|ENSG00000175164.16	grey
ABR-AS1|ENSG00000235361.1	grey
ABRACL|ENSG00000146386.8	magenta
ABRAXAS1|ENSG00000163322.14	brown
ABRAXAS2|ENSG00000165660.8	royalblue
ABRA|ENSG00000174429.4	grey
ABR|ENSG00000159842.16	darkred
ABT1|ENSG00000146109.5	magenta
ABTB1|ENSG00000114626.18	greenyellow
ABTB2|ENSG00000166016.6	grey
ACAA1|ENSG00000060971.19	red
ACAA2P1|ENSG00000233585.2	grey
ACAA2|ENSG00000167315.18	pink
ACACA|ENSG00000278540.5	pink
ACACB|ENSG00000076555.16	grey
