,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,logFC,AveExpr,t,P.Value,adj.P.Val,B,SE,Permutation
ENSG00000106086.18,10572,ENSG00000106086.18,ENSG00000106086,protein_coding,PLEKHA8,84725.0,InGen,0.892379473588628,8,ENST00000483799.5|ENST00000449726.5|ENST00000622102.4|ENST00000258679.11|ENST00000396257.6|ENST00000396259.5|ENST00000440706.2|ENST00000498106.1,0.242374579705885,3.94273260787496,5.50870797716321,2.33537024021627e-07,0.005281439798249,6.73786415110358,0.0439984440472554,02
ENSG00000118689.14,7721,ENSG00000118689.14,ENSG00000118689,protein_coding,FOXO3,2309.0,InGen,3.54018461114784,3,ENST00000343882.10|ENST00000406360.1|ENST00000540898.1,0.232896837765825,5.67637251336458,4.99181639855702,2.21512623712027e-06,0.0185657711891319,4.63598220020999,0.0466557299329255,02
ENSG00000157303.10,1263,ENSG00000157303.10,ENSG00000157303,protein_coding,SUSD3,203328.0,InGen,0.364104255328971,5,ENST00000617293.4|ENST00000375472.7|ENST00000465709.5|ENST00000375469.5|ENST00000471462.2,-0.814690712060657,-0.196149001688902,-4.96064312336711,2.52701018499571e-06,0.0185657711891319,4.03295028092983,0.164230865192268,02
ENSG00000196565.12,2241,ENSG00000196565.12,ENSG00000196565,protein_coding,HBG2,3048.0,InGen,2.67309576092578,5,ENST00000620888.4|ENST00000380252.5|ENST00000380259.6|ENST00000336906.4|ENST00000444587.1,1.19146701063496,-2.2818195997114,4.89687052326416,3.3036944072626e-06,0.0185657711891319,3.20597720515956,0.243311928500971,02
ENSG00000271993.1,628,ENSG00000271993.1,ENSG00000271993,antisense,,,InGen,0.575738789432522,1,ENST00000607744.1,0.431911805885392,-0.648668730945037,4.82695853209148,4.42175202464025e-06,0.0185657711891319,3.5484182008567,0.0894790794273198,02
ENSG00000166428.12,6874,ENSG00000166428.12,ENSG00000166428,protein_coding,PLD4,122618.0,InGen,0.241325485895303,6,ENST00000540372.5|ENST00000392593.8|ENST00000557573.1|ENST00000472901.1|ENST00000472702.1|ENST00000553861.1,-0.727909912308674,1.59718991678722,-4.8009226094049,4.9256965348128e-06,0.0185657711891319,3.80662830087436,0.151618755712228,02
ENSG00000105639.18,6813,ENSG00000105639.18,ENSG00000105639,protein_coding,JAK3,3718.0,InGen,0.365768064384868,7,ENST00000527031.5|ENST00000458235.5|ENST00000527670.5|ENST00000534444.1|ENST00000526008.5|ENST00000528705.1|ENST00000528293.1,0.335721687854594,2.18543591946838,4.59311769881019,1.1512412625239e-05,0.0371933159313972,3.11591108558252,0.0730923328922227,02
ENSG00000167588.12,3991,ENSG00000167588.12,ENSG00000167588,protein_coding,GPD1,2819.0,InGen,1.88941541987916,7,ENST00000301149.7|ENST00000547964.5|ENST00000551939.5|ENST00000547190.5|ENST00000548814.1|ENST00000548152.1|ENST00000550172.1,-0.460665341416632,3.87277266177128,-4.50815221843333,1.61834816924546e-05,0.0408425258018684,2.80653287900824,0.102184957183349,02
ENSG00000173575.19,17034,ENSG00000173575.19,ENSG00000173575,protein_coding,CHD2,1106.0,InGen,3.21158906768559,30,ENST00000626874.2|ENST00000394196.8|ENST00000627622.1|ENST00000629346.2|ENST00000628375.2|ENST00000635856.1|ENST00000420239.6|ENST00000625990.2|ENST00000577670.1|ENST00000626782.2|ENST00000629136.1|ENST00000636861.1|ENST00000637572.1|ENST00000637613.1|ENST00000636881.1|ENST00000625243.1|ENST00000630016.1|ENST00000628181.1|ENST00000627200.1|ENST00000625463.1|ENST00000628118.1|ENST00000636410.1|ENST00000636306.1|ENST00000637789.1|ENST00000627185.1|ENST00000625662.2|ENST00000629104.1|ENST00000635922.1|ENST00000630813.1|ENST00000627460.1,0.14580666639125,6.69032211363117,4.50706217310865,1.62539346547343e-05,0.0408425258018684,2.787102758145,0.0323507111264637,02
ENSG00000253988.1,596,ENSG00000253988.1,ENSG00000253988,lincRNA,,,InGen,0.407066200506723,1,ENST00000521793.1,-0.947979976603041,-1.13833268877351,-4.47225625746155,1.86659391403732e-05,0.0408797472813651,2.12415980990479,0.21196906483644,02
