"","module"
"TSPAN6|ENSG00000000003.15","salmon"
"DPM1|ENSG00000000419.14","darkgreen"
"SCYL3|ENSG00000000457.14","grey"
"C1orf112|ENSG00000000460.17","blue"
"FGR|ENSG00000000938.13","lightgreen"
"CFH|ENSG00000000971.17","white"
"FUCA2|ENSG00000001036.14","pink"
"GCLC|ENSG00000001084.13","blue"
"NFYA|ENSG00000001167.15","blue"
"STPG1|ENSG00000001460.18","grey"
"NIPAL3|ENSG00000001461.17","blue"
"LAS1L|ENSG00000001497.18","magenta"
"ENPP4|ENSG00000001561.7","blue"
"SEMA3F|ENSG00000001617.12","lightgreen"
"CFTR|ENSG00000001626.18","blue"
"ANKIB1|ENSG00000001629.10","greenyellow"
"CYP51A1|ENSG00000001630.18","darkgreen"
"KRIT1|ENSG00000001631.17","greenyellow"
"RAD52|ENSG00000002016.18","grey"
"BAD|ENSG00000002330.14","turquoise"
"LAP3|ENSG00000002549.13","yellow"
"CD99|ENSG00000002586.20","pink"
"HS3ST1|ENSG00000002587.10","brown"
"WNT16|ENSG00000002745.13","brown"
"HECW1|ENSG00000002746.15","brown"
"MAD1L1|ENSG00000002822.16","magenta"
"LASP1|ENSG00000002834.18","turquoise"
"SNX11|ENSG00000002919.15","lightcyan"
"TMEM176A|ENSG00000002933.9","lightyellow"
"M6PR|ENSG00000003056.8","grey60"
"KLHL13|ENSG00000003096.15","grey"
"CYP26B1|ENSG00000003137.9","brown"
"ICA1|ENSG00000003147.19","red"
"DBNDD1|ENSG00000003249.15","brown"
"ALS2|ENSG00000003393.16","black"
"CASP10|ENSG00000003400.16","cyan"
"CFLAR|ENSG00000003402.21","pink"
"TFPI|ENSG00000003436.16","white"
"NDUFAF7|ENSG00000003509.16","grey60"
"RBM5|ENSG00000003756.17","blue"
"MTMR7|ENSG00000003987.14","red"
"SLC7A2|ENSG00000003989.18","lightgreen"
"ARF5|ENSG00000004059.11","turquoise"
"SARM1|ENSG00000004139.14","magenta"
"POLDIP2|ENSG00000004142.12","turquoise"
"PLXND1|ENSG00000004399.13","brown"
"AK2|ENSG00000004455.18","yellow"
"CD38|ENSG00000004468.13","lightyellow"
"FKBP4|ENSG00000004478.8","grey"
"KDM1A|ENSG00000004487.18","red"
"RBM6|ENSG00000004534.15","yellow"
"CAMKK1|ENSG00000004660.15","turquoise"
"RECQL|ENSG00000004700.16","greenyellow"
"VPS50|ENSG00000004766.17","grey60"
"HSPB6|ENSG00000004776.13","grey"
"ARHGAP33|ENSG00000004777.19","magenta"
"NDUFAB1|ENSG00000004779.10","darkred"
"PDK4|ENSG00000004799.8","pink"
"ZMYND10|ENSG00000004838.14","purple"
"ARX|ENSG00000004848.8","brown"
"SLC25A13|ENSG00000004864.14","yellow"
"ST7|ENSG00000004866.22","black"
"CDC27|ENSG00000004897.12","red"
"SLC4A1|ENSG00000004939.16","grey"
"CALCR|ENSG00000004948.16","grey"
"HCCS|ENSG00000004961.15","grey60"
"DVL2|ENSG00000004975.12","royalblue"
"UPF1|ENSG00000005007.13","magenta"
"SKAP2|ENSG00000005020.13","red"
"SLC25A5|ENSG00000005022.6","darkred"
"MCUB|ENSG00000005059.16","orange"
"POLR2J|ENSG00000005075.16","grey"
"DHX33|ENSG00000005100.13","turquoise"
"THSD7A|ENSG00000005108.17","black"
"LIG3|ENSG00000005156.12","darkturquoise"
"RPAP3|ENSG00000005175.10","darkgreen"
"ACSM3|ENSG00000005187.12","salmon"
"REXO5|ENSG00000005189.20","brown"
"CIAPIN1|ENSG00000005194.15","lightcyan"
"SPPL2B|ENSG00000005206.17","magenta"
"FAM214B|ENSG00000005238.20","turquoise"
"COPZ2|ENSG00000005243.10","pink"
"PRKAR2B|ENSG00000005249.13","darkorange"
"MSL3|ENSG00000005302.19","red"
"CREBBP|ENSG00000005339.15","magenta"
"TSPOAP1|ENSG00000005379.17","turquoise"
"MPO|ENSG00000005381.9","turquoise"
"PON1|ENSG00000005421.9","lightyellow"
"GCFC2|ENSG00000005436.14","greenyellow"
"WDR54|ENSG00000005448.17","lightcyan"
"CROT|ENSG00000005469.12","orange"
"ABCB4|ENSG00000005471.19","grey"
"KMT2E|ENSG00000005483.23","midnightblue"
"RHBDD2|ENSG00000005486.17","turquoise"
"SOX8|ENSG00000005513.10","blue"
"IBTK|ENSG00000005700.15","greenyellow"
"ZNF195|ENSG00000005801.18","midnightblue"
"MYCBP2|ENSG00000005810.20","darkgrey"
"FBXL3|ENSG00000005812.11","greenyellow"
"ITGAL|ENSG00000005844.19","cyan"
"PDK2|ENSG00000005882.12","turquoise"
"ITGA3|ENSG00000005884.18","turquoise"
"ZFX|ENSG00000005889.16","yellow"
"LAMP2|ENSG00000005893.16","blue"
"ITGA2B|ENSG00000005961.19","brown"
"ASB4|ENSG00000005981.13","blue"
"GDE1|ENSG00000006007.12","grey60"
"REX1BD|ENSG00000006015.18","turquoise"
"CRLF1|ENSG00000006016.12","grey"
"OSBPL7|ENSG00000006025.12","magenta"
"TMEM98|ENSG00000006042.12","yellow"
"YBX2|ENSG00000006047.13","turquoise"
"MAP3K14|ENSG00000006062.18","grey"
"ABCC8|ENSG00000006071.16","black"
"CACNG3|ENSG00000006116.4","darkorange"
"TMEM132A|ENSG00000006118.15","black"
"AP2B1|ENSG00000006125.18","green"
"TAC1|ENSG00000006128.12","grey60"
"ZNF263|ENSG00000006194.10","grey"
"CX3CL1|ENSG00000006210.7","turquoise"
"SPATA20|ENSG00000006282.21","grey"
"CACNA1G|ENSG00000006283.18","brown"
"TNFRSF12A|ENSG00000006327.14","lightgreen"
"DLX6|ENSG00000006377.11","brown"
"MAP3K9|ENSG00000006432.16","turquoise"
"RALA|ENSG00000006451.8","darkgreen"
"BAIAP2L1|ENSG00000006453.14","white"
"KDM7A|ENSG00000006459.11","tan"
"ETV1|ENSG00000006468.14","brown"
"AGK|ENSG00000006530.18","red"
"ALDH3B1|ENSG00000006534.17","pink"
"TTC22|ENSG00000006555.11","grey"
"PHTF2|ENSG00000006576.17","midnightblue"
"FARP2|ENSG00000006607.14","blue"
"USH1C|ENSG00000006611.17","lightyellow"
"GGCT|ENSG00000006625.18","red"
"DBF4|ENSG00000006634.8","red"
"TBXA2R|ENSG00000006638.13","royalblue"
"IFRD1|ENSG00000006652.15","pink"
"COX10|ENSG00000006695.12","turquoise"
"GTF2IRD1|ENSG00000006704.11","grey"
"PAF1|ENSG00000006712.15","grey"
"VPS41|ENSG00000006715.16","red"
"ARHGAP44|ENSG00000006740.18","green"
"ELAC2|ENSG00000006744.19","turquoise"
"SCIN|ENSG00000006747.15","cyan"
"ARSD|ENSG00000006756.16","salmon"
"PNPLA4|ENSG00000006757.12","saddlebrown"
"MYH13|ENSG00000006788.14","darkorange"
"ADIPOR2|ENSG00000006831.10","blue"
"CDKL3|ENSG00000006837.12","midnightblue"
"UPP2|ENSG00000007001.13","green"
"MARK4|ENSG00000007047.16","turquoise"
"PROM1|ENSG00000007062.12","purple"
"CCDC124|ENSG00000007080.11","turquoise"
"CEACAM21|ENSG00000007129.18","cyan"
"PAFAH1B1|ENSG00000007168.14","red"
"NOS2|ENSG00000007171.19","brown"
"DNAH9|ENSG00000007174.18","purple"
"KIAA0100|ENSG00000007202.15","turquoise"
"GAS7|ENSG00000007237.19","brown"
"TRAPPC6A|ENSG00000007255.10","grey"
"MATK|ENSG00000007264.15","turquoise"
"CD79B|ENSG00000007312.14","salmon"
"SCN4A|ENSG00000007314.12","green"
"ST7L|ENSG00000007341.19","greenyellow"
"PAX6|ENSG00000007372.25","lightyellow"
"RPUSD1|ENSG00000007376.8","turquoise"
"RHBDF1|ENSG00000007384.15","lightgreen"
"LUC7L|ENSG00000007392.17","green"
"CACNA2D2|ENSG00000007402.12","brown"
"BAIAP3|ENSG00000007516.14","black"
"TSR3|ENSG00000007520.4","turquoise"
"PIGQ|ENSG00000007541.17","magenta"
"CRAMP1|ENSG00000007545.16","magenta"
"TEAD3|ENSG00000007866.22","lightgreen"
"SELE|ENSG00000007908.16","lightgreen"
"DNAJC11|ENSG00000007923.17","turquoise"
"FMO3|ENSG00000007933.13","pink"
"MYLIP|ENSG00000007944.15","blue"
"PSMB1|ENSG00000008018.9","darkred"
"SYN1|ENSG00000008056.14","turquoise"
"JARID2|ENSG00000008083.14","blue"
"CDKL5|ENSG00000008086.13","red"
"CAMK1G|ENSG00000008118.10","green"
"CDK11A|ENSG00000008128.23","grey"
"NADK|ENSG00000008130.15","magenta"
"DLEC1|ENSG00000008226.20","purple"
"CYTH3|ENSG00000008256.16","turquoise"
"ADAM22|ENSG00000008277.15","darkgrey"
"SYPL1|ENSG00000008282.9","yellow"
"CYB561|ENSG00000008283.16","darkturquoise"
"SPAG9|ENSG00000008294.22","blue"
"CELSR3|ENSG00000008300.17","turquoise"
"AASS|ENSG00000008311.16","yellow"
"SS18L2|ENSG00000008324.12","darkred"
"MPND|ENSG00000008382.16","turquoise"
"MGST1|ENSG00000008394.13","lightyellow"
"CRY1|ENSG00000008405.12","pink"
"NFIX|ENSG00000008441.19","magenta"
"ST3GAL1|ENSG00000008513.16","grey"
"MMP25|ENSG00000008516.18","grey"
"IL32|ENSG00000008517.19","lightgreen"
"PKD1|ENSG00000008710.20","magenta"
"MAPK8IP2|ENSG00000008735.14","turquoise"
"MED24|ENSG00000008838.21","turquoise"
"RHOBTB2|ENSG00000008853.18","turquoise"
"HEATR5B|ENSG00000008869.12","red"
"SEC62|ENSG00000008952.17","darkgreen"
"RPS20|ENSG00000008988.11","steelblue"
"CSDE1|ENSG00000009307.17","darkgreen"
"UBE3C|ENSG00000009335.18","lightcyan"
"REV3L|ENSG00000009413.16","yellow"
"TENM1|ENSG00000009694.14","darkorange"
"PAX7|ENSG00000009709.12","turquoise"
"FAM76A|ENSG00000009780.16","grey"
"TRAF3IP3|ENSG00000009790.15","cyan"
"POMT2|ENSG00000009830.13","blue"
"VTA1|ENSG00000009844.16","red"
"MLXIPL|ENSG00000009950.16","black"
"BAZ1B|ENSG00000009954.11","greenyellow"
"RANBP9|ENSG00000010017.13","red"
"ETV7|ENSG00000010030.14","grey"
"SPRTN|ENSG00000010072.16","greenyellow"
"METTL13|ENSG00000010165.20","lightcyan"
"DYRK4|ENSG00000010219.14","yellow"
"ZNF207|ENSG00000010244.19","greenyellow"
"UQCRC1|ENSG00000010256.11","lightcyan"
"STARD3NL|ENSG00000010270.14","darkgreen"
"CD9|ENSG00000010278.15","yellow"
"HHATL|ENSG00000010282.15","blue"
"NCAPD2|ENSG00000010292.13","blue"
"IFFO1|ENSG00000010295.20","magenta"
"GIPR|ENSG00000010310.9","blue"
"PHF7|ENSG00000010318.22","grey"
"SEMA3G|ENSG00000010319.7","grey"
"NISCH|ENSG00000010322.16","turquoise"
"STAB1|ENSG00000010327.10","pink"
"FUZ|ENSG00000010361.14","royalblue"
"SLC6A13|ENSG00000010379.16","white"
"IDS|ENSG00000010404.18","green"
"PRSS3|ENSG00000010438.17","turquoise"
"ZNF200|ENSG00000010539.12","midnightblue"
"CD4|ENSG00000010610.10","cyan"
"LRRC23|ENSG00000010626.15","purple"
"BTK|ENSG00000010671.18","cyan"
"HFE|ENSG00000010704.19","salmon"
"SCMH1|ENSG00000010803.17","black"
"FYN|ENSG00000010810.17","grey"
"HIVEP2|ENSG00000010818.10","darkorange"
"ELOA|ENSG00000011007.13","grey"
"LYPLA2|ENSG00000011009.11","saddlebrown"
"CLCN6|ENSG00000011021.23","turquoise"
"MRC2|ENSG00000011028.14","pink"
"SLC6A7|ENSG00000011083.9","turquoise"
"TSPAN9|ENSG00000011105.14","grey"
"BTBD7|ENSG00000011114.15","midnightblue"
"APBA3|ENSG00000011132.12","royalblue"
"MKS1|ENSG00000011143.19","grey"
"ABHD5|ENSG00000011198.10","yellow"
"ANOS1|ENSG00000011201.12","grey"
"AKAP8L|ENSG00000011243.19","turquoise"
"MBTD1|ENSG00000011258.16","yellow"
"UTP18|ENSG00000011260.14","darkgreen"
"RNF216|ENSG00000011275.19","grey"
"TTC19|ENSG00000011295.16","grey60"
"PTBP1|ENSG00000011304.22","lightgreen"
"DPF1|ENSG00000011332.22","turquoise"
"SYT7|ENSG00000011347.10","black"
"LARS2|ENSG00000011376.12","grey"
"PIK3C2A|ENSG00000011405.14","yellow"
"PLAUR|ENSG00000011422.12","lightgreen"
"ANLN|ENSG00000011426.11","blue"
"WIZ|ENSG00000011451.21","turquoise"
"RABGAP1|ENSG00000011454.18","red"
"DCN|ENSG00000011465.18","white"
"QPCTL|ENSG00000011478.13","turquoise"
"PPP5C|ENSG00000011485.15","turquoise"
"CEP68|ENSG00000011523.14","red"
"MAP4K3|ENSG00000011566.15","grey60"
"TYROBP|ENSG00000011600.12","cyan"
"LDAF1|ENSG00000011638.11","brown"
"GABRA3|ENSG00000011677.13","darkorange"
"BRCA1|ENSG00000012048.24","yellow"
"ERCC1|ENSG00000012061.16","turquoise"
"CD22|ENSG00000012124.17","blue"
"SEMA3B|ENSG00000012171.20","blue"
"MBTPS2|ENSG00000012174.12","midnightblue"
"PRICKLE3|ENSG00000012211.13","pink"
"LTF|ENSG00000012223.13","pink"
"EXTL3|ENSG00000012232.10","turquoise"
"NR1H4|ENSG00000012504.15","purple"
"ELOVL5|ENSG00000012660.14","yellow"
"ALOX5|ENSG00000012779.12","cyan"
"KDM5D|ENSG00000012817.16","grey"
"CALCOCO1|ENSG00000012822.16","magenta"
"UBR7|ENSG00000012963.15","red"
"MAP4K5|ENSG00000012983.12","blue"
"EHD3|ENSG00000013016.16","turquoise"
"PSMC4|ENSG00000013275.8","lightcyan"
"MAN2B2|ENSG00000013288.9","darkturquoise"
"SLC7A14|ENSG00000013293.6","darkgrey"
"CLDN11|ENSG00000013297.12","blue"
"SLC25A39|ENSG00000013306.16","royalblue"
"MVP|ENSG00000013364.19","lightgreen"
"NUB1|ENSG00000013374.17","greenyellow"
"PGM3|ENSG00000013375.17","yellow"
"RWDD2A|ENSG00000013392.8","red"
"CLK1|ENSG00000013441.17","yellow"
"POLR3B|ENSG00000013503.10","red"
"ANGEL1|ENSG00000013523.11","turquoise"
"RNF14|ENSG00000013561.18","darkred"
"DNASE1L1|ENSG00000013563.14","darkturquoise"
"DDX11|ENSG00000013573.17","grey"
"HEBP1|ENSG00000013583.10","grey"
"GPRC5A|ENSG00000013588.9","lightgreen"
"MAMLD1|ENSG00000013619.15","turquoise"
"CD6|ENSG00000013725.14","grey"
"TACC3|ENSG00000013810.21","darkturquoise"
"UFL1|ENSG00000014123.10","greenyellow"
"POLA2|ENSG00000014138.9","grey"
"ZC3H3|ENSG00000014164.7","magenta"
"CAPN1|ENSG00000014216.16","turquoise"
"ACP3|ENSG00000014257.16","cyan"
"MDH1|ENSG00000014641.21","red"
"SLC30A9|ENSG00000014824.14","red"
"MTMR11|ENSG00000014914.21","lightgreen"
"COX15|ENSG00000014919.13","grey"
"CCDC88C|ENSG00000015133.20","purple"
"YAF2|ENSG00000015153.15","red"
"ZMYND11|ENSG00000015171.20","darkgreen"
"WAS|ENSG00000015285.12","cyan"
"BID|ENSG00000015475.19","red"
"MATR3|ENSG00000015479.20","red"
"XYLT2|ENSG00000015532.10","darkturquoise"
"RGPD5|ENSG00000015568.13","red"
"STMN4|ENSG00000015592.17","grey"
"NUDCD3|ENSG00000015676.18","turquoise"
"CHDH|ENSG00000016391.11","lightyellow"
"IL20RA|ENSG00000016402.14","pink"
"CLCA4|ENSG00000016602.9","blue"
"GLT8D1|ENSG00000016864.19","orange"
"ATP2C1|ENSG00000017260.20","orange"
"IGF1|ENSG00000017427.17","red"
"SLC38A5|ENSG00000017483.16","grey"
"RALBP1|ENSG00000017797.13","red"
"RUFY3|ENSG00000018189.13","red"
"CNTN1|ENSG00000018236.15","grey60"
"SLC11A1|ENSG00000018280.17","lightgreen"
"WWTR1|ENSG00000018408.15","lightgreen"
"AGPS|ENSG00000018510.18","greenyellow"
"ZNF285CP|ENSG00000018607.8","black"
"STEEP1|ENSG00000018610.15","red"
"ATP1A2|ENSG00000018625.15","lightyellow"
"TTC27|ENSG00000018699.13","yellow"
"ZNF582|ENSG00000018869.18","grey"
"VSIG2|ENSG00000019102.12","grey"
"PHLDB1|ENSG00000019144.20","blue"
"MARCO|ENSG00000019169.11","white"
"CYP24A1|ENSG00000019186.10","brown"
"PRDM11|ENSG00000019485.14","brown"
"SYT13|ENSG00000019505.8","darkgrey"
"SNAI2|ENSG00000019549.13","tan"
"CD74|ENSG00000019582.17","cyan"
"HGF|ENSG00000019991.18","grey"
"ZRANB1|ENSG00000019995.6","red"
"NCDN|ENSG00000020129.16","green"
"ADGRA2|ENSG00000020181.18","turquoise"
"ZFP64|ENSG00000020256.20","brown"
"MNAT1|ENSG00000020426.11","midnightblue"
"SAMD4A|ENSG00000020577.14","lightgreen"
"RUNX3|ENSG00000020633.19","pink"
"MRE11|ENSG00000020922.13","greenyellow"
"PLEKHB1|ENSG00000021300.14","blue"
"SERPINB1|ENSG00000021355.13","lightgreen"
"CYP3A43|ENSG00000021461.18","midnightblue"
"SLC7A9|ENSG00000021488.13","grey"
"SPAST|ENSG00000021574.13","darkgreen"
"NRXN3|ENSG00000021645.20","black"
"OSBPL5|ENSG00000021762.20","magenta"
"AQR|ENSG00000021776.11","greenyellow"
"CPS1|ENSG00000021826.18","yellow"
"FHL1|ENSG00000022267.19","tan"
"RTF2|ENSG00000022277.13","darkgreen"
"GABRA1|ENSG00000022355.18","red"
"NLRP2|ENSG00000022556.16","grey"
"SLC45A4|ENSG00000022567.10","black"
"RNF10|ENSG00000022840.17","turquoise"
"ZNF839|ENSG00000022976.16","grey"
"ZDHHC6|ENSG00000023041.12","greenyellow"
"GRAMD1B|ENSG00000023171.20","green"
"RNH1|ENSG00000023191.17","skyblue"
"NDUFS1|ENSG00000023228.14","lightcyan"
"RB1CC1|ENSG00000023287.13","midnightblue"
"ERP44|ENSG00000023318.9","orange"
"ALAS1|ENSG00000023330.15","lightcyan"
"BIRC3|ENSG00000023445.16","grey"
"AKAP11|ENSG00000023516.9","grey60"
"GLRX2|ENSG00000023572.10","red"
"SNAPC1|ENSG00000023608.5","yellow"
"DERA|ENSG00000023697.13","pink"
"STRAP|ENSG00000023734.11","darkred"
"ABCC2|ENSG00000023839.12","yellow"
"DEF6|ENSG00000023892.12","cyan"
"PLEKHO1|ENSG00000023902.14","turquoise"
"GCLM|ENSG00000023909.10","orange"
"UBR2|ENSG00000024048.11","greenyellow"
"EHD2|ENSG00000024422.12","white"
"DEPDC1|ENSG00000024526.17","red"
"CCDC28A|ENSG00000024862.18","tan"
"RRAGD|ENSG00000025039.15","saddlebrown"
"HSF2|ENSG00000025156.13","darkred"
"PHF20|ENSG00000025293.17","red"
"HSD17B6|ENSG00000025423.11","grey"
"NR1H3|ENSG00000025434.19","brown"
"TYMP|ENSG00000025708.14","lightgreen"
"NCAPH2|ENSG00000025770.19","brown"
"TOMM34|ENSG00000025772.8","green"
"SEC63|ENSG00000025796.14","orange"
"KPNA6|ENSG00000025800.14","turquoise"
"VIM|ENSG00000026025.16","white"
"RTEL1-TNFRSF6B|ENSG00000026036.23","magenta"
"FAS|ENSG00000026103.25","lightyellow"
"RNASET2|ENSG00000026297.17","cyan"
"CD44|ENSG00000026508.21","lightgreen"
"KCNG1|ENSG00000026559.14","black"
"AGPAT4|ENSG00000026652.15","blue"
"BTN3A1|ENSG00000026950.17","cyan"
"MIPEP|ENSG00000027001.10","tan"
"PRKCH|ENSG00000027075.17","yellow"
"INSRR|ENSG00000027644.5","white"
"IFNGR1|ENSG00000027697.16","cyan"
"B4GALT7|ENSG00000027847.14","turquoise"
"SH2D2A|ENSG00000027869.12","pink"
"VRK2|ENSG00000028116.18","blue"
"TNFRSF1B|ENSG00000028137.19","lightgreen"
"VEZT|ENSG00000028203.19","red"
"POU2F2|ENSG00000028277.22","black"
"BRD9|ENSG00000028310.18","brown"
"SNX1|ENSG00000028528.15","blue"
"TBPL1|ENSG00000028839.10","grey60"
"ARNTL2|ENSG00000029153.15","darkorange"
"BCLAF1|ENSG00000029363.17","darkgreen"
"SLC39A9|ENSG00000029364.12","orange"
"ANK1|ENSG00000029534.21","brown"
"IBSP|ENSG00000029559.7","green"
"TFB1M|ENSG00000029639.11","grey"
