Modules	Rsq	Pvalue	FDR	Tissue
MEblack	0.00320952033543493	0.291238154964443	0.61160012542533	DLPFC
MEblue	0.000898849022551154	0.576705153047103	0.852823198501886	DLPFC
MEbrown	0.0106422591910387	0.0541745148419831	0.448402029523223	DLPFC
MEcyan	0.00127288847808279	0.506477688128263	0.818156265437963	DLPFC
MEgreen	0.00026321049346936	0.762638762377466	0.876120825608434	DLPFC
MEgreenyellow	0.00473579531008428	0.199660827157009	0.556443497871043	DLPFC
MEgrey	0.000754118069703478	0.609159427501347	0.852823198501886	DLPFC
MEgrey60	0.00898534721479304	0.0769816420675145	0.448402029523223	DLPFC
MElightcyan	0.00345566653160937	0.273428860228347	0.61160012542533	DLPFC
MElightgreen	0.014335802851274	0.0252987590184043	0.448402029523223	DLPFC
MElightyellow	1.86101444550435e-05	0.935996718062336	0.935996718062336	DLPFC
MEmagenta	0.00448589654903534	0.211978475379445	0.556443497871043	DLPFC
MEmidnightblue	0.000199345567973724	0.792680746979059	0.876120825608434	DLPFC
MEpink	0.00155090199359174	0.463343686301022	0.810851451026788	DLPFC
MEpurple	0.000371523987600779	0.719724194701404	0.876120825608434	DLPFC
MEred	6.07544830026768e-05	0.884637142194012	0.928868999303713	DLPFC
MEroyalblue	0.000305204777017874	0.745012638786132	0.876120825608434	DLPFC
MEsalmon	0.00217969785590708	0.38455473024574	0.734149939560049	DLPFC
MEtan	0.00637441394127264	0.136603508449128	0.478112279571948	DLPFC
MEturquoise	0.00699886390097749	0.118757061234762	0.478112279571948	DLPFC
MEyellow	0.00850280892231352	0.0854099103853757	0.448402029523223	DLPFC
