ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002263	cell activation involved in immune response	235	-0.564102396284102	-2.13169314865106	3.32138626228799e-12	1.35310846923851e-08	1.21852605053988e-08	1387	tags=26%, list=8%, signal=24%	LYN/CPLX2/LCP1/ITM2A/PTPN6/DLL1/IFNA2/FCER1G/PIK3CG/ZFPM1/CD300A/IL6R/KLRC2/LAT2/LILRA2/CORO1A/APLF/LEF1/PTPRC/EXO1/NLRP3/IL12RB1/ITGB2/TFRC/DOCK2/ITGAM/ITGAL/PLCG2/CD74/BTK/GRP/FOXP3/PYCARD/SPN/APBB1IP/IRF8/NCKAP1L/HLA-DRA/HLA-DMB/PTGER4/CD86/NKG7/SYK/IL6/HAVCR2/FGL2/PTAFR/TYROBP/IL18/MILR1/TREM2/RELB/CD84/CD244/JUNB/NR4A3/SUCNR1/CX3CR1/GPR183/CD28/CCL3
GO:0002366	leukocyte activation involved in immune response	231	-0.565821050447054	-2.12892283081454	4.47900850459621e-12	1.35310846923851e-08	1.21852605053988e-08	1387	tags=26%, list=8%, signal=25%	LYN/CPLX2/LCP1/ITM2A/PTPN6/DLL1/IFNA2/FCER1G/PIK3CG/ZFPM1/CD300A/IL6R/KLRC2/LAT2/LILRA2/CORO1A/APLF/LEF1/PTPRC/EXO1/NLRP3/IL12RB1/ITGB2/TFRC/DOCK2/ITGAM/ITGAL/PLCG2/CD74/BTK/GRP/FOXP3/PYCARD/SPN/APBB1IP/IRF8/NCKAP1L/HLA-DRA/HLA-DMB/PTGER4/CD86/NKG7/SYK/IL6/HAVCR2/FGL2/PTAFR/TYROBP/IL18/MILR1/TREM2/RELB/CD84/CD244/JUNB/NR4A3/SUCNR1/CX3CR1/GPR183/CD28/CCL3
GO:0002694	regulation of leukocyte activation	486	-0.46126506053969	-1.86136848104722	1.82513663871593e-11	3.67582519037388e-08	3.31022150369215e-08	3133	tags=31%, list=18%, signal=26%	KLHL25/SCRIB/DUSP3/IL1RL2/LAT/RAC2/HMOX1/NFKBID/PRKCQ/INHA/MAPK8IP1/AP3D1/TGFB1/SNX4/CD300LF/SMARCC1/SHB/CARD11/EPHB2/MIR17HG/SOX4/EBI3/LILRB1/TGFBR2/AGER/CD38/HLA-A/IGF2/HLA-E/CYP26B1/MIF/NEDD9/JUND/CSK/TIRAP/B2M/F2RL1/THY1/KLRC3/HAVCR1/CEBPA/THEMIS2/ARG1/FES/ZBTB7B/DPP4/LOXL3/RASGRP1/BAD/HLA-DPB1/VAV1/TLR6/STX4/PDE5A/MPL/TNFSF8/LYN/TNFRSF1B/RASSF5/BID/PTPN6/ARG2/IFNA2/CCL2/FANCA/HLA-DPA1/ZAP70/CD300A/KLRC2/NFATC2/HLA-DMA/PLA2G4A/CORO1A/ID2/CX3CL1/APLF/VCAM1/ZFP36L2/ZFP36L1/VNN1/LEF1/PTPRC/HLA-DOA/LMO1/EGR3/NLRP3/INPP5D/IL12RB1/ITGB2/TFRC/MNDA/IL4I1/ITGAM/IL7R/LAPTM5/CD4/NRARP/NFAM1/RIPK3/PRDM1/RASAL3/CD74/SASH3/BTK/DOCK8/FOXP3/PIK3R6/PYCARD/MMP14/SPN/LST1/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/CD33/HAVCR2/FGL2/TNFAIP8L2/LILRB4/PTAFR/TYROBP/IL18/SAMSN1/ICOSLG/MILR1/TREM2/AIF1/PDCD1LG2/CD84/CLEC7A/JUNB/TNFRSF13C/TMIGD2/IL1A/IL1B/NR4A3/HLA-DQA1/GPR183/SIRPB1/CD28/TAFA3/CCL3
GO:0051249	regulation of lymphocyte activation	408	-0.472376203764369	-1.88674148177071	4.66031657834769e-11	7.03940819159418e-08	6.33925694565242e-08	3133	tags=31%, list=18%, signal=26%	KLHL25/SCRIB/DUSP3/IL1RL2/LAT/RAC2/NFKBID/PRKCQ/INHA/MAPK8IP1/AP3D1/TGFB1/SMARCC1/SHB/CARD11/EPHB2/MIR17HG/SOX4/EBI3/LILRB1/TGFBR2/AGER/CD38/HLA-A/IGF2/HLA-E/CYP26B1/MIF/NEDD9/CSK/TIRAP/B2M/THY1/KLRC3/THEMIS2/ARG1/ZBTB7B/DPP4/LOXL3/RASGRP1/BAD/HLA-DPB1/VAV1/PDE5A/MPL/TNFSF8/LYN/TNFRSF1B/RASSF5/BID/PTPN6/ARG2/IFNA2/CCL2/FANCA/HLA-DPA1/ZAP70/CD300A/KLRC2/NFATC2/HLA-DMA/CORO1A/ID2/APLF/VCAM1/ZFP36L2/ZFP36L1/VNN1/LEF1/PTPRC/HLA-DOA/LMO1/EGR3/NLRP3/INPP5D/IL12RB1/TFRC/MNDA/IL4I1/IL7R/LAPTM5/CD4/NRARP/NFAM1/RIPK3/PRDM1/RASAL3/CD74/SASH3/BTK/DOCK8/FOXP3/PIK3R6/PYCARD/MMP14/SPN/LST1/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/HAVCR2/FGL2/TNFAIP8L2/LILRB4/TYROBP/IL18/SAMSN1/ICOSLG/AIF1/PDCD1LG2/CLEC7A/JUNB/TNFRSF13C/TMIGD2/IL1A/IL1B/HLA-DQA1/GPR183/SIRPB1/CD28
GO:1903039	positive regulation of leukocyte cell-cell adhesion	224	-0.547349490122645	-2.06006425496385	6.84010218730654e-11	8.26557948314123e-08	7.44347120130264e-08	3227	tags=38%, list=18%, signal=31%	RARA/MYB/KLHL25/IL1RL2/GCNT1/NFKBID/PRKCQ/AP3D1/SMARCC1/SHB/CARD11/SOX4/EBI3/LILRB1/TGFBR2/AGER/HLA-A/IGF2/HLA-E/CSK/B2M/THY1/SELE/ZBTB7B/DPP4/RASGRP1/BAD/HLA-DPB1/CHST2/ETS1/VAV1/LYN/IRAK1/PTPN6/CCL2/HLA-DPA1/ZAP70/HLA-DMA/CORO1A/VCAM1/VNN1/LEF1/PTPRC/HLA-DOA/EGR3/NLRP3/IL12RB1/ITGB2/HAS2/TFRC/IL4I1/IL7R/CD4/RASAL3/CD74/SASH3/DOCK8/FOXP3/PIK3R6/PYCARD/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/HAVCR2/LILRB4/PTAFR/IL18/ICOSLG/AIF1/PDCD1LG2/TNFRSF13C/TMIGD2/IL1A/IL1B/NR4A3/HLA-DQA1/SIRPB1/CD28
GO:0050867	positive regulation of cell activation	325	-0.499366981196148	-1.95063852895203	8.56120843589035e-11	8.62113689494158e-08	7.76366428159951e-08	2872	tags=32%, list=16%, signal=27%	TGFB1/SNX4/SMARCC1/SHB/CARD11/EPHB2/SOX4/EBI3/LILRB1/TGFBR2/AGER/CD38/HLA-A/DDR2/IGF2/HLA-E/MIF/JUND/CSK/TIRAP/B2M/F2RL1/THY1/HAVCR1/CEBPA/GP1BB/ZBTB7B/DPP4/RASGRP1/BAD/HLA-DPB1/CCN2/VAV1/TLR6/STX4/MPL/LYN/PTPN6/CCL2/RPS6KA1/HLA-DPA1/ZAP70/KLRC2/NFATC2/HLA-DMA/LILRA2/PLA2G4A/CORO1A/VCAM1/VNN1/LEF1/PTPRC/HLA-DOA/EGR3/PLEK/NLRP3/INPP5D/IL12RB1/ITGB2/TFRC/IL4I1/ITGAM/IL7R/CD4/RASAL3/CD74/SASH3/BTK/DOCK8/FOXP3/PIK3R6/PYCARD/MMP14/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/HAVCR2/LILRB4/PTAFR/TYROBP/IL18/ICOSLG/TREM2/AIF1/PDCD1LG2/CLEC7A/TNFRSF13C/TMIGD2/IL1A/IL1B/NR4A3/HLA-DQA1/GPR183/SIRPB1/CD28/TAFA3/CCL3
GO:0022409	positive regulation of cell-cell adhesion	259	-0.525587767855233	-2.01018211799942	1.67780151788999e-10	1.44818239587019e-07	1.30414376631178e-07	3017	tags=34%, list=17%, signal=29%	GCNT1/NFKBID/PRKCQ/ADAM19/AP3D1/SMARCC1/SHB/CARD11/MYO10/SOX4/EBI3/LILRB1/TGFBR2/PTPN23/DMTN/AGER/HLA-A/IGF2/HLA-E/CSK/B2M/THY1/PIEZO1/SELE/ZBTB7B/DPP4/RASGRP1/BAD/HLA-DPB1/CHST2/ETS1/VAV1/LYN/IRAK1/PTPN6/CCL2/HLA-DPA1/ZAP70/HLA-DMA/CORO1A/CX3CL1/VCAM1/VNN1/LEF1/PTPRC/HLA-DOA/EGR3/NLRP3/IL12RB1/ITGB2/HAS2/TFRC/IL4I1/IL7R/CD4/RASAL3/CD74/SASH3/DOCK8/FOXP3/PIK3R6/PYCARD/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/HAVCR2/LILRB4/PTAFR/IL18/ICOSLG/AIF1/PDCD1LG2/TNFRSF13C/TMIGD2/IL1A/IL1B/NR4A3/HLA-DQA1/NODAL/SIRPB1/CD28
GO:0002696	positive regulation of leukocyte activation	314	-0.497282162628702	-1.93688619982178	3.48135211206128e-10	2.62929118263428e-07	2.367777508848e-07	2991	tags=32%, list=17%, signal=27%	NFKBID/PRKCQ/AP3D1/TGFB1/SNX4/SMARCC1/SHB/CARD11/EPHB2/SOX4/EBI3/LILRB1/TGFBR2/AGER/CD38/HLA-A/IGF2/HLA-E/MIF/JUND/CSK/TIRAP/B2M/F2RL1/THY1/HAVCR1/CEBPA/ZBTB7B/DPP4/RASGRP1/BAD/HLA-DPB1/VAV1/TLR6/STX4/MPL/LYN/PTPN6/CCL2/HLA-DPA1/ZAP70/KLRC2/NFATC2/HLA-DMA/PLA2G4A/CORO1A/VCAM1/VNN1/LEF1/PTPRC/HLA-DOA/EGR3/NLRP3/INPP5D/IL12RB1/ITGB2/TFRC/IL4I1/ITGAM/IL7R/CD4/RASAL3/CD74/SASH3/BTK/DOCK8/FOXP3/PIK3R6/PYCARD/MMP14/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/HAVCR2/LILRB4/PTAFR/TYROBP/IL18/ICOSLG/TREM2/AIF1/PDCD1LG2/CLEC7A/TNFRSF13C/TMIGD2/IL1A/IL1B/NR4A3/HLA-DQA1/GPR183/SIRPB1/CD28/TAFA3/CCL3
GO:0051251	positive regulation of lymphocyte activation	276	-0.513355725768497	-1.98016343834969	9.81190296787112e-10	6.58705752576414e-07	5.93189782934805e-07	2991	tags=31%, list=17%, signal=26%	NFKBID/PRKCQ/AP3D1/TGFB1/SMARCC1/SHB/CARD11/EPHB2/SOX4/EBI3/LILRB1/TGFBR2/AGER/CD38/HLA-A/IGF2/HLA-E/MIF/CSK/TIRAP/B2M/THY1/ZBTB7B/DPP4/RASGRP1/BAD/HLA-DPB1/VAV1/MPL/LYN/PTPN6/CCL2/HLA-DPA1/ZAP70/KLRC2/NFATC2/HLA-DMA/CORO1A/VCAM1/VNN1/LEF1/PTPRC/HLA-DOA/EGR3/NLRP3/INPP5D/IL12RB1/TFRC/IL4I1/IL7R/CD4/RASAL3/CD74/SASH3/BTK/DOCK8/FOXP3/PIK3R6/PYCARD/MMP14/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/CD86/SYK/IL6/HAVCR2/LILRB4/TYROBP/IL18/ICOSLG/AIF1/PDCD1LG2/CLEC7A/TNFRSF13C/TMIGD2/IL1A/IL1B/HLA-DQA1/GPR183/SIRPB1/CD28
GO:0042110	T cell activation	432	-0.455810280867128	-1.824444611783	1.21490682544205e-09	7.34046703932087e-07	6.61037197969469e-07	1461	tags=21%, list=8%, signal=20%	PDE5A/TNFSF8/LYN/TNFRSF1B/BID/LCP1/PTPN6/ARG2/IFNA2/CCL2/FANCA/HLA-DPA1/PRR7/FCER1G/PIK3CG/ZAP70/ZFPM1/CD300A/IL6R/ELF4/HLA-DMA/CORO1A/CD48/VCAM1/ZFP36L2/ZFP36L1/VNN1/LEF1/DLL4/CASP8/PTPRC/HLA-DOA/LMO1/EGR3/NLRP3/IL12RB1/TFRC/IL4I1/DOCK2/IL7R/ITGAL/LAPTM5/CD4/NRARP/RIPK3/PRDM1/RASAL3/CD74/SASH3/CCR9/DOCK8/FOXP3/PIK3R6/PYCARD/SPN/APBB1IP/NCKAP1L/CD5/HLA-DRA/HLA-DMB/CCL5/CD24/HLA-DQB2/PTGER4/CD86/FZD8/NKG7/WDFY4/SYK/IL6/HAVCR2/FGL2/TNFAIP8L2/LILRB4/IL18/ICOSLG/AIF1/PDCD1LG2/RELB/CD84/CLEC7A/JUNB/TNFRSF13C/TMIGD2/IL1A/IL1B/HLA-DQA1/EGR1/GPR183/SIRPB1/CD28
