ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
C0041408	Turner Syndrome	14/197	122/15225	5.83596892990179e-10	2.4662804697765e-06	2.36387457286969e-06	DMD/NR3C1/IGFBP3/ANOS1/RPS4X/RPS4Y1/KDM6A/UTY/XIST/ZFX/ZFY/USP9X/SMC1A/EFHC2	14
C0242526	Gonadal Dysgenesis, 45,X	6/197	18/15225	7.09350269589673e-08	0.000149885711964298	0.000143662096704266	DMD/RPS4X/KDM6A/XIST/ZFY/SMC1A	6
C0432475	XX males	6/197	24/15225	4.82069451990819e-07	0.000679075168037734	0.000650878333775675	STS/CD99/PRKX/PRKY/XIST/ZFY	6
C0432470	46, XY female	5/197	20/15225	4.56388442592358e-06	0.00482174389598826	0.0046215334923563	STS/CD99/PRKX/PRKY/ZFY	5
C1845977	X- linked recessive	11/197	156/15225	5.85140083259381e-06	0.00494560398370829	0.00474025061133073	STS/DDX3X/DMD/EIF2S3/ANOS1/UBA1/USP9X/KDM5C/SMC1A/OFD1/MAGED2	11
C2720163	Placental Steroid Sulfatase Deficiency	4/197	13/15225	1.77425217712085e-05	0.0124966495008545	0.0119777585571246	STS/DMD/ANOS1/PUDP	4
C4706552	Familial vesicoureteral reflux	3/197	5/15225	2.09329622772611e-05	0.0126375283691008	0.0121127877959249	ROBO2/TNXB/SOX17	3
C3266843	47, XYY syndrome	3/197	6/15225	4.14662213238369e-05	0.0219045314143168	0.020995002586069	ARSD/RPS4Y1/NLGN4Y	3
C0004509	Azoospermia	10/197	173/15225	8.56232485784398e-05	0.0402048720547207	0.0385354690678171	STS/NR3C1/ANOS1/TFRC/KDM5D/USP9Y/DDX3Y/EIF1AY/TTTY13/PRY2	10
C0020758	Congenital ichthyosis	6/197	58/15225	0.000100590467415572	0.0425095315298208	0.0407444335384339	STS/DMD/DSP/ANOS1/PUDP/NLGN4X	6
