ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
C0432475	XX males	7/237	22/15053	3.06095170937899e-08	0.000127304981593072	0.000123050258717035	AR/STS/CD99/PRKX/PRKY/XIST/ZFY	7
C1845977	X- linked recessive	14/237	155/15053	1.58800212159259e-07	0.000314104428292621	0.000303606588539634	AR/STS/DDX3X/EIF2S3/ANOS1/PAK3/RPL10/UBA1/USP9X/KDM5C/SMC1A/CASK/ATP6AP2/NEXMIF	14
C0242526	Gonadal Dysgenesis, 45,X	6/237	18/15053	2.26572080999727e-07	0.000314104428292621	0.000303606588539634	AR/RPS4X/KDM6A/XIST/ZFY/SMC1A	6
C0432470	46, XY female	6/237	20/15053	4.60729090337556e-07	0.000479043071678474	0.000463032735789244	AR/STS/CD99/PRKX/PRKY/ZFY	6
C0018055	Gonadal Dysgenesis, Mixed	4/237	6/15053	8.76784858739218e-07	0.000729309645499282	0.000704935026426332	APOD/AR/ZFY/DDX3Y	4
C0152421	Macrotia	14/237	182/15053	1.13248953307311e-06	0.000785003994675174	0.000758767987158981	DDX3X/EIF2S3/PAK3/PAX1/PIK3R1/PKHD1/UBA1/KDM6A/KDM5C/SMC1A/CASK/ZNHIT3/RAB3GAP2/NEXMIF	14
C0041408	Turner Syndrome	11/237	119/15053	2.7649331180939e-06	0.00164276526259322	0.00158786159067679	AR/ANOS1/RPS4X/RPS4Y1/KDM6A/UTY/XIST/ZFX/ZFY/USP9X/SMC1A	11
C1847879	X-linked dominant inheritance	8/237	62/15053	5.4520624267618e-06	0.00283439095411279	0.0027396613694478	COL4A5/DDX3X/LAMP2/KDM6A/USP9X/SMC1A/CASK/NEXMIF	8
C0796250	PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME	4/237	11/15053	1.81260287692667e-05	0.00837623929459781	0.00809629285027247	PAK3/RPL10/KDM5C/CASK	4
C1136249	Mental Retardation, X-Linked	10/237	121/15053	2.12642195006765e-05	0.00884378889033136	0.00854821623927196	AR/STS/PAK3/XIST/USP9X/KDM5C/CASK/ATP6AP2/BLTP1/NEXMIF	10
C0004509	Azoospermia	11/237	172/15053	8.90450524408636e-05	0.0336671248274138	0.032541919164752	AR/STS/CD44/ANOS1/KDM5D/USP9Y/DDX3Y/EIF1AY/MAGT1/HSFY2/CD24	11
C1855578	Exercise-induced muscle cramps	3/237	7/15053	0.000128724061491279	0.0427423891519132	0.0413138745829986	LAMP2/PFKM/SLC16A1	3
C0030486	Paraplegia	6/237	51/15053	0.000142375562212194	0.0427423891519132	0.0413138745829986	AR/CTSL/ANOS1/MBP/CYP7B1/CCT5	6
C0034935	Babinski Reflex	12/237	213/15053	0.000143879165214423	0.0427423891519132	0.0413138745829986	DDX3X/EIF2S3/ATXN3/PAK3/USP9X/KDM5C/CYP7B1/ATP6AP2/CCT5/SACS/VPS13D/TANGO2	12
