ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
C0041408	Turner Syndrome	12/111	121/15129	7.96743704493526e-11	2.26195537705712e-07	2.06063082309536e-07	IGF2/ANOS1/RPS4X/RPS4Y1/KDM6A/UTY/XIST/ZFX/ZFY/USP9X/SMC1A/PPIG	12
C0432475	XX males	6/111	22/15129	9.22961917397624e-09	1.31014444174593e-05	1.19353549002419e-05	STS/CD99/PRKX/PRKY/XIST/ZFY	6
C1845977	X- linked recessive	11/111	157/15129	2.05070379728238e-08	1.94064936016156e-05	1.76792253681502e-05	STS/DDX3X/EIF2S3/IGF2/ANOS1/UBA1/USP9X/KDM5C/SMC1A/ARHGEF9/ZC4H2	11
C0242526	Gonadal Dysgenesis, 45,X	5/111	18/15129	1.541756213697e-07	0.000109426147267145	9.96867109750931e-05	RPS4X/KDM6A/XIST/ZFY/SMC1A	5
C0432470	46, XY female	5/111	20/15129	2.75740029460008e-07	0.000156565188727393	0.000142630158396472	STS/CD99/PRKX/PRKY/ZFY	5
C0028960	Oligospermia	9/111	139/15129	8.21977621334813e-07	0.000388932411161589	0.000354315616775375	STS/IGF2/MEST/ATXN3/XIST/USP9Y/DDX3Y/HSFY2/CD24	9
C0004509	Azoospermia	9/111	173/15129	5.04968181821401e-06	0.00204800666884422	0.00186572454546644	STS/ANOS1/KDM5D/USP9Y/DDX3Y/EIF1AY/STEAP3/HSFY2/CD24	9
C1847879	X-linked dominant inheritance	6/111	62/15129	5.99282962645376e-06	0.00212670541368778	0.00193741873581538	COL4A5/DDX3X/KDM6A/USP9X/SMC1A/HDAC6	6
C1857276	Trichohepatoenteric Syndrome	11/111	354/15129	5.77591395518976e-05	0.0182197996875375	0.0165981527343874	STS/COL4A5/EIF2S3/HMOX2/IGF2/MEST/KDM6A/CXCR4/SMC1A/PUF60/NLRP2	11
C0796004	Kabuki make-up syndrome	4/111	31/15129	7.41197607757533e-05	0.0207984867619226	0.0189473246599225	ANOS1/KDM6A/UTY/XIST	4
C2720163	Placental Steroid Sulfatase Deficiency	3/111	12/15129	8.05858944632437e-05	0.0207984867619226	0.0189473246599225	STS/ANOS1/PUDP	3
C0548883	Low frustration tolerance	3/111	14/15129	0.000131913007906959	0.0312084191206547	0.0284307245988946	KDM5C/SMC1A/PUF60	3
C0022735	Klinefelter Syndrome	6/111	109/15129	0.000149363140855945	0.031846975836547	0.0290124467957198	STS/FGF2/ANOS1/KDM6A/XIST/KDM5C	6
C4021107	Non-obstructive azoospermia	6/111	110/15129	0.000157047432797343	0.031846975836547	0.0290124467957198	IGF2/ANOS1/PTK2/USP9Y/DDX3Y/CD24	6
C0023267	Fibroid Tumor	10/111	344/15129	0.000218536521935597	0.0413616790516773	0.0376802971505797	COL4A5/FGF2/IGF2/MEST/SLC3A2/XIST/PPIG/HDAC6/PCDH11X/CD24	10
C0936016	Testicular Feminization	3/111	17/15129	0.000242507653391996	0.0416451797391379	0.0379385649576618	IGF2/DDX3Y/PPIG	3
C0432072	Dysmorphic features	11/111	420/15129	0.000259537022345441	0.0416451797391379	0.0379385649576618	RUNX1/DDX3X/IGF2/ANOS1/KDM6A/USP9X/KDM5C/SMC1A/PUF60/ARHGEF9/ZC4H2	11
C1136249	Mental Retardation, X-Linked	6/111	121/15129	0.000264041294577134	0.0416451797391379	0.0379385649576618	STS/XIST/USP9X/KDM5C/ARHGEF9/NLGN4X	6
