RNum	BrNum
R13226	Br823
R12926	Br836
R12927	Br845
R13227	Br846
R13229	Br848
R13230	Br856
R12929	Br858
R13231	Br859
R13232	Br863
R13233	Br869
R12928	Br873
R13234	Br888
R13235	Br894
R12874	Br909
R13236	Br914
R13238	Br948
R12872	Br949
R13240	Br963
R13241	Br983
R12873	Br991
R13242	Br993
R13243	Br1003
R13244	Br1004
R13245	Br1006
R13246	Br1007
R13247	Br1016
R13248	Br1017
R13249	Br1021
R13472	Br1023
R13250	Br1025
R13251	Br1030
R13473	Br1033
R13474	Br1034
R13252	Br1039
R13253	Br1040
R13254	Br1041
R13255	Br1050
R13256	Br1053
R13257	Br1054
R13258	Br1056
R13261	Br1067
R13262	Br1069
R13263	Br1081
R13264	Br1084
R13265	Br1092
R13266	Br1093
R13268	Br1102
R13269	Br1109
R13270	Br1113
R13271	Br1122
R13272	Br1134
R13273	Br1135
R13274	Br1137
R13476	Br1139
R13277	Br1148
R13278	Br1156
R12890	Br1157
R13279	Br1160
R13280	Br1164
R12891	Br1167
R12930	Br1183
R12892	Br1185
R12893	Br1187
R13283	Br1189
R13284	Br1191
R13285	Br1193
R13286	Br1203
R13287	Br1204
R13288	Br1214
R13289	Br1221
R12973	Br1227
R13291	Br1228
R13477	Br1243
R13292	Br1245
R13293	Br1249
R13294	Br1250
R12894	Br1263
R13478	Br1264
R12931	Br1265
R12974	Br1271
R12975	Br1275
R13295	Br1276
R12976	Br1279
R12895	Br1280
R12977	Br1281
R12978	Br1283
R12979	Br1285
R13296	Br1288
R13298	Br1297
R13299	Br1298
R12864	Br1303
R13479	Br1304
R12962	Br1305
R12997	Br1306
R12998	Br1314
R12963	Br1315
R12865	Br1320
R12866	Br1321
R12964	Br1324
R12965	Br1325
R12867	Br1326
R13480	Br1339
R13300	Br1340
R13000	Br1346
R13001	Br1348
R13481	Br1350
R13002	Br1351
R13301	Br1356
R13302	Br1358
R13303	Br1371
R13482	Br1378
R13304	Br1383
R13010	Br1384
R13305	Br1389
R13012	Br1390
R13306	Br1399
R13014	Br1408
R13015	Br1410
R13016	Br1412
R13483	Br1416
R12868	Br1418
R12869	Br1420
R13032	Br1424
R13496	Br1432
R12870	Br1436
R12871	Br1441
R13311	Br1442
R13485	Br1443
R13486	Br1446
R12982	Br1447
R12983	Br1448
R13313	Br1453
R13314	Br1455
R13497	Br1458
R13316	Br1459
R13498	Br1463
R12984	Br1464
R13318	Br1474
R12985	Br1479
R13319	Br1485
R13320	Br1487
R13321	Br1492
R13034	Br1494
R13322	Br1497
R13323	Br1498
R13487	Br1499
R13324	Br1503
R13035	Br1504
R13326	Br1507
R13327	Br1509
R13328	Br1517
R13330	Br1522
R13331	Br1525
R13332	Br1526
R13333	Br1527
R13488	Br1529
R13036	Br1531
R13334	Br1532
R13335	Br1536
R13336	Br1537
R13337	Br1538
R13338	Br1539
R13339	Br1548
R13340	Br1550
R13341	Br1552
R13342	Br1553
R13343	Br1556
R13344	Br1558
R13346	Br1563
R13347	Br1565
R13348	Br1568
R13349	Br1571
R13350	Br1573
R13351	Br1576
R13352	Br1578
R13353	Br1579
R13354	Br1580
R13499	Br1581
R13355	Br1585
R13357	Br1588
R13358	Br1590
R13359	Br1594
R13360	Br1595
R13361	Br1602
R13362	Br1604
R13363	Br1605
R12966	Br1610
R13364	Br1611
R13365	Br1613
R13366	Br1615
R13368	Br1624
R13490	Br1637
R13370	Br1644
R13491	Br1646
R13492	Br1648
R13493	Br1649
R13372	Br1654
R13373	Br1657
R13374	Br1663
R13375	Br1664
R13376	Br1665
R13378	Br1669
R13379	Br1670
R13380	Br1672
R13381	Br1674
R13382	Br1676
R13494	Br1678
R13500	Br1682
R13383	Br1688
R13385	Br1691
R13386	Br1693
R13387	Br1695
R13388	Br1697
R13389	Br1700
R13390	Br1703
R13393	Br1722
R13395	Br1735
R13495	Br1738
R13396	Br1740
R13397	Br1750
R13398	Br1751
R13399	Br1753
R13400	Br1756
R13401	Br1761
R13402	Br1764
R13403	Br1832
R13405	Br1840
R13406	Br1842
R13407	Br1848
R13408	Br1856
R13409	Br1865
R13410	Br1883
R13502	Br1890
