Feature	gencodeID	Symbol	ensemblID	Chrom	logFC	t	adj.P.Val	Male_Pval	Male_FDR	Type
ENSG00000111181.12	ENSG00000111181.12	SLC6A12	ENSG00000111181	chr12	-0.456838275348312	-4.9173492957983	0.0011061685902912	0.0868985078064261	0.13331549879841256	gene
ENSG00000070915.9	ENSG00000070915.9	SLC12A3	ENSG00000070915	chr16	0.848494965866163	4.75615955040664	0.0016801226465645	0.3496661486460911	0.37832738770188057	gene
ENSG00000263006.6	ENSG00000263006.6	ROCK1P1	ENSG00000263006	chr18	0.53773254065625	4.49887658705119	0.0032650025136055	0.14234505074865955	0.1873658109854449	gene
ENSG00000141750.6	ENSG00000141750.6	STAC2	ENSG00000141750	chr17	0.264285279583017	4.39235866892642	0.0042309003310002	0.4360498893622968	0.4471091256867029	gene
ENSG00000249669.8	ENSG00000249669.8	CARMN	ENSG00000249669	chr5	-0.536151501256739	-4.28519311060422	0.0054333416778693	0.061475022730065165	0.10056318747172509	gene
ENSG00000167703.14	ENSG00000167703.14	SLC43A2	ENSG00000167703	chr17	0.266793887152917	4.15648019975759	0.0076189404280782	0.21271713103626616	0.25563294204973513	gene
ENSG00000224273.2	ENSG00000224273.2		ENSG00000224273	chr7	0.625795921638941	4.11601810216864	0.0082054774984083	0.2973125623711047	0.32995864765106914	gene
ENSG00000003137.8	ENSG00000003137.8	CYP26B1	ENSG00000003137	chr2	0.340900352954137	4.07742496806647	0.0089372244868184	0.46555676418366965	0.46887033545899826	gene
ENSG00000169031.18	ENSG00000169031.18	COL4A3	ENSG00000169031	chr2	-0.320814306127601	-4.06807970400082	0.0090799596072188	0.1609560076895531	0.20704795534610695	gene
ENSG00000228878.7	ENSG00000228878.7	SEPT7-AS1	ENSG00000228878	chr7	-0.268388602286534	-4.05347517207997	0.009354321801002	0.11508808766069656	0.16137233856528602	gene
ENSG00000183298.5	ENSG00000183298.5	RPSAP19	ENSG00000183298	chr1	-0.705589104734024	-4.00626502209138	0.0101294315369957	0.30560264437885576	0.3378341732781882	gene
ENSG00000160209.18	ENSG00000160209.18	PDXK	ENSG00000160209	chr21	0.153854825810398	3.99895852557468	0.0101387766946861	0.4124431544864625	0.43294884354921576	gene
ENSG00000224348.2	ENSG00000224348.2		ENSG00000224348	chr1	-0.405801363196513	-3.95697306537048	0.010808690663281	0.07937709073872273	0.12410893192850019	gene
ENSG00000101444.12	ENSG00000101444.12	AHCY	ENSG00000101444	chr20	0.0947946653061176	3.92951637920462	0.0113519088229258	0.05379440133119321	0.09170973238992579	gene
ENSG00000133624.13	ENSG00000133624.13	ZNF767P	ENSG00000133624	chr7	-0.114725897348286	-3.90104900524315	0.011911734446563	0.05644522835772001	0.09565269236667524	gene
ENSG00000240230.5	ENSG00000240230.5	COX19	ENSG00000240230	chr7	0.157520871945423	3.89782602778712	0.0120113868592198	0.11601484381804716	0.16137233856528602	gene
ENSG00000188856.6	ENSG00000188856.6	RPSAP47	ENSG00000188856	chr8	-1.99943433881814	-3.8882004453761	0.0122513784901591	0.21225684318731147	0.25563294204973513	gene
ENSG00000149201.9	ENSG00000149201.9	CCDC81	ENSG00000149201	chr11	0.31378316374613	3.85258451606313	0.0135483305200211	0.2349994320720366	0.27368246615796854	gene
ENSG00000121417.13	ENSG00000121417.13	ZNF211	ENSG00000121417	chr19	-0.105391542547574	-3.84721500909666	0.0136065826342082	0.09655782820154074	0.14382034411071595	gene
ENSG00000223749.8	ENSG00000223749.8	MIR503HG	ENSG00000223749	chrX	-0.6477111114055	-3.8234474561188	0.0144310513908895	0.37403292439266256	0.40247649278754183	gene
ENSG00000155827.11	ENSG00000155827.11	RNF20	ENSG00000155827	chr9	-0.0886564348648481	-3.78737690564803	0.0157295996592256	0.07456904259381578	0.11789407292765286	gene
ENSG00000280205.1	ENSG00000280205.1		ENSG00000280205	chr18	0.370646838113468	3.78136831157148	0.0158488389004462	0.17611732215536002	0.22350314874424612	gene
ENSG00000227695.5	ENSG00000227695.5	DNMBP-AS1	ENSG00000227695	chr10	0.804599944412066	3.74745529140276	0.0171216498293616	0.3072728774803305	0.33835884952114215	gene
ENSG00000154767.14	ENSG00000154767.14	XPC	ENSG00000154767	chr3	-0.118126597222624	-3.74522232077241	0.0171796647887569	0.0697738552112081	0.11155932782357002	gene
ENSG00000137776.16	ENSG00000137776.16	SLTM	ENSG00000137776	chr15	-0.110102489143127	-3.74345383992387	0.0171796647887569	0.11632493663363375	0.16137233856528602	gene
ENSG00000237506.3	ENSG00000237506.3	RPSAP15	ENSG00000237506	chrX	-0.571256917409998	-3.74279933502361	0.0171796647887569	0.17325855236070786	0.22086563206342488	gene
ENSG00000278897.1	ENSG00000278897.1		ENSG00000278897	chr19	-0.240280033243843	-3.73497948546636	0.0175239751432223	0.3391543215393339	0.3705817490178822	gene
ENSG00000196932.11	ENSG00000196932.11	TMEM26	ENSG00000196932	chr10	-0.654676176421777	-3.71930273356293	0.0179640342649988	0.47881206953383915	0.47881206953383915	gene
ENSG00000171492.14	ENSG00000171492.14	LRRC8D	ENSG00000171492	chr1	-0.208623095631413	-3.70965642988436	0.0181903157458304	0.07937709073872273	0.12410893192850019	gene
ENSG00000176444.18	ENSG00000176444.18	CLK2	ENSG00000176444	chr1	-0.116814984378449	-3.70061996010612	0.0183555241526215	0.05225184483227908	0.09075251514965062	gene
ENSG00000221926.11	ENSG00000221926.11	TRIM16	ENSG00000221926	chr17	0.183750226410383	3.69205057134036	0.0187356280910194	0.06013855638178435	0.09957332231284298	gene
ENSG00000251513.2	ENSG00000251513.2		ENSG00000251513	chr5	-0.363576076259492	-3.6873665728645	0.018955384171109	0.05242148571760983	0.09075251514965062	gene
ENSG00000213965.3	ENSG00000213965.3	NUDT19	ENSG00000213965	chr19	0.150456918975758	3.67147604388139	0.0197116465226351	0.06643816297324577	0.10744000069387745	gene
ENSG00000175183.9	ENSG00000175183.9	CSRP2	ENSG00000175183	chr12	0.356618215279142	3.6574668362643	0.0202475200941254	0.13880498323562945	0.18442164439287856	gene
ENSG00000271848.1	ENSG00000271848.1		ENSG00000271848	chr10	-0.420757586279209	-3.65681994146594	0.0202475200941254	0.25595595769334095	0.292661415425462	gene
ENSG00000152465.17	ENSG00000152465.17	NMT2	ENSG00000152465	chr10	0.121161614485699	3.66045280610611	0.0202475200941254	0.4186284581598598	0.43716551165771333	gene
ENSG00000077097.14	ENSG00000077097.14	TOP2B	ENSG00000077097	chr3	-0.0937605187664087	-3.64547259777912	0.0206669617790844	0.3496661486460911	0.37832738770188057	gene
ENSG00000275835.4	ENSG00000275835.4	TUBGCP5	ENSG00000275835	chr15	-0.161976876502839	-3.64400648483508	0.020712531610142	0.17325855236070786	0.22086563206342488	gene
ENSG00000258839.2	ENSG00000258839.2	MC1R	ENSG00000258839	chr16	0.301670598274784	3.63877673118822	0.0208313301131771	0.13636290691071162	0.18376525074157804	gene
ENSG00000138750.14	ENSG00000138750.14	NUP54	ENSG00000138750	chr4	-0.104062677060237	-3.61928650087042	0.0216784885855604	0.09547705649992605	0.14296299994433373	gene
ENSG00000220563.1	ENSG00000220563.1	PKMP3	ENSG00000220563	chr6	0.246607925282151	3.61485714200883	0.0218596633489221	0.19345563916034103	0.2380345473146805	gene
ENSG00000166762.16	ENSG00000166762.16	CATSPER2	ENSG00000166762	chr15	-0.211474905792422	-3.59147972744813	0.0229168751634063	0.2864219204752012	0.32165636307334106	gene
ENSG00000107263.18	ENSG00000107263.18	RAPGEF1	ENSG00000107263	chr9	0.14018193178469	3.57827129681781	0.0235461226872148	0.15370474337408246	0.19953413933424466	gene
ENSG00000136824.18	ENSG00000136824.18	SMC2	ENSG00000136824	chr9	-0.183720065203045	-3.55679839357032	0.0246958349915491	0.2564665407261999	0.292661415425462	gene
ENSG00000183439.7	ENSG00000183439.7	TRIM61	ENSG00000183439	chr4	0.440292065861237	3.5548376876864	0.0247165260549372	0.0868985078064261	0.13331549879841256	gene
ENSG00000196378.11	ENSG00000196378.11	ZNF34	ENSG00000196378	chr8	-0.129583655540415	-3.55317552865834	0.0247607306754762	0.08994878625306602	0.1361257032599876	gene
ENSG00000173391.8	ENSG00000173391.8	OLR1	ENSG00000173391	chr12	-0.448710472691678	-3.55166790927935	0.0248335443189504	0.219691075858781	0.26013629484533485	gene
ENSG00000260392.5	ENSG00000260392.5		ENSG00000260392	chr15	0.504503238201528	3.5498389790885	0.0248877210508947	0.08055571872577877	0.12525971648019446	gene
ENSG00000180287.16	ENSG00000180287.16	PLD5	ENSG00000180287	chr1	-0.289699390892007	-3.54114913826249	0.0252578958660083	0.05208264019675497	0.09075251514965062	gene
ENSG00000006432.15	ENSG00000006432.15	MAP3K9	ENSG00000006432	chr14	0.118383392727074	3.53273274116084	0.0255850557877713	0.18234313317498874	0.22732646118291547	gene
ENSG00000224764.1	ENSG00000224764.1		ENSG00000224764	chr9	-0.533948418988643	-3.50406575288416	0.0270996305851237	0.20227863714633076	0.24674506169142932	gene
ENSG00000142945.12	ENSG00000142945.12	KIF2C	ENSG00000142945	chr1	0.559717380896034	3.49628001784722	0.0276723700530134	0.09764756058882879	0.14468198767873583	gene
ENSG00000000457.13	ENSG00000000457.13	SCYL3	ENSG00000000457	chr1	-0.120594886700211	-3.49326674011462	0.0279051962246069	0.3362560286235673	0.36883897713360286	gene
ENSG00000281880.1	ENSG00000281880.1	PAUPAR	ENSG00000281880	chr11	0.511381183187641	3.47954199085754	0.0284722790571579	0.15071730475932438	0.19655759099948755	gene
ENSG00000276550.4	ENSG00000276550.4	HERC2P2	ENSG00000276550	chr15	-0.422635772650639	-3.47477232401995	0.028599981444218	0.13567060256817354	0.1837070838602541	gene
ENSG00000160233.7	ENSG00000160233.7	LRRC3	ENSG00000160233	chr21	0.36062745870562	3.47174413957681	0.0286720278088264	0.26626748872193706	0.3002139414673633	gene
ENSG00000151353.14	ENSG00000151353.14	TMEM18	ENSG00000151353	chr2	-0.13614353021111	-3.46756008806732	0.0289787379664335	0.09902237279490256	0.14595485156748658	gene
ENSG00000279311.1	ENSG00000279311.1		ENSG00000279311	chr3	0.314501724681435	3.46542438640454	0.029137587789368	0.4050495228233911	0.42932215340456803	gene
ENSG00000068971.13	ENSG00000068971.13	PPP2R5B	ENSG00000068971	chr11	0.140654093866428	3.46359668919841	0.0292176354392625	0.29676356145871663	0.32995864765106914	gene
ENSG00000158270.11	ENSG00000158270.11	COLEC12	ENSG00000158270	chr18	-0.317815350017261	-3.46361332583435	0.0292176354392625	0.4323050603631956	0.44488120757376126	gene
