Gene name	Gene ID	Chr	Start position	End position	Transcript type	Combined XCI status
PLCXD1	ENSG00000182378.8	X	192989	220023	protein_coding	escape
GTPBP6	ENSG00000178605.8	X	220025	230886	protein_coding	escape
PPP2R3B	ENSG00000167393.12	X	294698	347690	protein_coding	escape
SHOX	ENSG00000185960.8	X	585079	620146	protein_coding	escape
CSF2RA	ENSG00000198223.10	X	1387693	1429274	protein_coding	escape
IL3RA	ENSG00000185291.6	X	1455509	1501578	protein_coding	escape
SLC25A6	ENSG00000169100.8	X	1505045	1511617	protein_coding	escape
LINC00106	ENSG00000236871.2	X	1515320	1518295	lincRNA	escape
ASMTL-AS1	ENSG00000236017.3	X	1520662	1532921	antisense	escape
ASMTL	ENSG00000169093.10	X	1522032	1572655	protein_coding	escape
P2RY8	ENSG00000182162.5	X	1581465	1656000	protein_coding	escape
AKAP17A	ENSG00000197976.6	X	1710486	1721407	protein_coding	escape
ASMT	ENSG00000196433.7	X	1733894	1761974	protein_coding	escape
DHRSX	ENSG00000169084.8	X	2137557	2420846	protein_coding	escape
ZBED1	ENSG00000214717.5	X	2404455	2419008	protein_coding	escape
CD99P1	ENSG00000223773.2	X	2527389	2575270	pseudogene	escape
CD99	ENSG00000002586.13	X	2609220	2659350	protein_coding	escape
XG	ENSG00000124343.8	X	2670091	2734539	protein_coding	escape
GYG2	ENSG00000056998.14	X	2746829	2800859	protein_coding	escape
ARSD	ENSG00000006756.11	X	2822011	2847392	protein_coding	escape
ARSE	ENSG00000157399.10	X	2852699	2886286	protein_coding	escape
ARSH	ENSG00000205667.2	X	2924654	2951612	protein_coding	escape
ARSF	ENSG00000062096.10	X	2959512	3030767	protein_coding	escape
CXorf28	ENSG00000228459.2	X	3189861	3202694	protein_coding	escape
MXRA5	ENSG00000101825.7	X	3226606	3264682	protein_coding	escape
PRKX	ENSG00000183943.5	X	3522411	3631649	protein_coding	escape
RP11-706O15.1	ENSG00000205664.6	X	3735569	3761898	protein_coding	escape
NLGN4X	ENSG00000146938.10	X	5758678	6146904	protein_coding	variable
HDHD1	ENSG00000130021.9	X	6966961	7066231	protein_coding	escape
STS	ENSG00000101846.6	X	7137497	7272851	protein_coding	escape
PNPLA4	ENSG00000006757.7	X	7866288	7895780	protein_coding	escape
KAL1	ENSG00000011201.6	X	8496915	8700227	protein_coding	escape
FAM9B	ENSG00000177138.11	X	8992273	9132680	protein_coding	variable
TBL1X	ENSG00000101849.11	X	9431335	9687780	protein_coding	variable
GPR143	ENSG00000101850.8	X	9693386	9754337	protein_coding	variable
SHROOM2	ENSG00000146950.8	X	9754496	9917483	protein_coding	variable
WWC3	ENSG00000047644.13	X	9983602	10112518	protein_coding	inactive
CLCN4	ENSG00000073464.7	X	10125024	10205700	protein_coding	inactive
MID1	ENSG00000101871.10	X	10413350	10851773	protein_coding	inactive
HCCS	ENSG00000004961.10	X	11129421	11141198	protein_coding	inactive
ARHGAP6	ENSG00000047648.17	X	11136239	11683821	protein_coding	inactive
MSL3	ENSG00000005302.13	X	11776278	11793870	protein_coding	escape
FRMPD4	ENSG00000169933.8	X	12156585	12742642	protein_coding	inactive
PRPS2	ENSG00000101911.8	X	12809474	12842341	protein_coding	inactive
TLR7	ENSG00000196664.4	X	12885202	12908499	protein_coding	inactive
TLR8-AS1	ENSG00000233338.1	X	12920936	12926452	antisense	variable
FAM9C	ENSG00000187268.7	X	13053737	13062801	protein_coding	escape
GS1-600G8.5	ENSG00000235385.1	X	13284167	13321571	lincRNA	escape
ATXN3L	ENSG00000123594.3	X	13336770	13338518	protein_coding	variable
EGFL6	ENSG00000198759.7	X	13587724	13651694	protein_coding	inactive
TCEANC	ENSG00000176896.7	X	13671225	13700083	protein_coding	escape
RAB9A	ENSG00000123595.5	X	13707244	13728625	protein_coding	escape
TRAPPC2	ENSG00000196459.9	X	13730363	13752754	protein_coding	escape
OFD1	ENSG00000046651.10	X	13752832	13787480	protein_coding	escape
GPM6B	ENSG00000046653.10	X	13789150	13956757	protein_coding	escape
GEMIN8	ENSG00000046647.9	X	14026398	14048012	protein_coding	escape
GLRA2	ENSG00000101958.9	X	14547420	14749934	protein_coding	inactive
FANCB	ENSG00000181544.9	X	14861529	14891191	protein_coding	inactive
MOSPD2	ENSG00000130150.7	X	14891563	14940449	protein_coding	inactive
ASB9	ENSG00000102048.11	X	15253410	15288589	protein_coding	inactive
ASB11	ENSG00000165192.9	X	15298053	15333778	protein_coding	variable
PIGA	ENSG00000165195.9	X	15337573	15353676	protein_coding	inactive
FIGF	ENSG00000165197.4	X	15363713	15402498	protein_coding	inactive
PIR	ENSG00000087842.6	X	15402921	15511687	protein_coding	variable
BMX	ENSG00000102010.10	X	15482369	15574652	protein_coding	variable
ACE2	ENSG00000130234.6	X	15579156	15620271	protein_coding	escape
TMEM27	ENSG00000147003.5	X	15645441	15683154	protein_coding	escape
CA5BP1	ENSG00000186312.6	X	15693055	15721847	pseudogene	escape
CA5B	ENSG00000169239.8	X	15706953	15805747	protein_coding	escape
ZRSR2	ENSG00000169249.8	X	15808595	15841383	protein_coding	escape
AP1S2	ENSG00000182287.9	X	15843929	15873054	protein_coding	escape
GRPR	ENSG00000126010.5	X	16141679	16171144	protein_coding	variable
CTPS2	ENSG00000047230.10	X	16606126	16731059	protein_coding	variable
S100G	ENSG00000169906.5	X	16668281	16672793	protein_coding	escape
SYAP1	ENSG00000169895.5	X	16737755	16783459	protein_coding	escape
TXLNG	ENSG00000086712.8	X	16804550	16862642	protein_coding	escape
RBBP7	ENSG00000102054.13	X	16857406	16888537	protein_coding	variable
REPS2	ENSG00000169891.13	X	16964814	17171395	protein_coding	inactive
NHS	ENSG00000188158.10	X	17393543	17754114	protein_coding	variable
SCML1	ENSG00000047634.10	X	17755588	17773105	protein_coding	inactive
RAI2	ENSG00000131831.13	X	17818169	17879457	protein_coding	inactive
BEND2	ENSG00000177324.9	X	18181051	18239024	protein_coding	variable
SCML2	ENSG00000102098.13	X	18257434	18372847	protein_coding	inactive
CDKL5	ENSG00000008086.6	X	18443703	18671749	protein_coding	inactive
RS1	ENSG00000102104.8	X	18658030	18690229	protein_coding	inactive
PPEF1	ENSG00000086717.14	X	18694029	18846039	protein_coding	variable
PHKA2	ENSG00000044446.7	X	18910418	19002716	protein_coding	inactive
GPR64	ENSG00000173698.13	X	19007427	19140755	protein_coding	inactive
PDHA1	ENSG00000131828.9	X	19362011	19379823	protein_coding	inactive
MAP3K15	ENSG00000180815.10	X	19378174	19533379	protein_coding	variable
SH3KBP1	ENSG00000147010.13	X	19552093	19905719	protein_coding	inactive
