module,medianRank.pres,medianRank.qual,Zsummary.pres,Zsummary.qual,region,diagnosis
black,19,18.5,61.0,45.0,Caudate,CTL
blue,6,11.5,130.0,82.0,Caudate,CTL
brown,4,10.5,120.0,87.0,Caudate,CTL
cyan,16,7.0,50.0,62.0,Caudate,CTL
gold,21,21.0,26.0,0.04,Caudate,CTL
green,11,14.0,100.0,55.0,Caudate,CTL
greenyellow,10,16.0,63.0,48.0,Caudate,CTL
grey,22,22.0,23.0,-21.0,Caudate,CTL
grey60,4,4.0,49.0,48.0,Caudate,CTL
lightcyan,15,2.0,43.0,46.0,Caudate,CTL
lightgreen,12,10.0,42.0,36.0,Caudate,CTL
lightyellow,10,3.5,42.0,45.0,Caudate,CTL
magenta,17,10.0,72.0,54.0,Caudate,CTL
midnightblue,3,9.0,53.0,47.0,Caudate,CTL
pink,7,16.5,77.0,54.0,Caudate,CTL
purple,3,6.0,80.0,55.0,Caudate,CTL
red,18,13.5,82.0,74.0,Caudate,CTL
royalblue,1,1.0,51.0,41.0,Caudate,CTL
salmon,9,6.0,62.0,62.0,Caudate,CTL
tan,14,14.5,59.0,54.0,Caudate,CTL
turquoise,12,18.5,110.0,75.0,Caudate,CTL
yellow,20,20.0,43.0,35.0,Caudate,CTL
black,7,10.0,61.0,78.0,Caudate,SZ
blue,18,18.5,78.0,75.0,Caudate,SZ
brown,8,16.0,120.0,62.0,Caudate,SZ
cyan,13,5.0,38.0,55.0,Caudate,SZ
gold,21,21.0,20.0,-0.091,Caudate,SZ
green,7,14.5,100.0,99.0,Caudate,SZ
greenyellow,11,9.0,47.0,59.0,Caudate,SZ
grey,22,22.0,14.0,-21.0,Caudate,SZ
grey60,1,6.0,45.0,46.0,Caudate,SZ
lightcyan,4,1.0,40.0,50.0,Caudate,SZ
lightgreen,18,7.5,22.0,36.0,Caudate,SZ
lightyellow,8,4.5,33.0,42.0,Caudate,SZ
magenta,17,7.0,41.0,68.0,Caudate,SZ
midnightblue,10,17.0,42.0,35.0,Caudate,SZ
pink,14,14.5,48.0,50.0,Caudate,SZ
purple,17,9.0,40.0,69.0,Caudate,SZ
red,14,18.5,54.0,39.0,Caudate,SZ
royalblue,10,12.0,29.0,31.0,Caudate,SZ
salmon,9,3.0,41.0,51.0,Caudate,SZ
tan,2,2.0,54.0,68.0,Caudate,SZ
turquoise,19,20.0,67.0,38.0,Caudate,SZ
yellow,4,12.5,110.0,66.0,Caudate,SZ
black,16,11.5,95.0,59.0,DLPFC,CTL
blue,22,22.0,87.0,35.0,DLPFC,CTL
brown,7,7.0,140.0,84.0,DLPFC,CTL
cyan,13,4.5,66.0,44.0,DLPFC,CTL
darkgreen,9,9.5,50.0,27.0,DLPFC,CTL
darkgrey,1,9.0,49.0,25.0,DLPFC,CTL
darkred,7,13.5,53.0,26.0,DLPFC,CTL
darkturquoise,18,13.5,45.0,21.0,DLPFC,CTL
gold,26,26.0,30.0,0.65,DLPFC,CTL
green,12,16.0,100.0,59.0,DLPFC,CTL
greenyellow,17,10.0,79.0,50.0,DLPFC,CTL
grey,27,27.0,3.1,-23.0,DLPFC,CTL
grey60,20,15.5,49.0,25.0,DLPFC,CTL
lightcyan,25,24.0,22.0,11.0,DLPFC,CTL
lightgreen,8,2.0,53.0,34.0,DLPFC,CTL
lightyellow,6,4.5,49.0,31.0,DLPFC,CTL
magenta,5,3.0,100.0,60.0,DLPFC,CTL
midnightblue,12,6.0,58.0,38.0,DLPFC,CTL
orange,17,11.0,38.0,21.0,DLPFC,CTL
pink,12,19.5,100.0,29.0,DLPFC,CTL
purple,24,24.0,50.0,19.0,DLPFC,CTL
red,15,21.0,95.0,34.0,DLPFC,CTL
royalblue,8,18.0,51.0,20.0,DLPFC,CTL
salmon,10,14.5,69.0,37.0,DLPFC,CTL
tan,2,1.0,86.0,53.0,DLPFC,CTL
turquoise,20,19.5,120.0,50.0,DLPFC,CTL
yellow,23,24.0,61.0,24.0,DLPFC,CTL
black,2,3.5,95.0,78.0,DLPFC,SZ
blue,27,30.0,50.0,15.0,DLPFC,SZ
brown,25,27.5,51.0,33.0,DLPFC,SZ
cyan,19,18.0,58.0,45.0,DLPFC,SZ
darkgreen,28,21.0,30.0,27.0,DLPFC,SZ
darkgrey,13,13.5,44.0,37.0,DLPFC,SZ
darkorange,5,2.0,39.0,38.0,DLPFC,SZ
darkred,16,16.0,47.0,38.0,DLPFC,SZ
darkturquoise,14,20.5,44.0,28.0,DLPFC,SZ
gold,31,31.0,28.0,0.25,DLPFC,SZ
green,21,24.5,51.0,44.0,DLPFC,SZ
greenyellow,11,10.0,74.0,69.0,DLPFC,SZ
grey,32,32.0,6.5,-20.0,DLPFC,SZ
grey60,23,17.5,37.0,30.0,DLPFC,SZ
lightcyan,15,12.5,51.0,47.0,DLPFC,SZ
lightgreen,10,3.5,57.0,54.0,DLPFC,SZ
lightyellow,25,22.5,32.0,31.0,DLPFC,SZ
magenta,18,23.5,72.0,42.0,DLPFC,SZ
midnightblue,10,11.0,64.0,56.0,DLPFC,SZ
orange,2,5.5,43.0,34.0,DLPFC,SZ
pink,16,18.5,69.0,55.0,DLPFC,SZ
purple,23,26.0,52.0,38.0,DLPFC,SZ
red,13,14.0,77.0,62.0,DLPFC,SZ
royalblue,20,24.5,38.0,25.0,DLPFC,SZ
saddlebrown,30,14.0,6.8,28.0,DLPFC,SZ
salmon,4,9.0,76.0,59.0,DLPFC,SZ
skyblue,6,7.0,36.0,31.0,DLPFC,SZ
steelblue,4,1.0,25.0,28.0,DLPFC,SZ
tan,8,7.5,80.0,64.0,DLPFC,SZ
turquoise,26,28.0,51.0,38.0,DLPFC,SZ
white,9,6.5,36.0,34.0,DLPFC,SZ
yellow,21,26.5,62.0,36.0,DLPFC,SZ
black,28,18.0,49.0,75.0,Hippocampus,CTL
blue,10,10.0,120.0,130.0,Hippocampus,CTL
