gene_id	module
7SK|ENSG00000271394.1	grey
7SK|ENSG00000274303.1	grey
A1BG-AS1|ENSG00000268895.6	grey
A1BG|ENSG00000121410.12	grey
A2M-AS1|ENSG00000245105.4	grey
A2ML1|ENSG00000166535.20	grey
A2MP1|ENSG00000256069.7	grey
A2M|ENSG00000175899.15	pink
A4GALT|ENSG00000128274.17	grey
AA06|ENSG00000265544.1	blue
AAAS|ENSG00000094914.14	magenta
AACSP1|ENSG00000250420.8	grey
AACS|ENSG00000081760.17	blue
AADAT|ENSG00000109576.14	grey
AAGAB|ENSG00000103591.13	lightcyan
AAK1|ENSG00000115977.21	red
AAMDC|ENSG00000087884.16	blue
AAMP|ENSG00000127837.10	darkgrey
AAR2|ENSG00000131043.13	grey
AARD|ENSG00000205002.4	grey
AARS1|ENSG00000090861.17	darkgrey
AARS2|ENSG00000124608.5	cyan
AARSD1|ENSG00000266967.7	lightgreen
AASDHPPT|ENSG00000149313.11	brown
AASDH|ENSG00000157426.14	green
AASS|ENSG00000008311.16	darkgreen
AATBC|ENSG00000215458.8	grey
AATF|ENSG00000275700.6	grey
AATK|ENSG00000181409.14	turquoise
ABAT|ENSG00000183044.12	grey60
ABCA10|ENSG00000154263.18	grey
ABCA11P|ENSG00000251595.7	lightyellow
ABCA12|ENSG00000144452.15	orange
ABCA13|ENSG00000179869.15	darkred
ABCA17P|ENSG00000238098.9	grey
ABCA1|ENSG00000165029.17	grey
ABCA2|ENSG00000107331.18	turquoise
ABCA3|ENSG00000167972.14	blue
ABCA4|ENSG00000198691.14	yellow
ABCA5|ENSG00000154265.16	grey
ABCA6|ENSG00000154262.13	grey
ABCA7|ENSG00000064687.13	grey
ABCA8|ENSG00000141338.15	turquoise
ABCA9|ENSG00000154258.17	royalblue
ABCB10|ENSG00000135776.5	grey
ABCB11|ENSG00000073734.10	grey
ABCB1|ENSG00000085563.15	grey
ABCB4|ENSG00000005471.19	grey
ABCB6|ENSG00000115657.14	blue
ABCB7|ENSG00000131269.19	salmon
ABCB8|ENSG00000197150.13	purple
ABCB9|ENSG00000150967.19	blue
ABCC10|ENSG00000124574.15	purple
ABCC11|ENSG00000121270.16	grey
ABCC12|ENSG00000140798.17	magenta
ABCC1|ENSG00000103222.20	yellow
ABCC2|ENSG00000023839.12	grey
ABCC3|ENSG00000108846.16	grey
ABCC4|ENSG00000125257.16	salmon
ABCC5|ENSG00000114770.17	grey
ABCC6P1|ENSG00000256340.10	grey
ABCC6|ENSG00000091262.17	black
ABCC8|ENSG00000006071.16	blue
ABCC9|ENSG00000069431.14	darkorange
ABCD1|ENSG00000101986.12	grey
ABCD2|ENSG00000173208.4	red
ABCD3|ENSG00000117528.14	blue
ABCD4|ENSG00000119688.21	magenta
ABCE1|ENSG00000164163.11	brown
ABCF1|ENSG00000204574.14	grey
ABCF2P1|ENSG00000242159.1	grey
ABCF2|ENSG00000033050.9	darkgrey
ABCF3|ENSG00000161204.12	lightgreen
ABCG1|ENSG00000160179.19	grey
ABCG2|ENSG00000118777.12	grey
ABCG4|ENSG00000172350.10	blue
ABCG5|ENSG00000138075.14	grey
ABCG8|ENSG00000143921.9	blue
ABHD10|ENSG00000144827.9	brown
ABHD11|ENSG00000106077.19	yellow
ABHD12B|ENSG00000131969.15	grey
ABHD12|ENSG00000100997.20	darkred
ABHD13|ENSG00000139826.6	salmon
ABHD14A|ENSG00000248487.10	blue
ABHD14B|ENSG00000114779.20	yellow
ABHD15|ENSG00000168792.5	grey
ABHD16A|ENSG00000204427.12	darkgrey
ABHD17AP1|ENSG00000198658.4	grey
ABHD17AP6|ENSG00000226981.2	grey
ABHD17A|ENSG00000129968.17	cyan
ABHD17B|ENSG00000107362.14	turquoise
ABHD17C|ENSG00000136379.12	darkred
ABHD18|ENSG00000164074.16	grey
ABHD1|ENSG00000143994.14	grey
ABHD2|ENSG00000140526.18	yellow
ABHD3|ENSG00000158201.10	lightyellow
ABHD4|ENSG00000100439.11	red
ABHD5|ENSG00000011198.10	blue
ABHD6|ENSG00000163686.15	darkred
ABHD8|ENSG00000127220.6	green
ABI1|ENSG00000136754.18	tan
ABI2|ENSG00000138443.17	magenta
ABI3BP|ENSG00000154175.18	grey
ABI3|ENSG00000108798.9	pink
ABITRAM|ENSG00000119328.12	grey
ABL1|ENSG00000097007.19	red
ABL2|ENSG00000143322.21	tan
ABLIM1|ENSG00000099204.21	grey
ABLIM2|ENSG00000163995.21	greenyellow
ABLIM3|ENSG00000173210.20	grey
ABO|ENSG00000175164.16	grey
ABRACL|ENSG00000146386.8	magenta
ABRAXAS1|ENSG00000163322.14	yellow
ABRAXAS2|ENSG00000165660.8	brown
ABR|ENSG00000159842.16	green
ABT1|ENSG00000146109.5	grey
ABTB1|ENSG00000114626.18	green
ABTB2|ENSG00000166016.6	turquoise
ACAA1|ENSG00000060971.19	grey
ACAA2P1|ENSG00000233585.2	grey
ACAA2|ENSG00000167315.18	salmon
ACACA|ENSG00000278540.5	lightgreen
ACACB|ENSG00000076555.16	red
ACAD10|ENSG00000111271.15	grey
