medianRank.pres	medianRank.qual	Zsummary.pres	Zsummary.qual
black	11	4.5	110	110
blue	12	25	110	64
brown	27	24.5	49	77
cyan	9	12.5	56	50
darkgreen	3	1	72	61
darkgrey	20	3	35	58
darkorange	2	2.5	57	47
darkred	21	17.5	36	42
darkturquoise	1	4.5	63	60
gold	28	28	39	2
green	12	23.5	89	40
greenyellow	18	17	50	63
grey	29	29	30	-30
grey60	14	13	59	58
lightcyan	24	9.5	39	61
lightgreen	10	17.5	54	46
lightyellow	26	27	29	29
magenta	6	9	110	90
midnightblue	20	17.5	52	57
orange	17	6.5	39	52
pink	22	21.5	68	64
purple	15	18.5	57	59
red	15	21.5	78	68
royalblue	5	14.5	60	49
salmon	6	9	82	63
tan	7	14	84	78
turquoise	25	24.5	78	80
white	22	8	25	36
yellow	8	12	140	120
