,gene_id,ensemblID,gene_name,seqname,gene_type,Caudate,DLPFC,Hippocampus,CMC DLPFC
1386,ENSG00000272512.1,ENSG00000272512,RP11-54O7.17,chr1,lincRNA,1,0,0,0
4087,ENSG00000107404.18,ENSG00000107404,DVL1,chr1,protein_coding,1,0,0,0
4357,ENSG00000175756.13,ENSG00000175756,AURKAIP1,chr1,protein_coding,1,0,0,0
4753,ENSG00000272455.1,ENSG00000272455,RP4-758J18.13,chr1,lincRNA,1,0,0,0
7511,ENSG00000142609.17,ENSG00000142609,CFAP74,chr1,protein_coding,1,0,0,0
8317,ENSG00000116151.13,ENSG00000116151,MORN1,chr1,protein_coding,1,0,0,0
9127,ENSG00000197921.5,ENSG00000197921,HES5,chr1,protein_coding,0,0,1,0
9139,ENSG00000272449.1,ENSG00000272449,RP3-395M20.12,chr1,lincRNA,1,0,0,0
9168,ENSG00000157873.17,ENSG00000157873,TNFRSF14,chr1,protein_coding,1,0,0,0
9808,ENSG00000142611.16,ENSG00000142611,PRDM16,chr1,protein_coding,1,0,0,0
12796,ENSG00000158286.12,ENSG00000158286,RNF207,chr1,protein_coding,1,0,0,0
12881,ENSG00000116237.15,ENSG00000116237,ICMT,chr1,protein_coding,0,1,0,0
14379,ENSG00000204859.12,ENSG00000204859,ZBTB48,chr1,protein_coding,1,0,0,0
15603,ENSG00000116285.12,ENSG00000116285,ERRFI1,chr1,protein_coding,1,0,0,0
16606,ENSG00000171612.6,ENSG00000171612,SLC25A33,chr1,protein_coding,1,0,0,0
16626,ENSG00000231181.1,ENSG00000231181,RP13-15M17.1,chr1,processed_pseudogene,1,0,0,0
17390,ENSG00000130939.18,ENSG00000130939,UBE4B,chr1,protein_coding,1,0,0,0
24120,ENSG00000116138.12,ENSG00000116138,DNAJC16,chr1,protein_coding,1,0,0,0
24890,ENSG00000116809.11,ENSG00000116809,ZBTB17,chr1,protein_coding,1,0,0,0
25512,ENSG00000142627.12,ENSG00000142627,EPHA2,chr1,protein_coding,1,0,0,0
25683,ENSG00000132881.11,ENSG00000132881,RSG1,chr1,protein_coding,1,0,0,0
26540,ENSG00000058453.16,ENSG00000058453,CROCC,chr1,protein_coding,1,0,0,0
28405,ENSG00000169991.10,ENSG00000169991,IFFO2,chr1,protein_coding,0,0,1,0
29269,ENSG00000162482.4,ENSG00000162482,AKR7A3,chr1,protein_coding,1,0,0,0
29293,ENSG00000053371.12,ENSG00000053371,AKR7A2,chr1,protein_coding,1,0,0,0
30065,ENSG00000169914.5,ENSG00000169914,OTUD3,chr1,protein_coding,1,0,0,0
30171,ENSG00000127472.10,ENSG00000127472,PLA2G5,chr1,protein_coding,1,0,0,0
30586,ENSG00000236963.6,ENSG00000236963,LINC01141,chr1,lincRNA,0,0,1,0
30730,ENSG00000244038.9,ENSG00000244038,DDOST,chr1,protein_coding,1,0,0,0
30978,ENSG00000189410.11,ENSG00000189410,SH2D5,chr1,protein_coding,1,0,0,1
32970,ENSG00000090686.15,ENSG00000090686,USP48,chr1,protein_coding,1,0,0,0
34687,ENSG00000125944.18,ENSG00000125944,HNRNPR,chr1,protein_coding,1,0,0,0
34894,ENSG00000249087.6,ENSG00000249087,ZNF436-AS1,chr1,antisense,0,0,1,0
