Feature	seqnames	start	end	width	gencodeID	ensemblID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	SE	B	Type	Direction	Tissue	Chrom_Type
chr21:8400866-8445046:+	chr21	8400866	8445046	44181				-6.02788451646437	-3.80127306263201	-6.72862510694833	6.265421484645519e-11	1.19188365986709e-05	0.305902941603705	1.58604928141276	Junction	-1.0	Caudate	Autosome
chr21:8398826-8398973:+	chr21	8398826	8398973	148				6.9333932171649	-2.87925904395011	6.49919413415804	2.51924281054541e-10	2.39620299167837e-05	0.335583720424517	1.60615935567677	Junction	1.0	Caudate	Autosome
chr21:8393912-8438122:+	chr21	8393912	8438122	44211				2.5385569868264	-3.0045607678855	6.23091864555439	1.2235413005817602e-09	7.75855695640898e-05	0.241472095660434	0.608148844471018	Junction	1.0	Caudate	Autosome
chr21:8216676-8260447:+	chr21	8216676	8260447	43772				7.82351006540498	-2.93502427920688	5.61362674999697	3.81053986703831e-08	0.001812216549966	0.298004808886342	0.913567506805185	Junction	1.0	Caudate	Autosome
chr21:8216519-8259653:+	chr21	8216519	8259653	43135				5.50229937328063	-4.18566089793567	5.54191877339884	5.5781261537674e-08	0.0021222761889669	0.191989721127739	-0.983708730335876	Junction	1.0	Caudate	Autosome
chr21:8210877-8255085:+	chr21	8210877	8255085	44209				2.17751169319644	-4.23222209409783	5.21755261099322	2.97731674990144e-07	0.0094396819994541	0.305936976774735	-2.47542298939539	Junction	1.0	Caudate	Autosome
chr21:8400866-8445046:-	chr21	8400866	8445046	44181				-4.26981137610116	-4.18525182936366	-5.12491722074537	4.73219429335205e-07	0.0128602112116135	0.335738163038446	-2.20826455978772	Junction	-1.0	Caudate	Autosome
chr21:8442821-8442956:+	chr21	8442821	8442956	136				-5.02426366896617	-3.34733857261584	-5.03755932324992	7.28057090882571e-07	0.016990791487999	0.241472095660434	-0.268788681552083	Junction	-1.0	Caudate	Autosome
chr15:25203316-25204445:+	chr15	25203316	25204445	1130				-1.78849092573452	-3.49883763151489	-5.01730581387159	8.03845427646193e-07	0.016990791487999	0.297976355627925	-2.05928086978913	Junction	-1.0	Caudate	Autosome
chrM:2246-2357:+	chrM	2246	2357	112				5.17379274579357	-3.23751819812194	6.86813724529752	2.9922323938517496e-11	3.7391850886451e-06	0.230417617707245	11.2758991264008	Junction	1.0	DLPFC	Mitochondria
chr21:8401197-8445424:-	chr21	8401197	8445424	44228				-5.8603833871097	-4.09639088723046	-6.80700149849003	4.3588120099145e-11	3.7391850886451e-06	0.299549063311224	8.88543647642175	Junction	-1.0	DLPFC	Autosome
chr21:8401417-8445654:-	chr21	8401417	8445654	44238				4.84165356977582	-3.7133185601942	6.63865471960202	1.21262521570313e-10	5.20669889054927e-06	0.230441257832148	8.50956723085987	Junction	1.0	DLPFC	Autosome
chr21:8400648-8444813:-	chr21	8400648	8444813	44166				5.90400292713543	-3.84109343036518	6.63847996298175	1.21390201972367e-10	5.20669889054927e-06	0.298001603264983	7.92850259208512	Junction	1.0	DLPFC	Autosome
chr21:8216259-8260488:-	chr21	8216259	8260488	44230				4.92521221401372	-1.70804415183554	6.45144360309106	3.70028149915003e-10	1.26940898788338e-05	0.740337794772248	11.4674873226229	Junction	1.0	DLPFC	Autosome
chr21:8210193-8254400:-	chr21	8210193	8254400	44208				6.91716402602658	-3.85863425490519	6.41611253505289	4.55530913886221e-10	1.26940898788338e-05	0.105392195772773	8.06281691333868	Junction	1.0	DLPFC	Autosome
chr21:8398991-8399196:-	chr21	8398991	8399196	206				5.5430866142281	-3.77631549505432	6.39422570425067	5.179177424350361e-10	1.26940898788338e-05	0.109918205372904	7.50194388601221	Junction	1.0	DLPFC	Autosome
chr21:8394067-8438279:-	chr21	8394067	8438279	44213				4.84007842729904	-3.20795148962192	6.35093676920816	6.66949280900171e-10	1.34682910448025e-05	0.176151748150124	8.74200234308189	Junction	1.0	DLPFC	Autosome
chr21:8437083-8438371:-	chr21	8437083	8438371	1289				4.43208041751805	-3.99025337011154	6.3410432162349	7.06506533250313e-10	1.34682910448025e-05	0.22210599619131	6.79726178820002	Junction	1.0	DLPFC	Autosome
