Feature	seqnames	start	end	width	gencodeID	ensemblID	Symbol	AveExpr	t	P.Value	SE	B	Type	Direction	Chrom_Type	Concordant
USP9Y|ENSG00000114374.13	chrY	12537650	12860839	323190	ENSG00000114374.13	ENSG00000114374	USP9Y	2.60032961699596	144.985340799281	0.0	0.0345724108061572	723.062720899288	Gene	1.0	Allosome	True
TXLNGY|ENSG00000131002.14	chrY	19567313	19606274	38962	ENSG00000131002.14	ENSG00000131002	TXLNGY	1.25594081274548	122.186398070109	5.77919520467909e-308	0.0201611817594311	669.660082222113	Gene	1.0	Allosome	True
ZFY|ENSG00000067646.12	chrY	2935281	2982506	47226	ENSG00000067646.12	ENSG00000067646	ZFY	1.10486722695622	119.618809116776	1.55269602056947e-304	0.0203088656053602	662.853811390313	Gene	1.0	Allosome	True
NLGN4Y|ENSG00000165246.15	chrY	14522573	14845654	323082	ENSG00000165246.15	ENSG00000165246	NLGN4Y	1.86002649892356	118.536044028963	4.55178581849384e-303	0.0324806566142404	659.98231681126	Gene	1.0	Allosome	True
KDM5D|ENSG00000012817.16	chrY	19703865	19744939	41075	ENSG00000012817.16	ENSG00000012817	KDM5D	1.9186789059978	116.913540873958	7.59506106660006e-301	0.0663524045189882	655.554098679462	Gene	1.0	Allosome	True
UTY|ENSG00000183878.16	chrY	13234577	13480673	246097	ENSG00000183878.16	ENSG00000183878	UTY	1.76377112662199	111.972141851618	6.806361789337639e-294	0.0670458465651992	641.580302698612	Gene	1.0	Allosome	True
RPS4Y1|ENSG00000129824.16	chrY	2841602	2932000	90399	ENSG00000129824.16	ENSG00000129824	RPS4Y1	1.19215669612661	105.461416972035	2.8026788251593e-284	0.0239725962616186	621.985901853191	Gene	1.0	Allosome	True
DDX3Y|ENSG00000067048.17	chrY	12904108	12920478	16371	ENSG00000067048.17	ENSG00000067048	DDX3Y	2.04420285516566	104.774179812121	3.12359627000291e-283	0.0198663437270778	619.879200023279	Gene	1.0	Allosome	True
XIST|ENSG00000229807.13	chrX	73820649	73852723	32075	ENSG00000229807.13	ENSG00000229807	XIST	3.43435257125288	-103.218547118892	7.73916070407245e-281	0.0147564440834746	633.497441937054	Gene	-1.0	Allosome	True
EIF1AY|ENSG00000198692.10	chrY	20575776	20593154	17379	ENSG00000198692.10	ENSG00000198692	EIF1AY	0.566406186151068	102.362514467412	1.66133133084968e-279	0.0234950662760424	612.118887668118	Gene	1.0	Allosome	True
TTTY14|ENSG00000176728.10	chrY	18772706	19077416	304711	ENSG00000176728.10	ENSG00000176728	TTTY14	1.04819005127812	101.265939065551	8.74282487272863e-278	0.0250013842517263	608.630984183191	Gene	1.0	Allosome	True
BCORP1|ENSG00000215580.12	chrY	19455431	19567092	111662	ENSG00000215580.12	ENSG00000215580	BCORP1	-1.07300452063503	93.8558683409783	1.11203897875557e-265	0.0196472597416805	583.055952908057	Gene	1.0	Allosome	True
ANOS2P|ENSG00000241859.7	chrY	13703902	13915824	211923	ENSG00000241859.7	ENSG00000241859	ANOS2P	-0.370505408139753	92.0382943665153	1.41014345951885e-262	0.0296668669100271	576.750396452726	Gene	1.0	Allosome	True
