clusterID	N	coord	gene	annotation	FDR
clu_739_-	3	chrX:53217966-53220839	KDM5C	annotated	7.29e-35
clu_729_-	12	chrX:53176622-53193437	KDM5C	cryptic	2.62e-25
clu_57947_+	3	chrX:47199106-47199480	UBA1	cryptic	3.27e-11
clu_164860_+	3	chr7:74189918-74194741	EIF4H	annotated	1.59e-05
clu_736_-	3	chrX:53210576-53211497	KDM5C	cryptic	2.37e-05
clu_5190_-	16	chr11:62520391-62530586	.	annotated	0.000102
clu_45072_+	3	chr12:123748785-123752283	ATP6V0A2	cryptic	0.00134
clu_151749_-	26	chr4:9224850-9339358	.	annotated	0.00154
clu_102288_+	3	chr6:87210807-87213902	.	annotated	0.00157
clu_134934_-	3	chr6:131598761-131600038	MED23	cryptic	0.00157
clu_15389_+	7	chr18:8247919-8296368	PTPRM	cryptic	0.00169
clu_75450_+	26	chr9:122469185-122673195	RP11-64P14.7	cryptic	0.00181
clu_106987_+	2	chr8:17563711-17564981	SLC7A2	cryptic	0.00308
clu_103904_+	3	chr4:6864183-6871574	KIAA0232	cryptic	0.00381
clu_40983_-	3	chr9:108906485-108908305	IKBKAP	cryptic	0.00381
clu_57932_+	6	chrX:47084600-47092061	RGN	cryptic	0.00417
clu_1778_-	5	chrX:152989331-152991916	PNMA5	cryptic	0.00433
clu_155815_-	4	chr10:70161931-70170476	SAR1A	cryptic	0.00722
clu_78216_-	3	chr13:27440449-27445088	MTIF3	annotated	0.0106
clu_47853_-	3	chr2:88579640-88583430	EIF2AK3	cryptic	0.0126
clu_135790_+	4	chr14:24163508-24164063	IRF9	cryptic	0.0168
clu_114284_+	3	chr19:35009329-35009888	GRAMD1A	annotated	0.0168
clu_13767_-	3	chr8:38316042-38318895	NSD3	cryptic	0.0174
clu_81203_+	3	chr3:107755678-107774719	BBX	annotated	0.0244
clu_39500_-	3	chr9:3228889-3248032	RFX3	cryptic	0.0244
clu_55492_+	3	chr1:160192886-160195012	CASQ1	cryptic	0.0345
clu_31458_-	9	chr16:58599511-58629728	CNOT1	cryptic	0.038
clu_152890_-	2	chr4:103067592-103077148	SLC9B2	annotated	0.038
clu_148628_-	3	chr7:25124127-25125200	CYCS	annotated	0.038
clu_79564_+	3	chr3:14125205-14129412	TMEM43	annotated	0.0476
clu_59263_+	4	chrX:153768428-153769162	PLXNB3	cryptic	0.0476
